ID	CODE	NAME_EN	LEVEL	PARENT_ID	PARENT_CODE	InclusionNote	ExclusionNote	caseLaw	NAME_BG	NAME_CS	NAME_DA	NAME_DE	NAME_EL	NAME_ES	NAME_ET	NAME_FI	NAME_GA	NAME_FR	NAME_HR	NAME_HU	NAME_IT	NAME_LT	NAME_LV	NAME_MT	NAME_NL	NAME_PL	NAME_PT	NAME_RO	NAME_SK	NAME_SL	NAME_SV
"01118"	"01.1.1.8"	"Other cereal products"	"4"	"0111"	"01.1.1"	"Includes:\r\n- mixes and doughs for the preparation of bakery products\r\n- other cereal products (malt, malt flour, malt extract, potato starch, tapioca, sago and other starches)"			"Други продукти от зърнени растения"	"Jiné výrobky z obilovin"	"Andre kornprodukter"	"Andere Getreideerzeugnisse"	"Άλλα προϊόντα δημητριακά"	"Otros productos a base de cereales"	"Muud teraviljatooted"	"Muut viljatuotteet"	"Táirgí gránach eile"	"Autres produits à base de céréales"	"Ostali proizvodi od žitarica"	"Egyéb gabonatermékek"	"Altri prodotti a base di cereali"	"Kiti grūdų produktai"	"Citi graudaugu izstrādājumi"	"Prodotti oħra taċ-ċereali"	"Overige graanproducten"	"Pozostałe produkty zbożowe"	"Outros produtos à base de cereais"	"Alte produse pe bază de cereale"	"Ostatné obilninové výrobky"	"Drugi izdelki iz žit"	"Andra spannmålsprodukter"
"0112"	"01.1.2"	"Meat"	"3"	"011"	"01.1"	"Includes:\r\n- fresh, chilled or frozen meat of:\r\n  • bovine animals, swine, sheep and goat\r\n  • horse, mule, donkey, camel and the like\r\n  • poultry (chicken, duck, goose, turkey, guinea fowl)\r\n  • hare, rabbit and game (antelope, deer, boar, pheasant, grouse, pigeon, quail, etc.)\r\n- fresh, chilled or frozen edible offal\r\n- dried, salted or smoked meat and edible offal (sausages, salami, bacon, ham, pâté, etc.)\r\n- other preserved or processed meat and meat-based preparations (canned meat, meat extracts, meat juices, meat pies, etc.)\r\n\r\nAlso includes: \r\n- meat and edible offal of marine mammals (seals, walruses, whales, etc.) and exotic animals (kangaroo, ostrich, alligator, etc.)\r\n- animals and poultry purchased live for consumption as food"	"Excludes:\r\n- land and sea snails (01.1.3)\r\n- lard and other edible animal fats (01.1.5)\r\n- soups, broths and stocks containing meat (01.1.9)"		"Месо и месни продукти"	"Maso"	"Kød"	"Fleisch, Fleischwaren"	"Κρέας"	"Carne"	"Liha"	"Liha"	"Feoil"	"Viande"	"Meso"	"Hús"	"Carni"	"Mėsa"	"Gaļa"	"Laħam"	"Vlees"	"Mięso"	"Carnes"	"Carne"	"Mäso"	"Meso"	"Kött"
"01121"	"01.1.2.1"	"Beef and veal"	"4"	"0112"	"01.1.2"	"Includes:\r\n- fresh, chilled or frozen meat of bovine animals\r\n- cow or veal purchased live for consumption as food\r\n\r\nAlso includes: \r\n- minced meat made of beef or veal"			"Месо от едър рогат добитък"	"Hovězí a telecí maso"	"Okse- og kalvekød"	"Rind- und Kalbfleisch"	"Βόειο κρέας"	"Carne de vacuno"	"Veise- ja vasikaliha"	"Naudan- ja vasikanliha"	"Mairteoil agus laofheoil"	"Bœuf et veau"	"Govedina i teletina"	"Marha és borjú"	"Carne bovina"	"Jautiena ir veršiena"	"Liellopu un teļa gaļa"	"Ċanga u vitella"	"Rund- en kalfsvlees"	"Mięso wołowe i cielęce"	"Carne de bovino"	"Carne de vită și mânzat"	"Hovädzie a teľacie mäso"	"Goveje in telečje meso"	"Nöt- och kalvkött"
"01122"	"01.1.2.2"	"Pork"	"4"	"0112"	"01.1.2"	"Includes:\r\n- fresh, chilled or frozen meat of swine\r\n- pork purchased live for consumption as food\r\n\r\nAlso includes: \r\n- minced meat made of pork"			"Месо от свине"	"Vepřové maso"	"Svinekød"	"Schweinefleisch"	"Χοίρειο κρέας"	"Carne de porcino"	"Sealiha"	"Sianliha"	"Muiceoil"	"Porc"	"Svinjetina"	"Sertés"	"Carne suina"	"Kiauliena"	"Cūkgaļa"	"Majjal"	"Varkensvlees"	"Mięso wieprzowe"	"Carne de suíno"	"Carne de porc"	"Bravčové mäso"	"Svinjsko meso"	"Fläskkött"
"01123"	"01.1.2.3"	"Lamb and goat"	"4"	"0112"	"01.1.2"	"Includes:\r\n- fresh, chilled or frozen meat of sheep and goat\r\n- lamb and goat purchased live for consumption as food\r\n\r\nAlso includes: \r\n- minced meat made of lamb and goat"			"Месо от овце и кози"	"Jehněčí a kozí maso"	"Lamme- og gedekød"	"Lamm- und Ziegenfleisch"	"Πρόβειο και αίγειο κρέας"	"Carne de ovino y caprino"	"Lamba- ja kitseliha"	"Lampaan- ja vuohenliha"	"Uaineoil agus feoil ghabhair"	"Agneau et chèvre"	"Janjetina i kozletina"	"Bárány és kecske"	"Carne ovina e caprina"	"Ėriena ir ožkiena"	"Jēru gaļa un kazu gaļa"	"Laħam tal-ħaruf u laħam tal-mogħoż"	"Schapen- en geitenvlees"	"Mięso baranie i kozie"	"Carne de ovino e caprino"	"Carne de miel și de capră"	"Jahňacie a kozie mäso"	"Ovčje in kozje meso"	"Lamm- och getkött"
"01124"	"01.1.2.4"	"Poultry"	"4"	"0112"	"01.1.2"	"Includes:\r\n- fresh, chilled or frozen meat of poultry (chicken, duck, goose, turkey, guinea fowl etc.)\r\n- poultry purchased live for consumption as food\r\n\r\nAlso includes: \r\n- minced meat made of poultry"			"Месо от домашни птици"	"Drůbež"	"Fjerkrækød"	"Geflügelfleisch"	"Πουλερικά"	"Carne de ave"	"Kodulinnuliha"	"Siipikarjan liha"	"Éineoil"	"Volaille"	"Meso peradi"	"Baromfi"	"Pollame"	"Paukštiena"	"Mājputnu gaļa"	"Laħam tat-tjur"	"Pluimveevlees"	"Mięso drobiowe"	"Aves de capoeira"	"Carne de pasăre"	"Hydinové mäso"	"Perutnina"	"Kött av fjäderfä"
"01125"	"01.1.2.5"	"Other meats"	"4"	"0112"	"01.1.2"	"Includes fresh, chilled or frozen meat of: \r\n- horse, mule, donkey, camel and the like\r\n- hare, rabbit and game (antelope, deer, boar, pheasant, grouse, pigeon, quail, etc.)\r\n- meat of marine mammals (seals, walruses, whales, etc.) and exotic animals (kangaroo, ostrich, alligator, etc.)\r\n- animals purchased live for consumption as food"			"Месо от други животни"	"Jiné maso"	"Andet kød"	"Anderes Fleisch"	"Άλλα κρέατα"	"Otras carnes"	"Muu liha"	"Muu liha"	"Feoil eile"	"Autres viandes"	"Ostale vrste mesa"	"Egyéb húsfélék"	"Altre carni"	"Kita mėsa"	"Citi gaļas veidi"	"Tip ta' laħam ieħor"	"Overig vlees"	"Pozostałe mięsa"	"Outras carnes"	"Alte cărnuri"	"Ostatné mäso"	"Druge vrste mesa"	"Annat kött"
"01126"	"01.1.2.6"	"Edible offal"	"4"	"0112"	"01.1.2"	"Includes:\r\n- fresh, chilled, smoked or frozen edible offal"			"Субпродукти (карантия), годни за консумация"	"Jedlé droby"	"Spiselige slagtebiprodukter"	"Genießbare Schlachtnebenerzeugnisse"	"Βρώσιμα εντόσθια"	"Despojos comestibles"	"Söödav rups"	"Syötävät sisäelimet"	"Scairteach inite"	"Abats comestibles"	"Jestive iznutrice"	"Ehető belsőség"	"Frattaglie commestibili"	"Valgomieji subproduktai"	"Pārtikā izmantojami subprodukti"	"Ġewwieni tal-annimali li jittiekel"	"Eetbaar slachtafval"	"Podroby i przetwory podrobowe"	"Miudezas comestíveis"	"Organe comestibile"	"Jedlé droby"	"Užitna drobovina"	"Ätliga slaktbiprodukter"
"01127"	"01.1.2.7"	"Dried, salted or smoked meat"	"4"	"0112"	"01.1.2"	"Includes:\r\n- dried, salted or smoked meat (sausages, salami, bacon, ham, etc.)"			"Сушени, осолени или пушени меса и месни продукти"	"Sušené, solené nebo uzené maso"	"Tørret, saltet eller røget kød"	"Fleisch, Fleischwaren, getrocknet, gesalzen oder geräuchert"	"Αποξηραμένο, αλατισμένο ή καπνιστό κρέας"	"Carne seca, salada o ahumada"	"Kuivatatud, soolatud või suitsutatud liha"	"Kuivattu, suolattu tai savustettu liha"	"Feoil dheataithe, shaillte nó thriomaithe"	"Viande séchée, salée ou fumée"	"Suho, usoljeno ili dimljeno meso"	"Szárított, sózott vagy füstölt húsfélék"	"Carne essiccata, salata o affumicata"	"Džiovinta, sūdyta ar rūkyta mėsa"	"Žāvēta, sālīta vai kūpināta gaļa"	"Laħam imnixxef, immellaħ jew affumikat"	"Gedroogd, gezouten of gerookt vlees"	"Wędliny"	"Carne seca, salgada ou fumada"	"Carne uscată, sărată sau afumată"	"Sušené, solené alebo údené mäso"	"Posušeno, soljeno ali dimljeno meso"	"Torkat, saltat eller rökt kött"
"01128"	"01.1.2.8"	"Other meat preparations"	"4"	"0112"	"01.1.2"	"Includes:\r\n- other preserved or processed meat and meat-based preparations (canned meat, meat extracts, meat juices, meat pies, etc.)\r\n- dumplings, filled pancakes with meat\r\n- minced meat, raw or prepared if mixed meat from more than one kind of minced meat\r\n- all kind of pâté, including liver pâté"	"Excludes: \r\n- pizza and quiche (01.1.1.5)"		"Други месни продукти"	"Ostatní masné polotovary"	"Andre tilberedninger af kød"	"Andere Fleischzubereitungen"	"Άλλα παρασκευάσματα κρέατος"	"Otros preparados de carne"	"Muud lihatooted"	"Muut lihavalmisteet"	"Ullmhóidí feola eile"	"Autres préparations à base de viande"	"Ostale mesne prerađevine"	"Egyéb húskészítmények"	"Altre preparazioni a base di carne"	"Kiti mėsos gaminiai"	"Citi gaļas izstrādājumi"	"Preparazzjonijiet oħra magħmulin mil-laħam"	"Overige vleesbereidingen"	"Pozostałe przetwory mięsne"	"Outras preparações à base de carne"	"Alte preparate din carne"	"Ostatné mäsové prípravky"	"Drugi mesni pripravki"	"Andra köttberedningar"
"0113"	"01.1.3"	"Fish and seafood"	"3"	"011"	"01.1"	"Includes:\r\n- fresh, chilled or frozen fish\r\n- fresh, chilled or frozen seafood (crustaceans, molluscs and other shellfish, sea snails)\r\n- dried, smoked or salted fish and seafood\r\n- other preserved or processed fish and seafood and fish and seafood-based preparations (canned fish and seafood, caviar and other hard roes, fish pies, etc.)\r\n\r\nAlso includes: \r\n- land crabs, land snails and frogs\r\n- fish and seafood purchased live for consumption as food"	"Excludes: \r\n- soups, broths and stocks containing fish and seafood (01.1.9)"		"Риба и други морски храни"	"Ryby a mořské plody"	"Fisk og skaldyr"	"Fische und Meeresfrüchte"	"Ψάρια και θαλασσινά"	"Pescado y marisco"	"Kala ja mereannid"	"Kala ja äyriäiset"	"Iasc agus bia mara"	"Poisson et fruits de mer"	"Riba i plodovi mora"	"Halak és tengeri állatok"	"Pesci e prodotti ittici"	"Žuvis ir jūros gėrybės"	"Zivis un jūras veltes"	"Ħut u frott tal-baħar"	"Vis en schaal- en schelpdieren"	"Ryby i owoce morza"	"Peixe e marisco"	"Pește și fructe de mare"	"Ryby a morské plody"	"Ribe in morski sadeži"	"Fisk och skaldjur"
"01131"	"01.1.3.1"	"Fresh or chilled fish"	"4"	"0113"	"01.1.3"	"Includes:\r\n- fresh or chilled fish\r\n- fish purchased live for consumption as food"			"Прясна или охладена риба"	"Ryby, čerstvé nebo chlazené"	"Fersk eller kølet fisk"	"Fisch, frisch oder gekühlt"	"Ψάρια νωπά ή διατηρημένα με απλή ψύξη"	"Pescado fresco o refrigerado"	"Värske või jahutatud kala"	"Tuore tai jäähdytetty kala"	"Iasc úr nó fuaraithe"	"Poisson frais ou congelé"	"Svježa ili rashlađena riba"	"Friss vagy hűtött hal"	"Pesce fresco o refrigerato"	"Šviežia ar atšaldyta žuvis"	"Svaigas vai atdzesētas zivis"	"Ħut frisk jew imkessaħ"	"Verse of gekoelde vis"	"Ryby świeże lub chłodzone"	"Peixe fresco ou refrigerado"	"Pește proaspăt sau refrigerat"	"Čerstvé alebo chladené ryby"	"Sveže ali ohlajene ribe"	"Färsk eller kyld fisk"
"01132"	"01.1.3.2"	"Frozen fish"	"4"	"0113"	"01.1.3"	"Includes:\r\n- frozen fish"			"Замразена риба"	"Ryby, zmrazené"	"Frossen fisk"	"Fisch, gefroren"	"Κατεψυγμένα ψάρια"	"Pescado congelado"	"Külmutatud kala"	"Pakastettu kala"	"Iasc reoite"	"Poisson surgelé"	"Smrznuta riba"	"Fagyasztott hal"	"Pesce surgelato"	"Užšaldyta žuvis"	"Saldētas zivis"	"Ħut iffriżat"	"Diepvriesvis"	"Ryby mrożone"	"Peixe congelado"	"Pește congelat"	"Mrazené ryby"	"Zamrznjene ribe"	"Fryst fisk"
"01133"	"01.1.3.3"	"Fresh or chilled seafood"	"4"	"0113"	"01.1.3"	"Includes:\r\n- fresh or chilled seafood (crustaceans, molluscs and other shellfish, sea snails)\r\n- seafood purchased live for consumption as food\r\n\r\nAlso includes: \r\n- land crabs, land snails and frogs"			"Пресни или охладени морски храни"	"Mořské plody, čerstvé nebo chlazené"	"Ferske eller kølede skaldyr"	"Meeresfrüchte, frisch oder gekühlt"	"Νωπά ή διατηρημένα με απλή ψύξη θαλασσινά"	"Marisco fresco o refrigerado"	"Värsked või jahutatud mereannid"	"Tuoreet tai jäähdytetyt äyriäiset"	"Bia mara úr nó fuaraithe"	"Fruits de mer frais ou congelés"	"Svježi ili rashlađeni plodovi mora"	"Friss vagy hűtött tengeri állatok"	"Frutti di mare freschi o refrigerati"	"Šviežios ar atšaldytos jūros gėrybės"	"Svaigas vai atdzesētas jūras veltes"	"Frott tal-baħar frisk jew imkessaħ"	"Verse of gekoelde schaal- en schelpdieren"	"Owoce morza świeże lub chłodzone"	"Marisco fresco ou refrigerado"	"Fructe de mare proaspete sau refrigerate"	"Čerstvé alebo chladené morské živočíchy"	"Sveži ali ohlajeni morski sadeži"	"Färska eller kylda skaldjur"
"01134"	"01.1.3.4"	"Frozen seafood"	"4"	"0113"	"01.1.3"	"Includes:\r\n- frozen seafood"			"Замразени морски храни"	"Mořské plody, zmrazené"	"Frosne skaldyr"	"Meeresfrüchte, gefroren"	"Κατεψυγμένα θαλασσινά"	"Marisco congelado"	"Külmutatud mereannid"	"Pakastetut äyriäiset"	"Bia mara reoite"	"Fruits de mer surgelés"	"Smrznuti plodovi mora"	"Fagyasztott tengeri állatok"	"Frutti di mare surgelati"	"Užšaldytos jūros gėrybės"	"Saldētas jūras veltes"	"Frott tal-baħar iffriżat"	"Diepvries schaal- en schelpdieren"	"Owoce morza mrożone"	"Marisco congelado"	"Fructe de mare congelate"	"Mrazené morské živočíchy"	"Zamrznjeni morski sadeži"	"Frysta skaldjur"
"01135"	"01.1.3.5"	"Dried, smoked or salted fish and seafood"	"4"	"0113"	"01.1.3"	"Includes:\r\n- dried, smoked or salted fish and seafood"			"Сушени, пушени или осолени риба и други морски храни"	"Sušené, solené nebo uzené ryby a mořské plody"	"Tørrede, røgede eller saltede fisk og skaldyr"	"Fisch und Meerestiere, getrocknet, geräuchert oder gesalzen"	"Αποξηραμένα, καπνιστά ή παστά ψάρια και θαλασσινά"	"Pescado y marisco seco, ahumado o salado"	"Kuivatatud, suitsutatud või soolatud kala ja mereannid"	"Kuivattu, savustettu tai suolattu kala ja äyriäiset"	"Iasc deataithe, saillte nó triomaithe agus bia mara"	"Poisson et fruits de mer séchés, fumés ou salés"	"Sušena, dimljena ili usoljena riba i morski plodovi"	"Szárított, füstölt vagy sózott halak és tengeri állatok"	"Pesci e frutti di mare secchi, affumicati o salati"	"Džiovinta, rūkyta ar sūdyta žuvis ir jūros gėrybės"	"Žāvētas, kūpinātas vai sālītas zivis un jūras veltes"	"Ħut u frott tal-baħar imnixxef, immellaħ jew affumikat"	"Gedroogde, gezouten of gerookte vis en schaal- en schelpdieren"	"Ryby i owoce morza suszone, wędzone lub solone"	"Peixe e marisco seco, fumado ou salgado"	"Pește și fructe de mare uscate, sărate sau afumate"	"Sušené, údené alebo solené ryby a morské živočíchy"	"Suhe, dimljene ali soljene ribe in morski sadeži"	"Torkad, rökt eller saltad fisk och skaldjur"
"01136"	"01.1.3.6"	"Other preserved or processed fish and seafood-based preparations"	"4"	"0113"	"01.1.3"	"Includes:\r\n- other preserved or processed fish and seafood and fish and seafood-based preparations (canned fish and seafood, caviar and other hard roes, fish pies, battered fish, etc.)\r\n- dumplings, filled pancakes with fish"	"Excludes: \r\n- pizza and quiche containing fish and seafood (01.1.1.5)\r\n- soups, broths and stocks containing fish and seafood (01.1.9.9)"		"Други консервирани или обработени риба и морски храни и продукти от тях"	"Ostatní konzervované nebo zpracované přípravky z ryb a mořských plodů"	"Andre konserverede eller forarbejdede fisk og tilberedte varer af skaldyr"	"Fisch, konserviert oder verarbeitet, sowie Zubereitungen aus Meeresfrüchten"	"Άλλα διατηρημένα ή επεξεργασμένα ψάρια και παρασκευάσματα με βάση τα θαλασσινά"	"Otros preparados de pescado y marisco conservados o procesados"	"Muud konserveeritud või töödeldud kalal ja mereandidel põhinevad tooted"	"Muut säilötyt tai käsitellyt kala- ja äyriäisvalmisteet"	"Iasc leasaithe nó próiseáilte agus ullmhóidí eile arna mbunú ar bhia mara"	"Autres conserves ou préparations à base de poisson et de fruits de mer"	"Ostala konzervirana ili prerađena riba i pripravci na temelju plodova mora"	"Egyéb tartósított vagy feldolgozott, halakból és tengeri állatokból előállított készítmények"	"Altre preparazioni a base di pesci e frutti di mare conservati o lavorati"	"Kita konservuota arba paruošta ar perdirbta žuvis ir jūros gėrybės"	"Cita veida konservētas vai pārstrādātas zivis un jūras velšu izstrādājumi"	"Preparazzjonijiet oħrajn ipproċessati jew ippreservati bbażati fuq il-ħut u l-frott tal- baħar"	"Overige bereidingen en conserven van vis en schaal-en schelpdieren"	"Pozostałe przetwory z ryb i owoców morza"	"Outras preparações à base de peixe e marisco transformado ou conservado"	"Alte preparate din pește și fructe de mare conservate sau prelucrate"	"Ostatné konzervované alebo spracované ryby a morské živočíchy a polotovary z morských živočíchov"	"Druge konzervirane ali predelane ribe in pripravki iz morskih sadežev"	"Annan konserverad eller beredd fisk och skaldjur samt beredningar av fisk och skaldjur"
