name,category,code,prediction,correct_option,match
j.p. chenet medium sweet moelleux red,wine,02.1.2.1,02.1.2.1,True,True
innocent plus green wonder green  750 ml,chilled fruit juice & smoothie,01.2.1.0,01.2.3.0,True,False
heath & heather green tea with manuka 40 grms,tea,01.2.3.0,01.2.3.0,True,True
exeter corned beef 30c off 340g,tins cans & packets,01.1.2.5,01.1.2.2,True,False
"lowenbrau munchen munchner hell 0,5 l",bier,02.1.3.0,,True,False
dolce gusto ristretto barista 16 cap 120gr,food cupboard groceries | coffee | coffee sachets & pods,01.2.2.0,11.1.2.9,False,False
peroni nastro azzurro 33cl,drinks | beers & ciders | beers & lagers,02.1.3.0,11.1.1.2,True,False
grignolino d'asti doc,"vini, birra e liquori | vini",02.1.2.1,02.1.2.1,True,True
coldpress valencia orange,juices,01.2.1.0,01.2.1.0,True,True
vodka keglevich ginepro 70cl 30deg,gin & vodka,02.1.1.0,02.1.1.0,True,True
sodastream pepsi max syrup,soft drinks,01.2.6.0,02.1.9.0,True,False
coca cola can 330ml,drinks | soft drinks | soft drinks,01.2.6.0,02.1.9.0,True,False
duca di camastra syrah 75cl,drinks | wine | red wine,02.1.2.1,02.1.2.1,True,True
strongbow rose 50cl,drinks | beers & ciders | cider,02.1.2.2,02.1.2.1,False,False
ribena blackcurrant 600ml,beverages | juices & ice-teas,01.2.9.0,,True,False
notte rossa primitivo rosato igp,"acqua, bevande, alcolici | vini",02.1.2.1,02.1.2.1,True,True
kean orange juice 250 ml,juices & smoothies,01.2.1.0,01.2.1.0,True,True
kinnie bottle,soft drinks,01.2.6.0,02.1.9.0,True,False
prosecco millesimato doc,"vini, birra e liquori | spumanti e champagne",02.1.2.1,,True,False
milsani joghurt 500 g,milchprodukte,01.1.4.6,01.1.4.7,False,False
erin thick chicken soup 64 g,tins cans & packets,01.1.9.1,01.1.2.2,True,False
santagostino rosso firriato 75cl,drinks | wine | red wine,02.1.2.1,02.1.2.1,True,True
nescafe gold chocolate caramel hazelnut latte x8sac,food cupboard groceries | coffee | coffee sachets & pods,01.1.4.7,,False,False
lavazza a modo mio qualita oro,"zucchero, caffe', te', infusi | caffe'",01.2.2.0,,True,False
malteser's hot chocolate  powder,hot drinks,01.2.4.0,01.1.4.7,True,False
mevante montefalco sagrantino 75ml,wine,02.1.2.1,,True,False
monkey dry gin,"acqua, bevande, alcolici | liquori",02.1.1.0,02.1.1.0,True,True
succo e polpa di pera,"acqua, bibite e succhi | succhi",01.2.1.0,01.2.6.0,True,False
asahi birra chiara 500 ml,"acqua, bevande, alcolici | birra",02.1.3.0,02.1.3.0,True,True
torres celeste,wine,02.1.2.1,,True,False
alte valli appennine burro 125 gr,"latte, yogurt, burro, uova | latticini e burro",01.1.5.2,,False,False
bravo arancia senza zuccheri aggiunti 1 lt,"acqua, bevande, alcolici | succhi di frutta",01.2.1.0,01.2.1.0,True,True
tisana caffe amaretto & vaniglia 15 filtri,"caffè, tea e zucchero | tea e infusi",01.2.3.0,01.2.2.0,False,False
syrah igp,"vini, birra e liquori | vini",02.1.2.1,,True,False
carrefour lentils eston 400g,tins cans & packets,01.1.7.9,01.1.7.6,True,False
sanpellegrino cocktail zero 330 ml,"acqua, bevande, alcolici | bevande analcoliche",01.2.6.0,,False,False
tropicana orange smooth,juices,01.2.1.0,01.2.1.0,True,True
burro gran moravia 250g,burro & margarina,01.1.5.2,01.1.5.3,False,False
evian natural mineral water 750 ml,bottled water,01.2.5.0,,True,False
alska strawberry & lime fruit cider,cider,02.1.2.2,01.2.1.0,True,False
coppini olive oil 250ml,groceries | oil & vinegar,01.1.5.1,01.1.7.9,True,False
delicata lachryma vitis red tetrapak 75cl,drinks | wine | red wine,02.1.2.1,02.1.2.1,True,True
"smoochie kiwi, pineapple",juices,01.2.1.0,01.2.1.0,True,True
bolero instant drink peach,drinks | squashes | fruit & milk squashes,01.2.9.0,01.1.7.2,False,False
bordon corned beef low fat 340 grms,tins cans & packets,01.1.2.5,05.3.2.1,True,False
baron philippe de rothschild sauvignon blanc,wine,02.1.2.1,02.1.2.1,True,True
famous grouse smoky black,alcohol,02.1.1.0,,True,False
carrefour aqua monviso frizzante,water,01.2.5.0,09.6.2.0,True,False
santal dolce di natura multifrutti,"acqua, bevande, alcolici | succhi di frutta",01.2.1.0,01.2.1.0,True,True
bertani amarone valoantena,wine,02.1.2.1,,True,False
latte accadi' senza lattosio,"latticini | latte, uova e burro",01.1.4.1,01.1.4.7,False,False
"primia the con infuso di pesca 1,5 lt","acqua, bevande, alcolici | bevande analcoliche",01.2.3.0,02.1.2.1,False,False
calvo tuna steak in sunflower oil with chilli 3+1 free 080 grms,tins cans & packets,01.1.9.1,01.1.3.1,False,False
bonduelle red kidney beans 400g,tins cans & packets,01.1.7.9,01.1.7.3,True,False
duca di vigliano grappa moscato affinato 500 ml,"acqua, bevande, alcolici | liquori",02.1.1.0,,True,False
latte accadi' uht senza lattosio,"latticini | latte, uova e burro",01.1.4.1,01.1.4.5,False,False
cisk excel lager beer 6 x 330ml,beverages | beer & cider,02.1.3.0,02.2.0.0,True,False
carrefour preparato per cioccolata,hot drinks,01.1.8.5,01.2.4.0,True,False
kumala chenin blanc 2017 750 ml,wine,02.1.2.1,,True,False
folonari chardonnay,wine,02.1.2.1,02.1.2.1,True,True
bavaria non-alcoholic beer can,beer,02.1.3.0,02.2.0.0,True,False
koppaberg cherry cider 50cl,drinks | beers & ciders | cider,02.1.2.2,02.2.0.0,True,False
lurpak spread salted 56c off,spreads,01.1.5.2,01.1.6.9,False,False
moo mini white,organic products,01.1.8.5,01.1.1.4,False,False
"holunderblutenlikor 0,5 l",spirituosen,02.1.1.0,01.2.6.0,True,False
zuegg arancia rossa senza zuccheri aggiunti 1 lt,"acqua, bevande, alcolici | succhi di frutta",01.2.1.0,01.2.1.0,True,True
london dry gin,"vini, birra e liquori | liquori",02.1.1.0,,True,False
borges extra light olive oil 750ml,groceries | oil & vinegar,01.1.5.1,01.1.5.1,True,True
elan sparkling water 1.5l x6,beverages | bottled water,01.2.5.0,05.3.2.2,True,False
succo arancia,"acqua, bibite e succhi | succhi",01.2.1.0,01.2.1.0,True,True
"milsani h-milch 1,5 % fett 1 l",milchprodukte,01.1.4.3,01.1.4.3,True,True
tails gin gimlet cocktail 500 ml,"acqua, bevande, alcolici | liquori",02.1.9.0,02.1.9.0,True,True
coca cola zero can,soft drinks,01.2.6.0,04.5.4.9,True,False
master gioia + burro,spreads,01.1.5.2,01.1.9.3,False,False
ktc pure sesame seed oil 250ml,food cupboard groceries | cooking ingredients | oil & vinegar,01.1.5.1,01.1.9.4,True,False
carapelli il nobile olio extra vergine di oliva 1 lt,olio e conserve | olio,01.1.5.1,01.1.5.1,True,True
three barrels brandy 70cl,beverages | spirits,02.1.1.0,02.1.1.0,True,True
"apice aperitivo italiano 0,7 l",spirituosen,02.1.9.0,01.1.1.5,False,False
odyssey rose 75cl,wine cellar | wine  ,02.1.2.1,02.1.2.1,True,True
bottega chardonnay venezie igt 2017 75cl,drinks | wine | white wine,02.1.2.1,,True,False
mayor tomato salsa pronta 200 grms,tins cans & packets,01.1.9.3,01.1.1.3,False,False
magners irish cider original,cider,02.1.2.2,02.1.2.2,True,True
"lurisia aranciata 1,1 lt","acqua, bevande, alcolici | bevande analcoliche",01.2.1.0,02.1.1.0,False,False
pukka organic turmeric tea 20pcs.,tea,01.2.3.0,,True,False
lurpak spreadable unsalted 56c off,spreads,01.1.5.2,03.1.1.0,False,False
allara genova l'amaro della superba 700 ml,"acqua, bevande, alcolici | liquori",02.1.1.0,02.1.1.0,True,True
sainsbury's nas ginger beer 2ltr,drinks | beers & ciders | beers & lagers,02.1.3.0,,True,False
nocino 700 ml,"acqua, bevande, alcolici | liquori",02.1.1.0,,False,False
vitago apple drink,juices,01.2.1.0,01.2.1.0,True,True
medina grenache cabernet rose,wine,02.1.2.1,,True,False
"akropolis griechischer weinbrand 0,7 l",spirituosen,02.1.1.0,01.1.8.6,False,False
teekanne bio sleep & dream x20,"food cupboard groceries | tea | fruit, herbal, oganic tea & camomile",01.2.3.0,,True,False
borbone miniciock comp a modo mio 16 cap,food cupboard groceries | coffee | coffee sachets & pods,01.2.2.0,11.1.1.2,False,False
"sanpellegrino aranciata 1,25 lt","acqua, bevande, alcolici | bevande analcoliche",01.2.6.0,,False,False
"primia cortado caffe macchiato 100,8 gr","zucchero, caffe', te', infusi | caffe'",01.1.4.7,01.2.2.0,False,False
evian mineral water glass bottle,water,01.2.5.0,,True,False
ma ne noir  premium pinot noir,wine,02.1.2.1,,True,False
costasera amarone classico docg,"vini, birra e liquori | vini",02.1.2.1,,True,False
don simon selection white wine 3ltrs,wine cellar | wine  ,02.1.2.1,,True,False
amaroy express kaffee gold 100g,kaffee,01.2.2.0,01.2.2.0,True,True
carrefour artichokes whole in olive oil 210 grms,tins cans & packets,01.1.7.9,01.1.7.1,True,False
belte peach ice tea 500ml,beverages | juices & ice-teas,01.2.3.0,,True,False
gran sud syrah 1ltr,wine,02.1.2.1,02.1.2.1,True,True
"vodka wiborowa premium quality 37,5deg 70cl",gin & vodka,02.1.1.0,,True,False
valfrutta frullato proteico mango pesca mandorla 1 lt,"acqua, bevande, alcolici | succhi di frutta",01.2.1.0,01.2.1.0,True,True
crodino aperitivo analcolico 1 lt,"acqua, bevande, alcolici | bevande analcoliche",01.2.6.0,01.1.4.7,False,False
birra intense red,"vini, birra e liquori | birra",02.1.2.1,02.1.2.1,True,True
bourgogne chardonnay la foret,"vini, birra e liquori | vini",02.1.2.1,02.1.2.1,True,True
spark cola diet,soft drinks,01.2.6.0,04.5.4.9,True,False
mutti baby roma tomatoes 400 grms,tins cans & packets,01.1.9.3,01.1.7.2,False,False
tetley the blend collection extra strong teabags 75 pcs.,tea,01.2.3.0,05.3.2.2,True,False
morellino di scansano docg,"vini, birra e liquori | vini",02.1.2.1,02.1.2.1,True,True
le coq blue lagoon taste 330 ml,"acqua, bevande, alcolici | liquori",02.1.9.0,,True,False
smirnoff apple twist 70cl,beverages | spirits,02.1.9.0,02.1.1.0,True,False
mayor provista sugu 1.125 ltr,tins cans & packets,01.1.9.3,07.2.1.3,False,False
le naturelle bio organic eggs,organic products,01.1.4.8,01.1.7.2,True,False
cameo ciobar dark chocolate 023 grms,hot chocolate & malted drinks,01.2.4.0,,True,False
health&heather organic imperial matcha green tea 40 grms,tea,01.2.3.0,01.2.3.0,True,True
bellfield lawless village ipa cans,beer,02.1.3.0,02.1.3.0,True,True
renato ratti barbera d'alba doc 750 ml,"acqua, bevande, alcolici | vini",02.1.2.1,,True,False
marsovin antonin red & blanc twin pack 75ml,wine,02.1.2.1,02.1.2.1,True,True
leffe rituel 9 birra chiara,"acqua, bevande, alcolici | birra",02.1.3.0,02.1.3.0,True,True
starbucks doubleshot espresso 200ml,drinks | smoothies & juice drinks | chilled smoothies & ice coffee,01.2.2.0,01.2.2.0,True,True
amaroy express kaffee gold 100 g,kaffee,01.2.2.0,01.2.2.0,True,True
yellow tail cabernet sauvignon,wine,02.1.2.1,02.1.2.1,True,True
carrefour infusion after meal tea 20 pots,tea,01.2.3.0,01.2.3.0,True,True
carrefour specialty olive riviera whole 350 grms,tins cans & packets,01.1.7.9,01.1.5.1,True,False
"coca cola zero 1,05 lt","acqua, bevande, alcolici | bevande analcoliche",01.2.6.0,,True,False
3 leaves corned beef light 198g,tins cans & packets,01.1.2.5,,True,False
ducato sannita greco di tufo doc 75cl,drinks | wine | white wine,02.1.2.1,,True,False
branca menta mint liquer,alcohol,02.1.1.0,02.1.9.0,True,False
lion tea x40 + caddy tin,beverages | coffee & tea,01.2.3.0,05.4.0.3,True,False
glassa classica all'aceto balsamico di modena igp,"conserve | olio, aceto e sale",01.1.9.3,,True,False
b&g bordeaux  2017 75cl,drinks | wine | red wine,02.1.2.1,02.1.2.1,True,True
aberfeldy single highland malt scotch whisky,alcohol,02.1.1.0,,True,False
safari apple juice 250ml,juices & smoothies,01.2.1.0,01.2.1.0,True,True
grand fermage unsalted french butter 200 grms,"milk, butter & eggs",01.1.5.2,01.1.4.7,False,False
sterilgarda juice  pear juice,juices,01.2.1.0,01.2.1.0,True,True
qualita rossa espresso intensita 10,"caffè, tea e zucchero | caffè e solubili",01.2.2.0,01.2.2.0,True,True
principato merlot delle venezie,wine,02.1.2.1,02.1.2.1,True,True
powerade mountain blast 500 ml,"acqua, bevande, alcolici | bevande analcoliche",01.2.9.0,01.2.9.0,True,True
cisk lager 25cl,beverages | beer & cider,02.1.3.0,02.1.2.2,True,False
excellence mussles in brine 200 grms,tins cans & packets,01.1.9.1,01.1.3.4,False,False
coolee orange squash 1.5ltr,soft drinks,01.2.6.0,01.2.1.0,True,False
san valentino red 3ltr,drinks | wine | red wine,02.1.2.1,,True,False
chateau la tuilerie du puy,wine,02.1.2.1,02.1.2.1,True,True
destination hot choc powder 46%,organic products,01.1.8.5,01.1.8.5,True,True
capri-sonne orange and peach juice 330ml,juices & smoothies,01.2.1.0,01.1.8.3,True,False
milsani kaffeesahne 200 g,milchprodukte,01.1.4.3,01.1.4.7,False,False
grand badon la garelle emilion 750ml,wine,02.1.2.1,,True,False
zuegg skipper succo di ribes nero 1 lt,"acqua, bevande, alcolici | succhi di frutta",01.2.1.0,01.2.9.0,True,False
alexis lichine chevalier sauvignon blanc,wine,02.1.2.1,02.1.2.1,True,True
bosca sparkletini strawberry,wine,02.1.2.1,,True,False
mcguigan black label chardonnay 75cl,drinks | wine | white wine,02.1.2.1,02.1.2.1,True,True
monster lewis hamilton 50cl,beverages | soft drinks & mixers,01.2.9.0,01.2.6.0,True,False
lipton lemon 1.5ltr,drinks | ice tea | ice tea,01.2.3.0,,True,False
twix hot choc dolce gusto pods x8 136gr,food cupboard groceries | coffee | coffee sachets & pods,01.2.4.0,11.1.1.2,False,False
pepsi cola 330 ml,"acqua, bevande, alcolici | bevande analcoliche",01.2.6.0,02.1.9.0,True,False
rocchetta brioblu larossa sparkling 1.5ltr single,drinks | water | water - sparkling,01.2.5.0,,True,False
twining's orange mango & cinnamon infuso 040 grms,tea,01.2.3.0,01.2.3.0,True,True
citra trebbiano d'abbruzzo,wine,02.1.2.1,,True,False
strongbow dark fruit,cider,02.1.2.2,01.2.3.0,True,False
sanpellegrino chino zero zuccheri aggiunti 330 ml,"acqua, bevande, alcolici | bevande analcoliche",01.2.6.0,,False,False
solive franciacorta rose docg 750ml 750 ml,"acqua, bevande, alcolici | spumanti e champagne",02.1.2.1,02.1.2.1,True,True
nestle vera still water,water,01.2.5.0,01.2.5.0,True,True
hydration blue raspberry,"acqua, bibite e succhi | bibite",01.2.6.0,01.1.4.5,True,False
mayor tomato pulp 35c off 3x400g,tins cans & packets,01.1.9.3,,False,False
tisana a freddo sgonfiante digestiva fragola limone zenzero 18 filtri,"caffè, tea e zucchero | tea e infusi",01.2.3.0,01.2.3.0,True,True
acqua minerale effervescente naturale,"acqua, bibite e succhi | acqua minerale",01.2.5.0,,True,False
kopke 10 years old porto,wine,02.1.2.1,02.1.2.1,True,True
starbucks white mocha x12cap,beverages | coffee & tea,01.2.4.0,01.2.2.0,False,False
twining infuse fragola/anguria/limone 10 filtri,infusi,01.2.3.0,,False,False
pera dolce di natura,"acqua, bibite e succhi | succhi",01.2.1.0,01.2.1.0,True,True
amaroy kaffee-pads 144 g,kaffee,01.2.2.0,01.2.2.0,True,True
sani sifon acqua soda,"acqua, bevande, alcolici | bevande analcoliche",01.2.6.0,02.1.9.0,True,False
six saints caribbean rum,alcohol,02.1.1.0,02.1.1.0,True,True
belvedere grignolino piemonte doc,"acqua, bevande, alcolici | vini",02.1.2.1,02.1.2.1,True,True
nouaison gin 700 ml,"acqua, bevande, alcolici | liquori",02.1.1.0,,True,False
"bad durrheimer naturliches mineralwasser 0,75 l",wasser,01.2.5.0,,True,False
dreher redler birra e succo di limone 990 ml,"acqua, bevande, alcolici | birra",02.1.3.0,02.1.2.2,False,False
johnny walker red label whisky 700 ml,"acqua, bevande, alcolici | liquori",02.1.1.0,02.2.0.0,True,False
raineri olio extra vergine di oliva 500 ml,olio e conserve | olio,01.1.5.1,01.1.5.1,True,True
lipton yellow label tea deteinato squeezable 38 gr,"zucchero, caffe', te', infusi | te' e infusi",01.2.3.0,01.2.3.0,True,True
expressi typ filter kaffee mild 120g,kaffee,01.2.2.0,,True,False
"everton te solubile limone,lime e curcuma 560 gr","acqua, bevande, alcolici | bevande analcoliche",01.2.3.0,,False,False
elite marrowfat peas 300g,tins cans & packets,01.1.7.9,,True,False
barton & guestier malbec 750ml,wine,02.1.2.1,02.1.2.1,True,True
gran caffe  garibaldi nespresso tube top bar  10 pcs.,coffee,01.2.2.0,01.2.2.0,True,True
jack link`s beef jerky teriyaki 075 grms,tins cans & packets,01.1.2.5,,True,False
vinum merum bellamar gutturnio classico superiore doc,"acqua, bevande, alcolici | vini",02.1.2.1,,True,False
typhoo qt one cup 125gr,food cupboard groceries | tea | decaf & all classic teas,01.2.3.0,05.4.0.3,True,False
solvay bicarbonato di sodio purissimo 750 gr,"acqua, bevande, alcolici | bevande analcoliche",01.1.9.9,02.1.9.0,False,False
fuzetea tea lemon 400 ml,"acqua, bevande, alcolici | bevande analcoliche",01.2.3.0,01.2.3.0,True,True
martini royale rosato 75cl,wine cellar | wine  ,02.1.2.1,,True,False
dolo corned beef 200g,groceries | canned items,01.1.2.5,01.1.2.5,True,True
barbera frizzante piemonte doc,"vini, birra e liquori | vini",02.1.2.1,02.1.2.1,True,True
"chiarli lambrusco amabile di modena dop 1,5 lt","acqua, bevande, alcolici | vini",02.1.2.1,02.1.2.1,True,True
rauch bravo arancia rossa (red orange) 2ltr,drinks | smoothies & juice drinks | long life juice,01.2.1.0,01.2.1.0,True,True
coccodi italian barn eggs medium 6x350g,"milk, butter & eggs",01.1.4.8,01.1.4.7,False,False
kinnie / diet 500ml x12,beverages | soft drinks & mixers,01.2.6.0,01.2.9.0,True,False
bakoma sonata coffee cappuccino,cold coffee,01.1.4.7,01.2.2.0,False,False
twinings selezione di pregiati te 80 gr,"zucchero, caffe', te', infusi | te' e infusi",01.2.3.0,,False,False
jack daniels whisky,"acqua, bevande, alcolici | liquori",02.1.1.0,02.1.1.0,True,True
snapple snappy apple 473ml,drinks | smoothies & juice drinks | chilled smoothies & ice coffee,01.2.1.0,01.2.6.0,True,False
espresso intenso 9/13,"caffè, tea e zucchero | caffè e solubili",01.2.2.0,01.2.2.0,True,True
lurisia sparkling water glass,water,01.2.5.0,,True,False
"clarke's bourbon whiskey 0,7 l",spirituosen,02.1.1.0,,True,False
bolero mango sugar free instant drink 009 grms,soft drinks,01.2.9.0,01.1.6.6,False,False
lachryma vitis white 75cl carton,wine cellar | wine  ,02.1.2.1,,True,False
bio3 camomile tea  25 pcs.,tea,01.2.3.0,01.2.3.0,True,True
"rio d'oro mehrfruchtdirektsaft 1 l, ananas, orange & mango",saft & nektar,01.2.1.0,01.2.1.0,True,True
sacla organic basil pesto,organic products,01.1.9.3,01.1.9.4,True,False
albicocca varieta italiane,"acqua, bibite e succhi | succhi",01.2.1.0,02.1.1.0,False,False
santa babera cabernet saivignon,wine,02.1.2.1,,True,False
ty-phoo gold tea  80 pcs.,tea,01.2.3.0,,True,False
chateau roquefort bordeaux sauvignon,wine,02.1.2.1,,True,False
casillero del diablo carmenere,wine,02.1.2.1,02.1.2.1,True,True
milsani kondensmilch 10 % fett 340 g,milchprodukte,01.1.4.2,01.1.4.2,True,True
perrier peach & cherry sparkling drink,water,01.2.9.0,02.1.2.2,True,False
la festa hot chocolate milky 250g,beverages | coffee & tea,01.2.4.0,01.2.2.0,True,False
carrefour bio penne rigate intergrali,organic products,01.1.1.5,01.1.7.3,False,False
poppenburger bockwurst sausages 750 grms,tins cans & packets,01.1.2.5,01.1.2.5,True,True
torrevigne - taurasi  x,wine,02.1.2.1,,True,False
mutti bio passata  560 grms,tins cans & packets,01.1.9.3,05.3.2.1,False,False
estathe pesca 20cl,drinks | ice tea | ice tea,01.2.3.0,,True,False
gran lomo malbec,wine,02.1.2.1,02.1.2.1,True,True
stone go to ipa,beer,02.1.3.0,,True,False
enervit bottle orange 500ml,drinks | sports drinks | sports drinks,01.2.6.0,02.1.9.0,True,False
amaro importante 700 ml,"acqua, bevande, alcolici | liquori",02.1.1.0,02.1.9.0,True,False
valfrutta fine tomato pulp 2x 330 grms,tins cans & packets,01.1.9.3,01.1.7.2,False,False
san benedetto still,water,01.2.5.0,02.1.1.0,True,False
