Code,Description
03.2.1,Gaiters
03.2.1,Leggings and similar articles
03.2.1,Shoelaces
03.2.1,Heels for footwear
03.2.1,Soles for footwear
03.2.1,Other parts of footwear for self-repair
03.2.2,Repair and hire of footwear
03.2.2,Repair of footwear
03.2.2,Shoe-cleaning services
03.2.2,Hire of footwear
03.2.2,Total value of repair service including labour and materials
04.1.1,Actual rentals paid by tenants
04.1.1,Rent paid by tenants for unfurnished premises
04.1.1,Rent paid by tenants for furnished premises
04.1.1,Rent paid by subtenants for unfurnished premises
04.1.1,Rent paid by subtenants for furnished premises
04.1.1,Payments by households for a room in a hotel as main residence
04.1.1,Payments by households for a room in a boarding house as main residence
04.1.2,Other actual rentals
04.1.2,Rentals for vacation homes
04.1.2,Rentals for second homes
04.1.2,Rentals for temporary work assignments
04.1.2,Rentals for secondary residences
04.2.1,Imputed rentals of owner-occupiers
04.2.1,Imputed rentals of owners occupying their main residence
04.2.1,Imputed rentals of owner-occupiers
04.2.2,Other imputed rentals
04.2.2,Imputed rentals for secondary residences
04.2.2,Imputed rentals of households paying a reduced rental
04.2.2,Imputed rentals of households housed free
04.3.1,Materials for the maintenance and repair of the dwelling
04.3.1,paints
04.3.1,varnishes
04.3.1,renderings
04.3.1,wallpapers
04.3.1,fabric wall coverings
04.3.1,window panes
04.3.1,plaster
04.3.1,cement
04.3.1,putty
04.3.1,wallpaper pastes
04.3.1,small plumbing items
04.3.1,pipes
04.3.1,taps
04.3.1,joints
04.3.1,surfacing materials
04.3.1,floorboards
04.3.1,ceramic tiles
04.3.1,brushes for paint
04.3.1,brushes for varnish
04.3.1,brushes for wallpaper
04.3.1,scrapers for paint
04.3.1,scrapers for varnish
04.3.1,scrapers for wallpaper
04.3.2,Services for the maintenance and repair of the dwelling
04.3.2,Maintenance and repair services for dwellings
04.3.2,Plumber services for minor maintenance and repair
04.3.2,Electrician services for minor maintenance and repair
04.3.2,Carpenter services for minor maintenance and repair
04.3.2,Glazier services for minor maintenance and repair
04.3.2,Painter services for minor maintenance and repair
04.3.2,Decorator services for minor maintenance and repair
04.3.2,Floor polisher services for minor maintenance and repair
04.3.2,"Total value of maintenance and repair services, including labour and materials"
04.4.1,Water supply
04.4.1,Hire of water meters
04.4.1,Reading of water meters
04.4.1,Water supply standing charges
04.4.2,Refuse collection
04.4.2,Refuse collection
04.4.2,Refuse collection and disposal
04.4.3,Sewage collection
04.4.3,Sewage collection
04.4.3,Sewage collection and disposal
04.4.4,Other services relating to the dwelling n.e.c.
04.4.4,Co-proprietor charges for caretaking in multi-occupied buildings
04.4.4,Co-proprietor charges for gardening in multi-occupied buildings
04.4.4,Co-proprietor charges for stairwell cleaning in multi-occupied buildings
04.4.4,Co-proprietor charges for heating in multi-occupied buildings
04.4.4,Co-proprietor charges for lighting in multi-occupied buildings
04.4.4,Co-proprietor charges for maintenance of lifts in multi-occupied buildings
04.4.4,Co-proprietor charges for maintenance of refuse disposal chutes in multi-occupied buildings
04.4.4,Security services for dwellings
04.4.4,Snow removal services for dwellings
04.4.4,Chimney sweeping services for dwellings
04.5.1,Electricity
04.5.1,Hire of electricity meters
04.5.1,Reading of electricity meters
04.5.1,Electricity standing charges
04.5.1,Electricity consumption expenditure
04.5.2,Gas
04.5.2,Town gas
04.5.2,Natural gas
04.5.2,Liquefied hydrocarbons
04.5.2,Butane
04.5.2,Propane
04.5.2,Hire of meters
04.5.2,Reading of meters
04.5.2,Storage containers
04.5.2,Standing charges
04.5.3,Liquid fuels
04.5.3,Domestic heating oil
04.5.3,Domestic lighting oil
04.5.3,Liquid fuel for domestic heating
04.5.3,Liquid fuel for domestic lighting
04.5.4,Solid fuels
04.5.4,Coal
04.5.4,Coke
04.5.4,Briquettes
04.5.4,Firewood
04.5.4,Charcoal
04.5.4,Peat
04.5.5,Heat energy
04.5.5,Hot water purchased from district heating plants
04.5.5,Steam purchased from district heating plants
04.5.5,Hire of meters for heat energy
04.5.5,Reading of meters for heat energy
04.5.5,Standing charges for heat energy
04.5.5,Ice used for cooling purposes
04.5.5,Ice used for refrigeration purposes
05.1.1,Furniture and furnishings
05.1.1,Beds
05.1.1,Sofas
05.1.1,Couches
05.1.1,Tables
05.1.1,Chairs
05.1.1,Cupboards
05.1.1,Chests of drawers
05.1.1,Bookshelves
05.1.1,Ceiling lights
05.1.1,Standard lamps
05.1.1,Globe lights
05.1.1,Bedside lamps
05.1.1,Pictures
05.1.1,Sculptures
05.1.1,Engravings
05.1.1,Tapestries
05.1.1,Art objects
05.1.1,Reproductions of works of art
05.1.1,Ornaments
05.1.1,Screens
05.1.1,Folding partitions
05.1.1,Base mattresses
05.1.1,Mattresses
05.1.1,Tatamis
05.1.1,Bathroom cabinets
05.1.1,Baby furniture
05.1.1,Cradles
05.1.1,High chairs
05.1.1,Playpens
05.1.1,Blinds
05.1.1,Camping furniture
05.1.1,Garden furniture
05.1.1,Mirrors
05.1.1,Candleholders
05.1.1,Candlesticks
05.1.2,Carpets and other floor coverings
05.1.2,Loose carpets
05.1.2,Fitted carpets
05.1.2,Linoleum
05.1.2,Laying of floor coverings
05.1.3,"Repair of furniture, furnishings and floor coverings"
05.1.3,Repair of furniture
05.1.3,Repair of furnishings
05.1.3,Repair of floor coverings
05.1.3,Restoration of works of art
05.1.3,Restoration of antique furniture
05.1.3,Restoration of antique floor coverings
05.1.3,Total value of the service including labour and materials cost
05.2.0,Household textiles
05.2.0,Furnishing fabrics
05.2.0,Curtain material
05.2.0,Curtains
05.2.0,Double curtains
05.2.0,Awnings
05.2.0,Door curtains
05.2.0,Fabric blinds
05.2.0,Futons
05.2.0,Pillows
05.2.0,Bolsters
05.2.0,Hammocks
05.2.0,Sheets
05.2.0,Pillowcases
05.2.0,Blankets
05.2.0,Travelling rugs
05.2.0,Plaids
05.2.0,Eiderdowns
05.2.0,Counterpanes
05.2.0,Mosquito nets
05.2.0,Tablecloths
05.2.0,Table napkins
05.2.0,Towels
05.2.0,Face cloths
05.2.0,Shopping bags
05.2.0,Laundry bags
05.2.0,Shoe bags
05.2.0,Clothes covers
05.2.0,Furniture covers
05.2.0,Flags
05.2.0,Sunshades
05.2.0,Cloth bought by the piece
05.2.0,Oilcloth
05.2.0,Bathroom mats
05.2.0,Rush mats
05.2.0,Doormats
05.3.1,Major household appliances whether electric or not
05.3.1,Refrigerators
05.3.1,Freezers
05.3.1,Fridge-freezers
05.3.1,Washing machines
05.3.1,Dryers
05.3.1,Drying cabinets
05.3.1,Dishwashers
05.3.1,Ironing machines
05.3.1,Pressing machines
05.3.1,Cookers
05.3.1,Spit roasters
05.3.1,Hobs
05.3.1,Ranges
05.3.1,Ovens
05.3.1,Microwave ovens
05.3.1,Air-conditioners
05.3.1,Humidifiers
05.3.1,Space heaters
05.3.1,Water heaters
05.3.1,Ventilators
05.3.1,Extractor hoods
05.3.1,Vacuum cleaners
05.3.1,Steam-cleaning machines
05.3.1,Carpet shampooing machines
05.3.1,Floor scrubbing machines
05.3.1,Floor waxing machines
05.3.1,Floor polishing machines
05.3.1,Safes
05.3.1,Sewing machines
05.3.1,Knitting machines
05.3.1,Water softeners
05.3.2,Small electric household appliances
05.3.2,Coffee makers
05.3.2,Juice extractors
05.3.2,Can-openers
05.3.2,Food mixers
05.3.2,Deep fryers
05.3.2,Meat grills
05.3.2,Electric toasters
05.3.2,Ice cream makers
05.3.2,Sorbet makers
05.3.2,Yoghurt makers
05.3.2,Hotplates
05.3.2,Electric irons
05.3.2,Electric kettles
05.3.2,Electric fans
05.3.2,Electric blankets
05.3.2,Coffee grinders
05.3.2,Electric knives
05.3.3,Repair of household appliances
05.3.3,"Repair of refrigerators, including the cost of labour and materials"
05.3.3,"Repair of washing machines, including the cost of labour and materials"
05.3.3,"Repair of dishwashers, including the cost of labour and materials"
05.3.3,Leasing of televisions
05.3.3,"Rental of major household appliances such as refrigerators, washing machines, and dishwashers"
05.4.0,"Glassware, tableware and household utensils"
05.4.0,Glassware used for table
05.4.0,Crystal ware used for kitchen
05.4.0,Ceramic ware used for bathroom
05.4.0,China ware used for toilet
05.4.0,Cutlery
05.4.0,Flatware
05.4.0,Silverware
05.4.0,Saucepan
05.4.0,Stewpot
05.4.0,Pressure cooker
05.4.0,Frying pan
05.4.0,Coffee mill
05.4.0,Purée maker
05.4.0,Mincer
05.4.0,Hotplate
05.4.0,Household scale
05.4.0,Container for bread
05.4.0,Container for coffee
05.4.0,Container for spices
05.4.0,Waste bin
05.4.0,Waste-paper basket
05.4.0,Laundry basket
05.4.0,Portable money box
05.4.0,Strongbox
05.4.0,Towel rail
05.4.0,Bottle rack
05.4.0,Iron
05.4.0,Ironing board
05.4.0,Letter box
05.4.0,Feeding bottle
05.4.0,Thermos flask
05.4.0,Icebox
05.4.0,Repair of glassware
05.4.0,Repair of crystal ware
05.4.0,Repair of ceramic ware
05.4.0,Repair of china ware
05.4.0,Repair of cutlery
05.4.0,Repair of flatware
05.4.0,Repair of silverware
05.4.0,Repair of non-electric kitchen utensils
05.4.0,Repair of non-electric household articles
05.5.1,Major tools and equipment
05.5.1,Electric drills
05.5.1,Saws
05.5.1,Sanders
05.5.1,Hedge cutters
05.5.1,Garden tractors
05.5.1,Lawnmowers
05.5.1,Cultivators
05.5.1,Chainsaws
05.5.1,Water pumps
05.5.1,Leasing of do-it-yourself machinery
05.5.1,Rental of do-it-yourself equipment
05.5.1,Repair of motorized tools and equipment
05.5.2,Small tools and miscellaneous accessories
05.5.2,saws
05.5.2,hammers
05.5.2,screwdrivers
05.5.2,wrenches
05.5.2,spanners
05.5.2,pliers
05.5.2,trimming knives
05.5.2,rasps
05.5.2,files
05.5.2,wheelbarrows
05.5.2,watering cans
05.5.2,hoses
05.5.2,spades
05.5.2,shovels
05.5.2,rakes
05.5.2,forks
05.5.2,scythes
05.5.2,sickles
05.5.2,secateurs
05.5.2,ladders
05.5.2,steps
05.5.2,hinges
05.5.2,handles
05.5.2,locks
05.5.2,curtain rails
05.5.2,carpet rods
05.5.2,hooks
05.5.2,chains
05.5.2,grids
05.5.2,stakes
05.5.2,hoop segments for fencing and bordering
05.5.2,power sockets
05.5.2,switches
05.5.2,wiring flex
05.5.2,electric bulbs
05.5.2,fluorescent lighting tubes
05.5.2,torches
05.5.2,flashlights
05.5.2,hand lamps
05.5.2,electric batteries for general use
05.5.2,bells
05.5.2,alarms
05.6.1,Non-durable household goods
05.6.1,"Cleaning and maintenance products like soaps, washing powders, washing liquids, scouring powders, detergents, disinfectant bleaches, softeners, conditioners, window-cleaning products, waxes, polishes, dyes, unblocking agents, disinfectants, insecticides, pesticides, fungicides and distilled water"
05.6.1,"Articles for cleaning such as brooms, scrubbing brushes, dustpans and dust brushes, dusters, tea towels, floorcloths, household sponges, scourers, steel wool and chamois leathers"
05.6.1,"Paper products like filters, tablecloths and table napkins, kitchen paper, vacuum cleaner bags and cardboard tableware, including aluminium foil and plastic bin liners"
05.6.1,"Non-durable household articles such as matches, candles, lamp wicks, methylated spirits, clothes-pegs, clothes hangers, pins, safety pins, sewing needles, knitting needles, thimbles, nails, screws, nuts and bolts, tacks, washers, glues and adhesive tapes for household use, string, twine and rubber gloves"
05.6.1,"Polishes, creams and other shoe-cleaning articles"
05.6.1,Fire extinguishers for households
05.6.2,Domestic services and household services
05.6.2,"Domestic services supplied by paid staff employed in private service such as butlers, cooks, maids, drivers, gardeners, governesses, secretaries, tutors and au pairs"
05.6.2,Babysitting services supplied by enterprises or self-employed persons
05.6.2,Housework services supplied by enterprises or self-employed persons
05.6.2,Window cleaning services
05.6.2,Disinfecting services
05.6.2,Fumigation services
05.6.2,Pest extermination services
05.6.2,Dry-cleaning of household linen
05.6.2,Laundering of household textiles
05.6.2,Dyeing of carpets
05.6.2,Hire of furniture
05.6.2,Hire of furnishings
05.6.2,Hire of carpets
05.6.2,Hire of household equipment
05.6.2,Hire of household linen
06.1.1,Pharmaceutical products
06.1.1,Medicinal preparations
06.1.1,Medicinal drugs
06.1.1,Patent medicines
06.1.1,Serums
06.1.1,Vaccines
06.1.1,Vitamins
06.1.1,Minerals
06.1.1,Cod liver oil
06.1.1,Halibut liver oil
06.1.1,Oral contraceptives
06.1.2,Other medical products
06.1.2,Clinical thermometers
06.1.2,Adhesive bandages
06.1.2,Non-adhesive bandages
06.1.2,Hypodermic syringes
06.1.2,First-aid kits
06.1.2,Hot-water bottles
06.1.2,Ice bags
06.1.2,Elasticated stockings
06.1.2,Knee supports
06.1.2,Pregnancy tests
06.1.2,Condoms
06.1.2,Mechanical contraceptive devices
06.1.3,Therapeutic appliances and equipment
06.1.3,Corrective eyeglasses
06.1.3,Contact lenses
06.1.3,Hearing aids
06.1.3,Glass eyes
06.1.3,Artificial limbs
06.1.3,Prosthetic devices
06.1.3,Orthopaedic braces
06.1.3,Orthopaedic supports
06.1.3,Orthopaedic footwear
06.1.3,Surgical belts
06.1.3,Trusses
06.1.3,Neck braces
06.1.3,Medical massage equipment
06.1.3,Health lamps
06.1.3,Powered wheelchairs
06.1.3,Unpowered wheelchairs
06.1.3,Invalid carriages
06.1.3,Special beds
06.1.3,Crutches
06.1.3,Electronic devices for monitoring blood pressure
06.1.3,Dentures
06.1.3,Repair of therapeutic appliances and equipment
06.2.1,Medical services
06.2.1,Consultations of physicians in general practice
06.2.1,Consultations of physicians in specialist practice
06.2.1,Services of orthodontic specialists
06.2.2,Dental services
06.2.2,Services of dentists
06.2.2,Services of oral hygienists
06.2.2,Services of other dental auxiliaries
06.2.2,Fitting costs of dentures
06.2.3,Paramedical services
06.2.3,Services of medical analysis laboratories
06.2.3,Services of x-ray centres
06.2.3,Services of freelance nurses
06.2.3,Services of freelance midwives
06.2.3,Services of freelance acupuncturists
06.2.3,Services of freelance chiropractors
06.2.3,Services of freelance optometrists
06.2.3,Services of freelance physiotherapists
06.2.3,Services of freelance speech therapists
06.2.3,Medically prescribed corrective-gymnastic therapy
06.2.3,Outpatient thermal bath treatments
06.2.3,Outpatient sea-water treatments
06.2.3,Ambulance services
06.2.3,Hire of therapeutic equipment
06.2.3,Services of practitioners of traditional medicine
06.3.0,Hospital services
06.3.0,Administration for hospital in-patients
06.3.0,Accommodation for hospital in-patients
06.3.0,Food and drink for hospital in-patients
06.3.0,Supervision and care by non-specialist staff (nursing auxiliaries) for hospital in-patients
06.3.0,First aid and resuscitation for hospital in-patients
06.3.0,Ambulance transport for hospital in-patients
06.3.0,Provision of medicines and other pharmaceutical products for hospital in-patients
06.3.0,Provision of therapeutic appliances and equipment for hospital in-patients
06.3.0,Services of physicians in general practice for hospital in-patients
06.3.0,Services of physicians in specialist practice for hospital in-patients
06.3.0,Services of surgeons for hospital in-patients
06.3.0,Services of dentists for hospital in-patients
06.3.0,Medical analyses for hospital in-patients
06.3.0,X-rays for hospital in-patients
06.3.0,Paramedical services of nurses for hospital in-patients
06.3.0,Paramedical services of midwives for hospital in-patients
06.3.0,Paramedical services of chiropractors for hospital in-patients
06.3.0,Paramedical services of optometrists for hospital in-patients
06.3.0,Paramedical services of physiotherapists for hospital in-patients
06.3.0,Paramedical services of speech therapists for hospital in-patients
07.1.1,Motor cars
07.1.1,Motor cars with two-wheel drive
07.1.1,Motor cars with four-wheel drive
07.1.1,Passenger vans with two-wheel drive
07.1.1,Passenger vans with four-wheel drive
07.1.1,Station wagons with two-wheel drive
07.1.1,Station wagons with four-wheel drive
07.1.1,Estate cars with two-wheel drive
07.1.1,Estate cars with four-wheel drive
07.1.2,Motor cycles
07.1.2,Motor cycles of all types
07.1.2,scooters
07.1.2,powered bicycles
07.1.2,sidecars
07.1.2,snowmobiles
07.1.3,Bicycles
07.1.3,Bicycles of all types
07.1.3,Tricycles of all types
07.1.3,Rickshaws
07.1.4,Animal drawn vehicles
07.1.4,Animal drawn vehicles
07.1.4,Animals required to draw the vehicles
07.1.4,Related equipment for animal drawn vehicles
07.1.4,Yokes for animal drawn vehicles
07.1.4,Collars for animal drawn vehicles
07.1.4,Harnesses for animal drawn vehicles
