CODE,NAME_EN,LEVEL,PARENT_CODE,InclusionNote
05.1.3.0,"Repair of furniture, furnishings and floor coverings",4,05.1.3,"Includes:\r\n- repair of furniture, furnishings and floor coverings\r\n\r\nAlso includes:\r\n- total value of the service (that is, both the cost of labour and the cost of materials are covered)\r\n- restoration of works of art, antique furniture and antique floor coverings other than those acquired primarily as stores of value (capital formation)"
05.2.0.2,Bed linen,4,05.2.0,"Includes:\r\n- bed linen such as sheets, pillowcases, blankets, travelling rugs, plaids, eiderdowns, counterpanes and mosquito nets"
05.2.0.3,Table linen and bathroom linen,4,05.2.0,"Includes:\r\n- table linen and bathroom linen such as tablecloths, table napkins, towels and face cloths"
05.2.0.4,Repair of household textiles,4,05.2.0,Includes:\r\n- repair of household textiles
05.3.1.1,"Refrigerators, freezers and fridge-freezers",4,05.3.1,Includes: \r\n- refrigerators and dual temperature refrigerators
05.3.1.2,"Clothes washing machines, clothes drying machines and dish washing machines",4,05.3.1,"Includes: \r\n- drum dryers, drying cabinets, drying radiators"
05.3.1.9,Other major household appliances,4,05.3.1,"Includes:\r\n- other major household appliances such as safes, sewing machines, knitting machines, water softeners, etc."
05.3.2.9,Other small electric household appliances,4,05.3.2,Includes:\r\n- coffee mills\r\n- juice extractors\r\n- can-openers\r\n- deep fryers\r\n- knives\r\n- ice cream makers\r\n- sorbet makers\r\n- yoghurt makers\r\n- hotplates\r\n- fans\r\n- electric blankets
05.3.3.0,Repair of household appliances,4,05.3.3,"Includes:\r\n- repair of household appliances\r\n\r\nAlso includes:\r\n- total value of the service (that is, both the cost of labour and the cost of materials are covered)\r\n- charges for the leasing or rental of major household appliances"
05.4.0.1,"Glassware, crystal-ware, ceramic ware and chinaware",4,05.4.0,"Includes:\r\n- glassware, crystal ware, ceramic ware and china ware of the kind used for table, kitchen, bathroom, toilet, office and indoor decoration"
05.5.1.1,Motorised major tools and equipment,4,05.5.1,"Includes:\r\n- electric drills, percussion drill, electric saws, electric sanders\r\n- garden tractors, chain saws, lawn movers, clipper for lawn, hedge cutters, cultivators\r\n- water pumps"
05.5.2.1,Non-motorised small tools,4,05.5.2,"Includes:\r\n- saws, hammers, screwdriver, wrenches, spanners, pliers, trimming knives, rasps and files\r\n- power shears, wheelbarrows, watering cans, hoses, spades, shovels, rakes, forks and secateurs\r\n- ladders and steps"
05.5.2.2,Miscellaneous small tool accessories,4,05.5.2,"Includes:\r\n- door fittings (hinges, handles and locks), fittings for radiators and fireplaces, other metal articles for the house (curtain rails, carpet rods, hooks, etc.) or for the garden (chains, grids, stakes and hoop segments for fencing and bordering)\r\n- power sockets, switches, wiring flex, light bulbs, fluorescent lighting tubes, torches, flashlights, hand-lamps, batteries, bells, alarms and outdoor lights"
05.5.2.3,Repair of non-motorised small tools and miscellaneous accessories,4,05.5.2,Includes:\r\n- repair of non-motorised small tools and miscellaneous accessories
05.6.1.1,Cleaning and maintenance products,4,05.6.1,"Includes:\r\n- detergents, dishwashing, machine dishwashing detergent, scouring powders, disinfectant bleaches, softeners, conditioners, stain remover\r\n- general purpose cleanser, window-cleaning products, unblocking agents, disinfectants\r\n- floor wax, polishes\r\n- polishes, creams and other shoe-cleaning articles (shoe brush)\r\n- insecticides, fungicides, distilled water"
05.6.1.2,Other non-durable small household articles,4,05.6.1,"Includes:\r\n- dustpans and dust brushes, dusters\r\n- cloths, floor cloths, chamois leathers\r\n- dish brush, household sponges, scourers, steel wool\r\n- filters, tablecloths and table napkins, kitchen paper, baking parchment roll, kitchen film, aluminium foil, doily\r\n- disposable plates, cups and cutlery\r\n- vacuum cleaner bags\r\n- candles, lamp wicks, methylated spirits, plastic bags, garbage bags\r\n- matches, clothes pegs, clothes hangers, pins, safety pins, sewing needles, knitting needles, thimbles, nails, screws, nuts and bolts, tacks, washers, glues and adhesive tapes for household use, string, twine and rubber gloves"
05.6.2.1,Domestic services by paid staff,4,05.6.2,"Includes:\r\n- domestic services supplied by butlers, cooks, maids, drivers, gardeners, governesses, secretaries, tutors, au pairs, babysitters\r\n\r\nAlso includes:\r\n- house-maids that iron household linen and clothes in the family residence\r\n- household services provided by self-employed or enterprises"
05.6.2.3,Hire of furniture and furnishings,4,05.6.2,"Includes: \r\n- hire of carpets, household equipment and household linen"
06.1.1.0,Pharmaceutical products,4,06.1.1,"Includes:\r\n- medicinal preparations, medicinal drugs, patent medicines, serums and vaccines, vitamins and minerals, cod liver oil and halibut liver oil, oral contraceptives\r\n\r\nAlso includes:\r\n- homeopathic medicines"
06.1.2.1,Pregnancy tests and mechanical contraceptive devices,4,06.1.2,Includes: \r\n- condoms
06.1.3.1,Corrective eye-glasses and contact lenses,4,06.1.3,Includes:\r\n- corrective eye-glasses and contact lenses
06.1.3.2,Hearing aids,4,06.1.3,Includes:\r\n- hearing aids
06.1.3.3,Repair of therapeutic appliances and equipment,4,06.1.3,Includes:\r\n- repair of therapeutic appliances and equipment
06.1.3.9,Other therapeutic appliances and equipment,4,06.1.3,"Includes:\r\n- glass eyes, artificial limbs and other prosthetic devices, orthopaedic braces and supports, orthopaedic footwear, surgical belts, trusses and supports, neck braces, medical massage equipment and health lamps, powered and unpowered wheelchairs and invalid carriages, beds for therapeutic purposes, crutches, electronic and other devices for monitoring blood pressure, etc.\r\n\r\nAlso includes:\r\n- dentures but not fitting costs"
06.2.1.1,General practice,4,06.2.1,Includes:\r\n- consultations of physicians in general practice
06.2.3.1,Services of medical analysis laboratories and X-ray centres,4,06.2.3,"Includes:\r\n- services of medical analysis laboratories and X-ray centres including all diagnostic and imaging methods (i.e. CT, MRI, sonography)"
06.2.3.9,Other paramedical services,4,06.2.3,"Includes:\r\n- services of freelance nurses and midwives, acupuncturists, chiropractors, optometrists, physiotherapists, speech therapists etc."
06.3.0.0,Hospital services,4,06.3.0,"Includes:\r\n- Hospital services comprise the provision of the following services to hospital in-patients:\r\n  • basic services\r\n  • administration\r\n  • accommodation\r\n  • food and drink\r\n  • supervision and care by non-specialist staff (nursing auxiliaries)\r\n  • first aid and resuscitation\r\n  • ambulance transport\r\n  • provision of medicines and other pharmaceutical products\r\n  • provision of therapeutic appliances and equipment\r\n  • medical services\r\n  • services of physicians in general or specialist practice, of surgeons and of dentists\r\n  • medical analyses and X-rays\r\n  • paramedical services such as those of nurses, midwives, chiropractors, optometrists, physiotherapists, speech therapists, etc."
07.1.1.1,New motor cars,4,07.1.1,"Includes:\r\n- new motor cars, passenger vans, station wagons, estate cars and the like with either two-wheel drive or four-wheel drive"
07.1.1.2,Second-hand motor cars,4,07.1.1,"Includes:\r\n- second-hand motor cars, passenger vans, station wagons, estate cars and the like with either two-wheel drive or four-wheel drive"
07.1.3.0,Bicycles,4,07.1.3,Includes:\r\n- bicycles and tricycles of all types\r\n\r\nAlso includes:\r\n- rickshaws
07.1.4.0,Animal drawn vehicles,4,07.1.4,"Includes:\r\n- animal drawn vehicles\r\n\r\nAlso includes:\r\n- animals required to draw the vehicles and related equipment (yokes, collars, harnesses, bridles, reins, etc.)"
07.2.1.1,Tyres,4,07.2.1,"Includes:\r\n- new, used or retreaded, including inner tubes for car, bicycles, motorcycles etc."
07.2.2.1,Diesel,4,07.2.2,Includes:\r\n- diesel
07.2.4.1,"Hire of garages, parking spaces and personal transport equipment",4,07.2.4,Includes:\r\n- hire of garages or parking spaces not providing parking in connection with the dwelling\r\n- hire of personal transport equipment without drivers
07.2.4.3,"Driving lessons, tests, licences and road worthiness tests",4,07.2.4,"Includes:\r\n- driving lessons, tests, licences and roadworthiness tests"
07.3.1.2,Passenger transport by underground and tram,4,07.3.1,Includes:\r\n- transport of individuals and groups of persons and luggage by underground\r\n- transport of individuals and groups of persons and luggage by tram
07.3.2.1,Passenger transport by bus and coach,4,07.3.2,Includes:\r\n- transport of individuals and groups of persons and luggage by bus and coach
07.3.2.2,Passenger transport by taxi and hired car with driver,4,07.3.2,Includes:\r\n- transport of individuals and groups of persons and luggage by taxi and hired car with driver
07.3.3.1,Domestic flights,4,07.3.3,Includes:\r\n- domestic transport of individuals and groups of persons and luggage by aeroplane and helicopter
07.3.3.2,International flights,4,07.3.3,Includes:\r\n- international transport of individuals and groups of persons and luggage by aeroplane and helicopter (international means that the destination is outside the country)
07.3.4.1,Passenger transport by sea,4,07.3.4,"Includes:\r\n- transport of individuals and groups of persons and luggage by ship, boat, ferry, hovercraft and hydrofoil\r\n\r\nAlso includes:\r\n- transport of private vehicles"
07.3.4.2,Passenger transport by inland waterway,4,07.3.4,"Includes:\r\n- transport of individuals and groups of persons and luggage by ship, boat, ferry, hovercraft and hydrofoil\r\n\r\nAlso includes:\r\n- transport of private vehicles"
07.3.6.1,"Funicular, cable-car and chair-lift transport",4,07.3.6,
07.3.6.2,Removal and storage services,4,07.3.6,Includes: \r\n- services of porters and left-luggage and luggage-forwarding offices
07.3.6.9,Other purchased transport services n.e.c.,4,07.3.6,"Includes: \r\n- travel agents' commissions, if separately priced"
08.2.0.1,Fixed telephone equipment,4,08.2.0,Includes:\r\n- fixed telephones
08.2.0.2,Mobile telephone equipment,4,08.2.0,"Includes:\r\n- mobile telephone handsets, including devices with several functions"
08.3.0.5,Other information transmission services,4,08.3.0,"Includes\r\n- telegraphy, telex and telefax services\r\n- VOIP (Voice Over Internet Protocol) provision\r\n- hire of telegraphy, telex, telefax, radiotelephony, radiotelegraphy and radiotelex equipment\r\n\r\nAlso includes:\r\n- radiotelephony, radiotelegraphy and radiotelex services"
09.1.2.1,Cameras,4,09.1.2,"Includes:\r\n- still cameras, movie cameras and sound-recording cameras, film and slide projectors, enlargers and film processing equipment\r\n- video cameras, including cam-corders"
09.1.2.3,Optical instruments,4,09.1.2,"Includes:\r\n- binoculars, microscopes, telescopes and compasses"
09.1.3.3,Software,4,09.1.3,"Includes:\r\n- computer software packages such as operating systems, applications, languages, etc."
09.1.4.1,Pre-recorded recording media,4,09.1.4,"Includes:\r\n- CDs, gramophone records, Blu-ray discs, videos and DVDs, cassettes, video cassettes\r\n\r\nAlso includes:\r\n- audio and video (film) downloads"
09.1.4.9,Other recording media,4,09.1.4,"Includes:\r\n- memory cards, memory sticks, film rolls, unexposed films, cartridges and discs for photographic and cinematographic use\r\n\r\nAlso includes:\r\n- photographic supplies such as paper"
09.2.1.2,"Aeroplanes, microlight aircraft, gliders, hang-gliders and hot-air balloons",4,09.2.1,"Includes:\r\n- aeroplanes, microlight aircraft, gliders, hang-gliders and hot-air balloons"
09.2.1.3,"Boats, outboard motors and fitting out of boats",4,09.2.1,"Includes:\r\n- boats, outboard motors, sails, rigging and superstructures"
09.2.1.5,Major items for games and sport,4,09.2.1,"Includes:\r\n- canoes, kayaks, wind-surfing boards, sea-diving equipment and golf carts"
09.2.2.1,Musical instruments,4,09.2.2,"Includes:\r\n- traditional instruments \r\n- pianos, organs, violins, guitars, drums, trumpets, clarinets, flutes, recorders, harmonicas, etc.\r\n- electronic instruments"
09.2.3.0,Maintenance and repair of other major durables for recreation and culture,4,09.2.3,"Includes:\r\n- maintenance and repair of other major durables for recreation and culture\r\n\r\nAlso includes:\r\n- total value of the service (that is, both the cost of labour and the cost of materials are covered)\r\n- laying up for winter of boats, camper vans, caravans, etc.\r\n- hangar services for private planes\r\n- marina services for boats\r\n- veterinary and other services (stabling, feeding, farriery, etc.) for horses and ponies purchased for recreational purposes"
09.3.1.1,Games and hobbies,4,09.3.1,"Includes:\r\n- traditional games-card games, parlour games, chess sets and the like\r\n- electronic games\r\n\r\nAlso includes:\r\n- video game software\r\n- video game computers that plug into a television set\r\n- video game cassettes and video game CD-ROMs\r\n- hobby-stamp-collecting requisites (used or cancelled postage stamps, stamp albums, etc.)\r\n- other items for collections (coins, medals, minerals, zoological and botanical specimens, etc.) and other tools and articles n.e.c. for hobby purposes"
09.3.1.2,Toys and celebration articles,4,09.3.1,"Includes:\r\n- dolls, such as Barbie, Bratz, Polly etc.\r\n- toy cars, including toy trains, toy bicycles and tricycles\r\n- soft toys- teddy-bears etc.\r\n- Lego and toy construction sets, such as Playmobil\r\n- puzzles\r\n- plasticine\r\n- masks\r\n- disguises\r\n- jokes\r\n- novelties\r\n- fireworks and rockets\r\n- festoons\r\n- Christmas tree decorations"
09.3.2.1,Equipment for sport,4,09.3.2,"Includes:\r\n- gymnastic, physical education and sport equipment such as balls, shuttlecocks, nets, rackets, bats, skis, golf clubs, discuses, javelins\r\n- parachutes and other sky-diving equipment\r\n- firearms and ammunition for hunting, sport and personal protection\r\n- fishing rods and other equipment for fishing\r\n- equipment for beach and open-air games such as bowls, croquet, frisbee, volleyball and inflatable boats, rafts and swimming pools\r\n\r\nAlso includes:\r\n- game-specific footwear (ski boots, football boots, golfing shoes and other such footwear fitted with ice skates, rollers, spikes, studs, etc.)\r\n- protective headgear for sports\r\n- other protective gear for sports such as life jackets, boxing gloves, body padding, shin-guards, goggles, belts, supports, etc."
09.3.3.1,Garden products,4,09.3.3,"Includes:\r\n- soil, peat and fertilizers\r\n- pots and pot holders"
09.3.4.2,Products for pets,4,09.3.4,"Includes:\r\n- pet foods, veterinary and grooming products for pets, collars, leashes, kennels, birdcages, fish tanks, cat litter, etc."
09.3.5.0,Veterinary and other services for pets,4,09.3.5,"Includes:\r\n- veterinary and other services for pets such as grooming, boarding, tattooing, micro-chip implanting and training"
09.4.1.2,Recreational and sporting services — Participation,4,09.4.1,"Includes:\r\n- skating rinks, swimming pools, golf courses, gymnasia, fitness centres, tennis courts, squash courts and bowling alleys\r\n- roundabouts, see-saws and other playground facilities for children\r\n- pin-ball machines and other games for adults other than games of chance\r\n- ski slopes, ski lifts and the like\r\n- hire of equipment and accessories for sport and recreation, such as aeroplanes, boats, horses, skiing and camping equipment\r\n- out-of-school individual or group lessons in bridge, chess, aerobics, dancing, music, skating, skiing, swimming or other pastimes\r\n- services of mountain guides, tour guides, etc.\r\n- navigational aid services for boating\r\n\r\nAlso includes:\r\n- hire of game-specific footwear (ski boots, football boots, golfing shoes and other such footwear fitted with ice-skates, rollers, spikes, studs, etc.)"
09.4.2.1,"Cinemas, theatres, concerts",4,09.4.2,"Includes:\r\n- cinemas\r\n- theatres, opera houses\r\n- concert and music halls\r\n- circuses, sound and light shows and other\r\n\r\nAlso includes:\r\n- services of musicians, clowns, performers for private entertainments"
09.4.2.3,"Television and radio licence fees, subscriptions",4,09.4.2,Includes:\r\n- television and radio broadcasting fees\r\n- subscription to cable TV and Pay-TV\r\n\r\nAlso includes:\r\n- television on demand\r\n- streaming services of audio and/or video content for which customers need a subscription and pay a fee
09.4.2.4,Hire of equipment and accessories for culture,4,09.4.2,"Includes:\r\n- hire of DVDs, video cassettes, CDs, Blu-ray\r\n- hire of equipment and accessories for culture, such as television set"
09.4.2.5,Photographic services,4,09.4.2,"Includes:\r\n- services of photographers such as film developing, print processing, enlarging, portrait photography, wedding photography, etc.\r\n\r\nAlso includes\r\n- services provided by non-specialised shops (e.g. supermarkets, consumer electronic stores etc.) and purchase by Internet"
09.4.2.9,Other cultural services,4,09.4.2,Includes:\r\n- rental and leasing services of musical instruments
09.5.1.1,Fiction books,4,09.5.1,Includes: \r\n- children's books\r\n\r\nAlso includes:\r\n- scrapbooks and albums for children
09.5.1.3,Other non-fiction books,4,09.5.1,Includes:\r\n- dictionaries\r\n- art books\r\n- travel guides\r\n- reference books
09.5.2.1,Newspapers,4,09.5.2,Includes:\r\n- newspaper bought in kiosks\r\n- subscription for newspapers (home delivery)\r\n- Internet subscription for newspapers
09.5.3.0,Miscellaneous printed matter,4,09.5.3,"Includes:\r\n- catalogues and advertising material\r\n- posters, plain or picture postcards, calendars\r\n- greeting cards and visiting cards, announcement and message cards\r\n- maps and globes"
09.5.4.9,Other stationery and drawing materials,4,09.5.4,"Includes:\r\n- pens, pencils, fountain pens, ballpoint pens, felt-tip pens, inks, erasers, pencil sharpeners, etc.\r\n- stencils, carbon paper, typewriter ribbons, inking pads, correcting fluids, etc.\r\n- paper punches, paper cutters, paper scissors, office glues and adhesives, staplers and staples, paper clips, drawing pins, etc.\r\n- drawing and painting materials such as canvas, card, paints, crayons, pastels and brushes\r\n\r\nAlso includes:\r\n- toner and ink cartridges\r\n- slide rules, geometry instruments, slates, chalks and pencil boxes"
09.6.0.2,Package international holidays,4,09.6.0,Includes:\r\n- holidays taking place in other countries other than the country where the holidaymaker resides
