name,category,code,prediction,correct_option,correct_n,match
lavazza perfetto esp 250g,beverages | coffee & tea,01.2.2.0,01.2.2.0,True,8,True
schweppes tonica 330 ml,"acqua, bevande, alcolici | bevande analcoliche",01.2.6.0,01.2.6.0,True,1,True
kristal frutaqua lemon,water,01.2.6.0,01.2.6.0,True,3,True
il montu' grappa di bonarda oltrepo pavese,"acqua, bevande, alcolici | liquori",02.1.1.0,02.1.2.1,True,2,False
bolero instant drink pear,drinks | squashes | fruit & milk squashes,01.2.9.0,01.1.6.3,False,0,False
vital nature avena e cocco senza zuccheri aggiunti bio,"acqua, bibite e succhi | bevande vegetali",01.2.1.0,01.1.9.9,True,7,False
feudi di san gregorio fiano d'avellino doc 750 ml,"acqua, bevande, alcolici | vini",02.1.2.1,02.1.2.1,True,6,True
jimmy iced coffee caramel,cold coffee,01.2.2.0,01.2.3.0,True,9,False
lavazza caffe crema e gusto 500 gr,"zucchero, caffe', te', infusi | caffe'",01.2.2.0,01.2.2.0,True,12,True
sensi chianti docg in fiasco,"acqua, bevande, alcolici | vini",02.1.2.1,02.1.2.1,True,3,True
nescafe ispirazione italiana espresso roma 112 gr,"zucchero, caffe', te', infusi | caffe'",01.2.2.0,01.2.2.0,True,9,True
jolly pear juice x6 x125ml,drinks | smoothies & juice drinks | long life juice,01.2.1.0,01.2.1.0,True,5,True
"milsani bergbauern-joghurt 0,45 kg, vanille",milchprodukte,01.1.4.6,01.1.4.3,True,4,False
mont valentino 2021 merlot,wine,02.1.2.1,02.1.2.1,True,10,True
san paolo red 75cl,drinks | wine | red wine,02.1.2.1,02.1.2.1,True,9,True
gavi del comune di gavi granee,wine,02.1.2.1,02.1.2.1,True,10,True
j.p. chenet medium sweet moelleux red,wine,02.1.2.1,02.1.2.1,True,9,True
innocent plus green wonder green  750 ml,chilled fruit juice & smoothie,01.2.1.0,01.2.1.0,True,7,True
heath & heather green tea with manuka 40 grms,tea,01.2.3.0,01.2.3.0,True,7,True
exeter corned beef 30c off 340g,tins cans & packets,01.1.2.5,01.1.2.2,True,5,False
"lowenbrau munchen munchner hell 0,5 l",bier,02.1.3.0,02.1.3.0,True,5,True
dolce gusto ristretto barista 16 cap 120gr,food cupboard groceries | coffee | coffee sachets & pods,01.2.2.0,05.4.0.3,False,0,False
peroni nastro azzurro 33cl,drinks | beers & ciders | beers & lagers,02.1.3.0,02.1.9.0,True,3,False
grignolino d'asti doc,"vini, birra e liquori | vini",02.1.2.1,02.1.2.1,True,8,True
coldpress valencia orange,juices,01.2.1.0,01.1.6.2,True,5,False
vodka keglevich ginepro 70cl 30deg,gin & vodka,02.1.1.0,02.1.1.0,True,3,True
sodastream pepsi max syrup,soft drinks,01.2.6.0,01.2.6.0,True,3,True
coca cola can 330ml,drinks | soft drinks | soft drinks,01.2.6.0,04.5.4.9,True,3,False
duca di camastra syrah 75cl,drinks | wine | red wine,02.1.2.1,02.1.2.1,True,10,True
strongbow rose 50cl,drinks | beers & ciders | cider,02.1.2.2,02.1.2.1,True,1,False
ribena blackcurrant 600ml,beverages | juices & ice-teas,01.2.9.0,01.2.1.0,True,2,False
notte rossa primitivo rosato igp,"acqua, bevande, alcolici | vini",02.1.2.1,02.1.2.1,True,7,True
kean orange juice 250 ml,juices & smoothies,01.2.1.0,01.2.1.0,True,6,True
kinnie bottle,soft drinks,01.2.6.0,02.1.9.0,True,3,False
prosecco millesimato doc,"vini, birra e liquori | spumanti e champagne",02.1.2.1,02.1.2.1,True,9,True
milsani joghurt 500 g,milchprodukte,01.1.4.6,01.1.4.3,True,1,False
erin thick chicken soup 64 g,tins cans & packets,01.1.9.1,01.1.9.9,True,4,False
santagostino rosso firriato 75cl,drinks | wine | red wine,02.1.2.1,02.1.2.1,True,9,True
nescafe gold chocolate caramel hazelnut latte x8sac,food cupboard groceries | coffee | coffee sachets & pods,01.1.4.7,01.1.8.5,True,1,False
lavazza a modo mio qualita oro,"zucchero, caffe', te', infusi | caffe'",01.2.2.0,01.2.2.0,True,11,True
malteser's hot chocolate  powder,hot drinks,01.2.4.0,01.1.4.7,True,3,False
mevante montefalco sagrantino 75ml,wine,02.1.2.1,02.1.2.1,True,10,True
monkey dry gin,"acqua, bevande, alcolici | liquori",02.1.1.0,07.2.2.3,True,3,False
succo e polpa di pera,"acqua, bibite e succhi | succhi",01.2.1.0,02.1.9.0,True,5,False
asahi birra chiara 500 ml,"acqua, bevande, alcolici | birra",02.1.3.0,02.1.3.0,True,3,True
torres celeste,wine,02.1.2.1,02.1.2.1,True,9,True
alte valli appennine burro 125 gr,"latte, yogurt, burro, uova | latticini e burro",01.1.5.2,01.1.4.7,False,0,False
bravo arancia senza zuccheri aggiunti 1 lt,"acqua, bevande, alcolici | succhi di frutta",01.2.1.0,01.2.1.0,True,5,True
tisana caffe amaretto & vaniglia 15 filtri,"caffè, tea e zucchero | tea e infusi",01.2.3.0,01.2.2.0,True,1,False
syrah igp,"vini, birra e liquori | vini",02.1.2.1,02.1.2.1,True,8,True
carrefour lentils eston 400g,tins cans & packets,01.1.7.9,01.1.7.9,True,4,True
sanpellegrino cocktail zero 330 ml,"acqua, bevande, alcolici | bevande analcoliche",01.2.6.0,02.1.3.0,False,0,False
tropicana orange smooth,juices,01.2.1.0,01.2.1.0,True,4,True
burro gran moravia 250g,burro & margarina,01.1.5.2,01.1.5.3,False,0,False
evian natural mineral water 750 ml,bottled water,01.2.5.0,01.2.5.0,True,4,True
alska strawberry & lime fruit cider,cider,02.1.2.2,02.1.2.2,True,1,True
coppini olive oil 250ml,groceries | oil & vinegar,01.1.5.1,01.1.5.1,True,3,True
delicata lachryma vitis red tetrapak 75cl,drinks | wine | red wine,02.1.2.1,02.1.2.1,True,8,True
"smoochie kiwi, pineapple",juices,01.2.1.0,01.1.6.5,True,4,False
bolero instant drink peach,drinks | squashes | fruit & milk squashes,01.2.9.0,01.1.6.3,False,0,False
bordon corned beef low fat 340 grms,tins cans & packets,01.1.2.5,01.1.2.5,True,5,True
baron philippe de rothschild sauvignon blanc,wine,02.1.2.1,02.1.2.1,True,10,True
famous grouse smoky black,alcohol,02.1.1.0,02.1.1.0,True,4,True
carrefour aqua monviso frizzante,water,01.2.5.0,01.2.9.0,True,2,False
santal dolce di natura multifrutti,"acqua, bevande, alcolici | succhi di frutta",01.2.1.0,01.2.1.0,True,7,True
bertani amarone valoantena,wine,02.1.2.1,02.1.2.1,True,9,True
latte accadi' senza lattosio,"latticini | latte, uova e burro",01.1.4.1,01.1.4.7,True,1,False
"primia the con infuso di pesca 1,5 lt","acqua, bevande, alcolici | bevande analcoliche",01.2.3.0,02.1.2.1,False,0,False
calvo tuna steak in sunflower oil with chilli 3+1 free 080 grms,tins cans & packets,01.1.9.1,01.1.3.3,True,1,False
bonduelle red kidney beans 400g,tins cans & packets,01.1.7.9,01.1.7.3,True,1,False
duca di vigliano grappa moscato affinato 500 ml,"acqua, bevande, alcolici | liquori",02.1.1.0,01.2.9.0,True,2,False
latte accadi' uht senza lattosio,"latticini | latte, uova e burro",01.1.4.1,01.1.4.7,False,0,False
cisk excel lager beer 6 x 330ml,beverages | beer & cider,02.1.3.0,02.1.3.0,True,3,True
carrefour preparato per cioccolata,hot drinks,01.1.8.5,01.2.4.0,True,9,False
kumala chenin blanc 2017 750 ml,wine,02.1.2.1,02.1.2.1,True,9,True
folonari chardonnay,wine,02.1.2.1,02.1.2.1,True,11,True
bavaria non-alcoholic beer can,beer,02.1.3.0,02.1.3.0,True,3,True
koppaberg cherry cider 50cl,drinks | beers & ciders | cider,02.1.2.2,02.1.2.2,True,1,True
lurpak spread salted 56c off,spreads,01.1.5.2,01.1.6.9,False,0,False
moo mini white,organic products,01.1.8.5,05.3.2.1,True,1,False
"holunderblutenlikor 0,5 l",spirituosen,02.1.1.0,01.2.6.0,True,2,False
zuegg arancia rossa senza zuccheri aggiunti 1 lt,"acqua, bevande, alcolici | succhi di frutta",01.2.1.0,01.2.1.0,True,5,True
london dry gin,"vini, birra e liquori | liquori",02.1.1.0,02.1.2.1,True,4,False
borges extra light olive oil 750ml,groceries | oil & vinegar,01.1.5.1,01.1.5.1,True,4,True
elan sparkling water 1.5l x6,beverages | bottled water,01.2.5.0,05.3.2.2,True,2,False
succo arancia,"acqua, bibite e succhi | succhi",01.2.1.0,01.2.6.0,True,6,False
"milsani h-milch 1,5 % fett 1 l",milchprodukte,01.1.4.3,01.1.4.9,True,7,False
tails gin gimlet cocktail 500 ml,"acqua, bevande, alcolici | liquori",02.1.9.0,02.2.0.0,True,3,False
coca cola zero can,soft drinks,01.2.6.0,02.1.9.0,True,3,False
master gioia + burro,spreads,01.1.5.2,01.1.7.9,False,0,False
ktc pure sesame seed oil 250ml,food cupboard groceries | cooking ingredients | oil & vinegar,01.1.5.1,01.1.9.4,True,4,False
carapelli il nobile olio extra vergine di oliva 1 lt,olio e conserve | olio,01.1.5.1,01.1.5.1,True,8,True
three barrels brandy 70cl,beverages | spirits,02.1.1.0,02.1.1.0,True,4,True
"apice aperitivo italiano 0,7 l",spirituosen,02.1.9.0,02.1.2.1,False,0,False
odyssey rose 75cl,wine cellar | wine  ,02.1.2.1,02.1.2.1,True,11,True
bottega chardonnay venezie igt 2017 75cl,drinks | wine | white wine,02.1.2.1,02.1.2.1,True,10,True
mayor tomato salsa pronta 200 grms,tins cans & packets,01.1.9.3,01.1.7.2,True,2,False
magners irish cider original,cider,02.1.2.2,02.1.2.2,True,1,True
"lurisia aranciata 1,1 lt","acqua, bevande, alcolici | bevande analcoliche",01.2.1.0,02.1.9.0,False,0,False
pukka organic turmeric tea 20pcs.,tea,01.2.3.0,05.3.2.2,True,7,False
lurpak spreadable unsalted 56c off,spreads,01.1.5.2,02.1.3.0,False,0,False
allara genova l'amaro della superba 700 ml,"acqua, bevande, alcolici | liquori",02.1.1.0,02.1.9.0,True,2,False
sainsbury's nas ginger beer 2ltr,drinks | beers & ciders | beers & lagers,02.1.3.0,02.1.3.0,True,3,True
nocino 700 ml,"acqua, bevande, alcolici | liquori",02.1.1.0,01.2.6.0,True,1,False
vitago apple drink,juices,01.2.1.0,01.2.1.0,True,5,True
medina grenache cabernet rose,wine,02.1.2.1,02.1.2.1,True,8,True
"akropolis griechischer weinbrand 0,7 l",spirituosen,02.1.1.0,01.1.8.6,False,0,False
teekanne bio sleep & dream x20,"food cupboard groceries | tea | fruit, herbal, oganic tea & camomile",01.2.3.0,01.2.3.0,True,6,True
borbone miniciock comp a modo mio 16 cap,food cupboard groceries | coffee | coffee sachets & pods,01.2.2.0,05.4.0.3,False,0,False
"sanpellegrino aranciata 1,25 lt","acqua, bevande, alcolici | bevande analcoliche",01.2.6.0,02.1.2.1,True,1,False
"primia cortado caffe macchiato 100,8 gr","zucchero, caffe', te', infusi | caffe'",01.1.4.7,01.2.2.0,False,0,False
evian mineral water glass bottle,water,01.2.5.0,01.2.5.0,True,3,True
ma ne noir  premium pinot noir,wine,02.1.2.1,02.1.2.1,True,10,True
costasera amarone classico docg,"vini, birra e liquori | vini",02.1.2.1,02.1.2.1,True,9,True
don simon selection white wine 3ltrs,wine cellar | wine  ,02.1.2.1,02.1.2.1,True,11,True
amaroy express kaffee gold 100g,kaffee,01.2.2.0,02.4.0.0,True,8,False
carrefour artichokes whole in olive oil 210 grms,tins cans & packets,01.1.7.9,01.1.7.4,True,3,False
belte peach ice tea 500ml,beverages | juices & ice-teas,01.2.3.0,01.2.3.0,True,1,True
gran sud syrah 1ltr,wine,02.1.2.1,02.1.2.1,True,10,True
"vodka wiborowa premium quality 37,5deg 70cl",gin & vodka,02.1.1.0,02.1.2.1,True,2,False
valfrutta frullato proteico mango pesca mandorla 1 lt,"acqua, bevande, alcolici | succhi di frutta",01.2.1.0,01.2.1.0,True,6,True
crodino aperitivo analcolico 1 lt,"acqua, bevande, alcolici | bevande analcoliche",01.2.6.0,02.1.9.0,True,1,False
birra intense red,"vini, birra e liquori | birra",02.1.2.1,02.1.3.0,True,6,False
bourgogne chardonnay la foret,"vini, birra e liquori | vini",02.1.2.1,02.1.2.1,True,10,True
spark cola diet,soft drinks,01.2.6.0,02.4.0.0,True,3,False
mutti baby roma tomatoes 400 grms,tins cans & packets,01.1.9.3,01.1.7.9,False,0,False
tetley the blend collection extra strong teabags 75 pcs.,tea,01.2.3.0,05.3.2.2,True,7,False
morellino di scansano docg,"vini, birra e liquori | vini",02.1.2.1,02.1.2.1,True,10,True
le coq blue lagoon taste 330 ml,"acqua, bevande, alcolici | liquori",02.1.9.0,02.1.9.0,True,4,True
smirnoff apple twist 70cl,beverages | spirits,02.1.9.0,01.2.6.0,True,2,False
mayor provista sugu 1.125 ltr,tins cans & packets,01.1.9.3,05.3.2.1,False,0,False
le naturelle bio organic eggs,organic products,01.1.4.8,01.1.4.8,True,10,True
cameo ciobar dark chocolate 023 grms,hot chocolate & malted drinks,01.2.4.0,01.2.4.0,True,4,True
health&heather organic imperial matcha green tea 40 grms,tea,01.2.3.0,01.2.3.0,True,9,True
bellfield lawless village ipa cans,beer,02.1.3.0,02.1.3.0,True,3,True
renato ratti barbera d'alba doc 750 ml,"acqua, bevande, alcolici | vini",02.1.2.1,02.1.2.1,True,2,True
marsovin antonin red & blanc twin pack 75ml,wine,02.1.2.1,02.1.2.1,True,9,True
leffe rituel 9 birra chiara,"acqua, bevande, alcolici | birra",02.1.3.0,02.1.3.0,True,3,True
starbucks doubleshot espresso 200ml,drinks | smoothies & juice drinks | chilled smoothies & ice coffee,01.2.2.0,01.2.3.0,True,4,False
amaroy express kaffee gold 100 g,kaffee,01.2.2.0,01.2.2.0,True,9,True
yellow tail cabernet sauvignon,wine,02.1.2.1,02.1.2.1,True,10,True
carrefour infusion after meal tea 20 pots,tea,01.2.3.0,01.2.3.0,True,9,True
carrefour specialty olive riviera whole 350 grms,tins cans & packets,01.1.7.9,01.1.7.4,True,3,False
"coca cola zero 1,05 lt","acqua, bevande, alcolici | bevande analcoliche",01.2.6.0,02.1.9.0,True,1,False
3 leaves corned beef light 198g,tins cans & packets,01.1.2.5,01.1.2.5,True,1,True
ducato sannita greco di tufo doc 75cl,drinks | wine | white wine,02.1.2.1,02.1.2.1,True,10,True
branca menta mint liquer,alcohol,02.1.1.0,02.1.1.0,True,4,True
lion tea x40 + caddy tin,beverages | coffee & tea,01.2.3.0,05.4.0.3,True,5,False
glassa classica all'aceto balsamico di modena igp,"conserve | olio, aceto e sale",01.1.9.3,01.1.7.4,True,1,False
b&g bordeaux  2017 75cl,drinks | wine | red wine,02.1.2.1,02.1.2.1,True,10,True
aberfeldy single highland malt scotch whisky,alcohol,02.1.1.0,07.2.2.3,True,3,False
safari apple juice 250ml,juices & smoothies,01.2.1.0,01.2.1.0,True,6,True
grand fermage unsalted french butter 200 grms,"milk, butter & eggs",01.1.5.2,01.1.4.6,False,0,False
sterilgarda juice  pear juice,juices,01.2.1.0,01.2.1.0,True,8,True
qualita rossa espresso intensita 10,"caffè, tea e zucchero | caffè e solubili",01.2.2.0,01.2.2.0,True,12,True
principato merlot delle venezie,wine,02.1.2.1,02.1.2.1,True,11,True
powerade mountain blast 500 ml,"acqua, bevande, alcolici | bevande analcoliche",01.2.9.0,02.1.9.0,True,3,False
cisk lager 25cl,beverages | beer & cider,02.1.3.0,02.1.9.0,True,3,False
excellence mussles in brine 200 grms,tins cans & packets,01.1.9.1,01.1.3.4,False,0,False
coolee orange squash 1.5ltr,soft drinks,01.2.6.0,01.2.6.0,True,2,True
san valentino red 3ltr,drinks | wine | red wine,02.1.2.1,02.1.2.1,True,10,True
chateau la tuilerie du puy,wine,02.1.2.1,02.1.2.1,True,10,True
destination hot choc powder 46%,organic products,01.1.8.5,01.1.8.5,True,5,True
capri-sonne orange and peach juice 330ml,juices & smoothies,01.2.1.0,01.2.1.0,True,6,True
milsani kaffeesahne 200 g,milchprodukte,01.1.4.3,01.1.4.7,False,0,False
grand badon la garelle emilion 750ml,wine,02.1.2.1,02.1.2.1,True,9,True
zuegg skipper succo di ribes nero 1 lt,"acqua, bevande, alcolici | succhi di frutta",01.2.1.0,01.2.6.0,True,3,False
alexis lichine chevalier sauvignon blanc,wine,02.1.2.1,02.1.2.1,True,10,True
bosca sparkletini strawberry,wine,02.1.2.1,02.1.2.1,True,7,True
mcguigan black label chardonnay 75cl,drinks | wine | white wine,02.1.2.1,02.1.2.1,True,10,True
monster lewis hamilton 50cl,beverages | soft drinks & mixers,01.2.9.0,01.2.6.0,True,3,False
lipton lemon 1.5ltr,drinks | ice tea | ice tea,01.2.3.0,01.2.3.0,True,2,True
twix hot choc dolce gusto pods x8 136gr,food cupboard groceries | coffee | coffee sachets & pods,01.2.4.0,05.4.0.3,False,0,False
pepsi cola 330 ml,"acqua, bevande, alcolici | bevande analcoliche",01.2.6.0,01.2.6.0,True,3,True
rocchetta brioblu larossa sparkling 1.5ltr single,drinks | water | water - sparkling,01.2.5.0,04.5.4.9,True,3,False
twining's orange mango & cinnamon infuso 040 grms,tea,01.2.3.0,01.1.6.1,True,5,False
citra trebbiano d'abbruzzo,wine,02.1.2.1,02.1.2.1,True,8,True
strongbow dark fruit,cider,02.1.2.2,01.2.3.0,True,1,False
sanpellegrino chino zero zuccheri aggiunti 330 ml,"acqua, bevande, alcolici | bevande analcoliche",01.2.6.0,01.2.6.0,True,1,True
solive franciacorta rose docg 750ml 750 ml,"acqua, bevande, alcolici | spumanti e champagne",02.1.2.1,02.1.2.1,True,6,True
nestle vera still water,water,01.2.5.0,01.2.5.0,True,6,True
hydration blue raspberry,"acqua, bibite e succhi | bibite",01.2.6.0,01.1.6.4,True,4,False
mayor tomato pulp 35c off 3x400g,tins cans & packets,01.1.9.3,01.1.7.2,False,0,False
tisana a freddo sgonfiante digestiva fragola limone zenzero 18 filtri,"caffè, tea e zucchero | tea e infusi",01.2.3.0,01.2.9.0,True,7,False
acqua minerale effervescente naturale,"acqua, bibite e succhi | acqua minerale",01.2.5.0,01.2.5.0,True,5,True
kopke 10 years old porto,wine,02.1.2.1,02.1.2.1,True,9,True
starbucks white mocha x12cap,beverages | coffee & tea,01.2.4.0,01.2.2.0,False,0,False
twining infuse fragola/anguria/limone 10 filtri,infusi,01.2.3.0,05.3.2.1,False,0,False
pera dolce di natura,"acqua, bibite e succhi | succhi",01.2.1.0,01.2.1.0,True,8,True
amaroy kaffee-pads 144 g,kaffee,01.2.2.0,01.2.2.0,True,11,True
sani sifon acqua soda,"acqua, bevande, alcolici | bevande analcoliche",01.2.6.0,01.2.6.0,True,3,True
six saints caribbean rum,alcohol,02.1.1.0,02.1.1.0,True,4,True
belvedere grignolino piemonte doc,"acqua, bevande, alcolici | vini",02.1.2.1,02.1.2.1,True,5,True
nouaison gin 700 ml,"acqua, bevande, alcolici | liquori",02.1.1.0,07.2.2.3,True,3,False
"bad durrheimer naturliches mineralwasser 0,75 l",wasser,01.2.5.0,01.2.5.0,True,3,True
dreher redler birra e succo di limone 990 ml,"acqua, bevande, alcolici | birra",02.1.3.0,02.1.9.0,True,1,False
johnny walker red label whisky 700 ml,"acqua, bevande, alcolici | liquori",02.1.1.0,02.2.0.0,True,2,False
raineri olio extra vergine di oliva 500 ml,olio e conserve | olio,01.1.5.1,01.1.5.1,True,6,True
lipton yellow label tea deteinato squeezable 38 gr,"zucchero, caffe', te', infusi | te' e infusi",01.2.3.0,01.2.3.0,True,7,True
expressi typ filter kaffee mild 120g,kaffee,01.2.2.0,02.4.0.0,True,9,False
"everton te solubile limone,lime e curcuma 560 gr","acqua, bevande, alcolici | bevande analcoliche",01.2.3.0,01.2.9.0,False,0,False
elite marrowfat peas 300g,tins cans & packets,01.1.7.9,01.1.7.9,True,2,True
barton & guestier malbec 750ml,wine,02.1.2.1,02.1.2.1,True,7,True
gran caffe  garibaldi nespresso tube top bar  10 pcs.,coffee,01.2.2.0,05.3.2.2,True,5,False
jack link`s beef jerky teriyaki 075 grms,tins cans & packets,01.1.2.5,01.1.2.5,True,2,True
vinum merum bellamar gutturnio classico superiore doc,"acqua, bevande, alcolici | vini",02.1.2.1,02.1.2.1,True,8,True
typhoo qt one cup 125gr,food cupboard groceries | tea | decaf & all classic teas,01.2.3.0,01.2.3.0,True,6,True
solvay bicarbonato di sodio purissimo 750 gr,"acqua, bevande, alcolici | bevande analcoliche",01.1.9.9,01.2.6.0,False,0,False
fuzetea tea lemon 400 ml,"acqua, bevande, alcolici | bevande analcoliche",01.2.3.0,02.1.9.0,True,1,False
martini royale rosato 75cl,wine cellar | wine  ,02.1.2.1,02.1.2.1,True,11,True
dolo corned beef 200g,groceries | canned items,01.1.2.5,01.1.2.5,True,3,True
barbera frizzante piemonte doc,"vini, birra e liquori | vini",02.1.2.1,02.1.2.1,True,6,True
"chiarli lambrusco amabile di modena dop 1,5 lt","acqua, bevande, alcolici | vini",02.1.2.1,02.1.2.1,True,8,True
rauch bravo arancia rossa (red orange) 2ltr,drinks | smoothies & juice drinks | long life juice,01.2.1.0,02.2.0.0,True,5,False
coccodi italian barn eggs medium 6x350g,"milk, butter & eggs",01.1.4.8,01.1.4.5,False,0,False
kinnie / diet 500ml x12,beverages | soft drinks & mixers,01.2.6.0,02.1.9.0,True,3,False
bakoma sonata coffee cappuccino,cold coffee,01.1.4.7,01.2.2.0,False,0,False
twinings selezione di pregiati te 80 gr,"zucchero, caffe', te', infusi | te' e infusi",01.2.3.0,01.2.2.0,True,3,False
jack daniels whisky,"acqua, bevande, alcolici | liquori",02.1.1.0,02.1.1.0,True,3,True
