code,title,description
02.1.2.1,Wine from grapes,"* wine from grapes 
* fortified wines, such as vermouth, sherry and port wine 
* champagne and other sparkling wines from grapes 
* ice wine 
* low-alcohol and non-alcoholic wine 
* wine-based aperitifs"
02.1.3.0,Beer,"* all kinds of beers, such as ale, lager, stout and porter 
* low-alcohol beer and non-alcoholic beer"
02.3.0.2,Cigars,"Includes: 
* cigars 
* cigars that are purchased in bars and restaurants, provided that a service charge is not applied"
02.3.0.9,Other tobacco products,"* pipe tobacco, chewing tobacco, hookah blends, snus and snuff 
* cigarette tobacco and tobacco leaf 
* cigarette papers and single-use filters which are consumed with the cigarette 
* refills for electronic cigarettes, with or without nicotine 
* tobacco that is consumed with a shisha or a hookah pipe if consumed at home"
02.4.0.0,Narcotics,"* marijuana, opium, cocaine and their derivatives 
* other vegetable-based narcotics, such as betel leaves, betel nuts, cola nuts, kava, khat, and psilocybin mushroom 
* other narcotics, including chemicals and synthetic drugs"
03.1.1.0,Clothing materials,"* clothing materials of natural, synthetic and mixed fibres 
* leather, fur, fusible webbing, wadding and felt filling for making wearing apparel"
04.2.2.0,Other imputed rentals,"* imputed rentals for secondary residences 
* imputed garage rentals in connection with the dwelling 
* imputed rentals of storage units"
04.3.1.1,Materials for the maintenance and repair of the dwelling,"* products and materials such as paints and varnishes, renderings, wallpapers, fabric wall coverings, windowpanes, plaster, cement, putty, wallpaper pastes and so on, purchased for minor maintenance and repair of dwellings 
* small plumbing items (pipes, taps, joints, etc.), surfacing materials (floorboards, ceramic tiles, etc.) and brushes and scrapers for paint, varnish and wallpaper 
* fitted carpets and linoleum 
* door fittings, power sockets and wiring flex"
04.3.1.2,Security equipment,"* small surveillance and security equipment for individual dwellings (smoke detectors, security alarms, and security and surveillance cameras) 
* door phones for dwellings 
* fire extinguishers"
04.4.1.1,Water supply delivered through network systems,"* all charges usually included in the bills paid by households, including meter installation charges and rentals, and volumetric or fixed charges for consumption of water delivered through mains, except for steam and hot water 
 * associated expenditures, such as meter rentals, cost of meter readings, standing charges and so on"
04.4.1.2,Water supply delivered through other systems,"* payment for services provided at a public standpost or fountain and by water vendors (e.g., via tanker truck or cart)"
04.4.3.2,Sewage collection through on-site sanitation systems,"* services to empty and evacuate liquid waste (excreta and wastewater) by means of on-site sanitation systems (pit latrines, septic tanks and/or soak pits) and clean them 
* communal toilets and pay toilets"
04.5.2.2,Liquefied hydrocarbons,"* liquefied hydrocarbons (butane, propane, etc.) delivered in storage containers 
* associated expenditure, such as rental or purchase of storage containers, standing charges, etc."
04.5.3.0,Liquid fuels,"* domestic heating, lighting and cooking fuel oils 
* biofuels for domestic use 
* alcohol for fireplaces"
04.5.4.1,"Coal, coal briquettes, peat and peat briquettes","* coal 
* coal briquettes 
* peat 
* peat briquettes"
04.5.4.2,"Wood fuel, including pellets and briquettes","* fuelwood, in the form of billets, faggots, logs or twigs, or in similar forms 
* wood in the form of chips or particles 
* non-agglomerated sawdust and wood waste and scrap 
* sawdust and wood waste and scrap agglomerated in briquettes and pellets or in similar forms"
04.5.4.9,Other solid fuels,"* coke 
* other types of briquettes 
* other biomass n.e.c., such as waste from agricultural production (e.g., wheat and nutshells) and dry animal dung"
05.1.1.2,Garden and camping furniture,"* furniture used primarily in gardens 
* wrought iron benches, tables and arbours 
* small garden sheds for the storage of garden tools and machines 
* camping furniture 
 * custom-made furniture"
05.1.1.3,Lighting equipment,"* lighting equipment, such as ceiling lights, standard lamps, globe lights, bedside lamps, light and LED strings, and parts thereof"
05.2.1.2,Bed linen and bedding,"* bed linen, such as sheets, pillowcases, blankets, travelling rugs, plaids, eiderdowns, counterpanes and mosquito nets 
* bedding, such as covers for futons, pillows, bolsters and hammocks"
05.2.1.3,Table linen and bathroom linen,"* table and bathroom linen, such as tablecloths, table napkins, towels and face cloths"
05.2.1.9,Other household textiles,"* textile shopping bags, laundry bags, shoe bags, covers for clothes and furniture, flags, sunshades, etc. 
* oilcloth 
* bathroom mats, rush mats and doormats 
 * feathers and other fillers for pillows"
05.2.2.0,"Repair, hire and sewing services of household textiles","The cost of materials is included only if they are not separately priced. 
 * repair of household textiles 
* sewing of household textiles 
* hire of household textiles"
05.3.1.2,Major laundry appliances,"* washing machines, dryers, drum dryers, drying cabinets and drying radiators 
* ironing machines and electric mangles"
05.3.1.3,Heaters and air conditioners,"* air conditioners, humidifiers, space heaters, water heaters and ventilators"
05.3.1.9,Other major household appliances,"* other major household appliances, such as safes, sewing machines, knitting machines and water softeners"
05.3.2.9,Other small household appliances,"* electric irons 
* fans 
* electric blankets 
 * other non-electric household appliances"
05.5.1.0,Motorized tools and equipment,"* electric drills, percussion drill, electric saws, electric sanders 
* garden tractors, chain saws, lawn mowers, clipper for lawn, hedge cutters, cultivators 
* water pumps 
* electric screwdrivers"
05.5.2.1,Non-motorized tools,"* saws, hammers, screwdriver, wrenches, spanners, pliers, trimming knives, rasps and files; 
* power shears, wheelbarrows, watering cans, hoses, spades, shovels, rakes, forks, scythes, sickles and secateurs 
* ladders and steps"
05.5.3.0,Repair and hire of motorized and non-motorized tools and equipment,"The cost of materials is included only if the materials are not separately priced. 
 * repair and hire of motorized tools and equipment 
* repair and hire of non-motorized small tools and miscellaneous accessories"
05.6.1.1,Household cleaning and maintenance products,"* detergents, hand and machine dishwashing detergent, scouring powders, disinfectant bleaches, softeners, conditioners and stain removers 
* general-purpose cleansers, window-cleaning products, unblocking agents and disinfectants 
* floor waxes and polishes 
* polishes, creams and other shoe-cleaning items (e.g., shoe brushes) 
* dustpans, dusting brushes and dusters 
* cloths, floor cloths and chamois leathers 
* dish brushes, household sponges, scourers and steel wool 
* vacuum cleaner bags 
* pool cleaning chemicals and water treatment chemicals"
05.6.1.9,Other non-durable household goods,"* insecticides, pesticides, fungicides and distilled water 
* filters, tablecloths and table napkins, kitchen papers, baking parchment rolls, kitchen film, aluminium foils and doilies 
* disposable plates, cups and cutlery 
* candles, lamp wicks, methylated spirits, plastic bags and garbage bags 
* matches, clothes pegs, clothes hangers, pins, safety pins, sewing needles, knitting needles, thimbles, nails, screws, nuts and bolts, tacks, washers, glues and adhesive tapes for household use, string, twine. rubber gloves and gardening gloves"
05.6.2.9,Other household services,"Other household services typically provided by enterprises and self-employed persons. 
 * dry-cleaning of household linen and textiles 
* carpet cleaning 
* laundering and dyeing of household textiles 
* pest extermination and disinfection 
* taking care of a dwelling in the absence of the owner, whether or not occupying the dwelling; house-sitting  
* other household services n.e.c"
06.1.2.2,Preventive and protective devices,"* condoms and other mechanical contraceptive devices, masks, medicinal stockings (e.g., compression stockings), medicinal gloves, insecticide-treated mosquito nets and so on"
06.1.2.3,Treatment devices for personal use,"* inhalers, syringes, humidifiers, nebulizers, hot bags, ice packs, first-aid kits, bandages and so on"
06.1.3.1,Assistive products for vision,"All assistive products whose primary purpose is to maintain or improve an individual's vision, to compensate for an impairment or loss of intrinsic visual function or to mitigate the consequences of a gradual decline in visual function. 
 * corrective eyeglasses (spectacles) for low vision; and short- and long-distance spectacles 
* white canes 
* ocular prostheses (e.g., glass eyes) and contact lenses"
06.1.4.0,"Repair, rental and maintenance of medical and assistive products","* cleaning, repair, rental and maintenance of medical diagnostic products for personal use and of assistive products for vision, hearing, mobility and daily living (e.g., rental of medical alarms for in-home use)"
06.2.1.9,Other preventive care services,"* family planning and counselling (including genetic counselling) 
* prenatal and postnatal care services 
* general and routine check-up services, including as related to child growth and development 
* identification of genetic abnormalities 
* screening, diagnostic tests and medical examinations performed for the purpose of detecting communicable and non-communicable diseases (e.g., malaria, tuberculosis, breast cancer, cervical cancer, colorectal cancer, prostate cancer, diabetes and HIV/AIDS) before symptoms appear 
* all other medical services provided before symptoms appear 
 * diagnostic imaging services and medical laboratory services (e.g., mammogram testing) needed for the provision of preventive services when those imaging and laboratory services are priced jointly with the time and skills of personnel"
06.2.2.9,Other outpatient dental services,"* all other dental services that do not require an overnight stay (excluding preventive dental services) 
* all cost concerning dentures (including the fitting costs) 
 * aesthetic dentistry services"
06.3.2.0,Inpatient long-term care services,"This category comprises long-term care services that require an overnight stay. 
 
Inpatient long-term care services do not aim at curing an illness or rehabilitating an individual, but to prevent deterioration of a health condition and remain at the level of health available. Some medical and nursing activities that require an overnight stay are inherent parts of this status quo. 
 
Individuals getting such type of inpatient long-term care might include, for example, the elderly with limited capacity to perform daily activities, physically disabled members of the households or those with chronic conditions. 
 * services provided by medical convalescent homes and convalescent hospitals; homes for the elderly offering nursing care; inpatient care hospices 
* services of palliative care facilities for the terminally ill 
* services of nursing homes; rest homes offering nursing care 
* services of skilled nursing facilities 
* services of teaching nursing homes 
* services of residential mental retardation facilities; and mental health and substance abuse facilities for chronic patients (e.g., those with dementia) 
* services of medical retirement homes for the elderly and medical residences for persons with disabilities 
* all medical services needed for the delivery of inpatient care services during an overnight stay (e.g., laboratory tests, diagnostic imaging services) 
* medicines and health products (medical, assistive) needed in the delivery of inpatient services during an overnight stay 
 * patient accommodation services including meal service and cleaning, even if separately priced from the impatient long-term care services; and services associated with the hosting of a patient's relatives, if indispensable, during the patient's overnight stay, also if separately priced"
06.4.1.0,Diagnostic imaging services and medical laboratory services,"* services of medical analysis laboratories (e.g., urine/blood tests) 
* diagnostic imaging services including all diagnostic imaging methods (i.e. CT, MRI, sonography); imagining diagnosis comprises a variety of services that employ imaging technology, such as X-rays and radiation for the diagnosis and monitoring of patients"
06.4.2.0,Patient emergency transportation and emergency rescue services,"* ambulance services for individuals, with or without emergency rescue 
* medical emergency transportation by airplane or other types of vehicles, whether or not they have been specially adapted for medical purposes 
 * medical transport services memberships"
07.1.1.2,Second-hand motor cars,"* used or second-hand motor cars, passenger vans, station wagons, estate cars, sport utility vehicles (SUVs), off-road vehicles, pickup trucks and the like with either two- or four-wheel drive 
 * used or second-hand racing motor vehicles and vehicles for shows"
07.1.2.0,Motorcycles,"* motorcycles of all types including those with electric motors 
* motor scooters, mopeds and motorized bicycles with combustion engines 
 * sidecars 
* used or second-hand motorcycles 
* snowmobiles"
07.2.1.3,Accessories for personal transport equipment,"* Global Positioning System (GPS) (satellite-based radionavigation) equipment for personal transport 
* snow chains, roof racks, cargo roof boxes 
* fire extinguishers for transport equipment 
* products used specifically for the cleaning and maintenance of transport equipment, such as paints, chrome cleaners, sealing compounds and bodywork polishes; covers for motor cars, motorcycles and so on 
* hubcaps, if purchased separately 
* motorcycle and bicycle crash helmets 
* car, motorcycle and bicycle seats for babies and children 
* dash cameras 
* chargers for electric vehicles 
* bicycle trailers, baskets and other accessories 
 * crash helmets equipped with cameras"
07.2.2.1,Diesel,* diesel fuel
07.2.2.2,Petrol,"* petrol (gasoline in North America) 
 * petrol/gasoline blends (e.g., petrol with 10 per cent ethanol content)"
07.2.2.4,Lubricants,"* lubricants, brake and transmission fluids, coolants and additives"
07.2.4.1,Parking services,"* rental of municipal street parking 
* parking meters, regardless of form of payment (e.g., attendant or through parking meter) 
* charges for the rental of parking spaces in parking garages (including valet service), such as those located in shopping centres, for a few hours or less 
 * parking permits valid for designated areas (e.g., residential parking permits)"
07.2.4.2,Toll facilities,"* bridge tolls, tunnel tolls, motorway tolls and so on 
* charges for rental or purchase of electronic tags and toll devices"
07.3.2.2,Passenger transport by taxi and hired vehicle with driver,"* transport of persons and accompanied luggage by taxi and hired vehicle, with driver 
* transport of persons and accompanied luggage through private arrangements, such as carpooling and ride sharing"
07.3.3.1,"Passenger transport by air, domestic","* domestic scheduled and chartered air passenger transport services 
* domestic transport of persons and accompanied luggage by aeroplane and helicopter 
 * domestic air passenger transport by drone and multi-copter"
07.3.3.2,"Passenger transport by air, international","* transportation of persons and accompanied luggage by air on an international scheduled and chartered flight 
 * international air passenger transport by drone and multi-copter"
07.3.6.0,Other passenger transport services,"* funicular, elevator, cable car and chairlift transport 
* services of porters, left-luggage offices (related to storage of travellers' luggage for a limited period of time) and luggage forwarding offices 
* travel agents' commissions, if priced separately 
* transporter bridges and transport elevators including incline elevators"
07.4.1.2,Courier and parcel delivery services,"* parcel delivery services (incoming and outgoing - parcel shipment and parcel home delivery) 
* small parcel courier services 
* parcel delivery services for goods purchased online"
08.1.1.0,Fixed telephone equipment,"* telephones, telefax and telephone answering machines, and telephone loudspeakers"
08.1.2.0,Mobile telephone equipment,"* mobile telephone handsets, including multifunctional devices 
* smartphones"
08.1.3.1,"Computers, laptops and tablets","* desktop computers and laptops 
* tablets 
 * telefax and telephone-answering facilities of personal computers"
08.1.4.0,"Equipment for the reception, recording and reproduction of sound and vision","* television sets, video cassette players and recorders, digital video recorders (DVRs), DVD players, Blu-ray players, streaming boxes and television aerials of all types 
* radio receivers (radio sets, digital radio sets, Internet radio sets, satellite radio sets, car radios, radio clocks, two-way radios, walkie-talkies, and amateur radio receivers and transmitters) 
* portable and non-portable CD players 
* portable and non-portable sound players 
* stereo equipment and CD radio cassette recorders 
* turntables, tuners, amplifiers, cassette decks, microphones and speakers, disc jockey (DJ) equipment and karaoke systems 
* audio and video systems for cars 
* set-top boxes, satellite receivers, Internet Protocol television receivers and television converter boxes 
* digital media players 
* headphones, earplugs and wireless, including Bluetooth headsets"
08.1.9.1,Other information and communication equipment,"* baby monitors 
* smartwatches 
* fitness trackers and other wearable devices (e.g., smartglasses) that, in general, do not work without a smartphone or tablet connection 
* e-book readers"
08.1.9.2,Other information and communication accessories,"* chargers, batteries for information and communication equipment, cables, power banks, docking stations, covers, cases, cradles and mounts 
* computer components, for example, processors, internal hard drives, solid-state drives, motherboards, memory, DVD drives, hard drives"
08.2.0.0,"Software, excluding games","* computer software packages, comprising, for example, operating systems, applications and programming languages 
 * software subscriptions and use of online software"
08.3.2.0,Mobile communication services,"* local, regional, national and international calls, including voice and video calls 
* subscription fees for messaging services, including voice, text (SMS), multimedia content (MMS) and so on 
* additional calling features, such as voice mail and call display, whether separately priced from or bundled with mobile service 
* mobile telephone voice and messaging plans that include limited data 
* mobile telephone voice, text and data plans 
* other mobile telephone services n.e.c. 
 * costs of telephone equipment if included in subscription costs 
* mobile telephones included in a (prepaid or post-paid) package, generally tied to a specific operator for a certain period of time, if not separately priced"
08.3.3.0,Internet access provision services and online storage services,"* Internet access services provided by operators of wired, wireless or satellite infrastructure 
* cloud storage, file hosting and web hosting services 
* subscriptions for email services 
 * activation and installation fees and monthly rates"
08.3.4.0,Bundled telecommunication services,"* packages bundling together telephony, Internet and television services 
* packages comprising any combination of telecommunications services"
08.3.9.1,Television and radio licences and fees,* fees/licenses for access to/reception of public television or radio broadcasts or the possession of a television set or radio
08.3.9.9,Other information and communication services n.e.c.,"* telegraphy, telex and telefax services 
* provision of nomadic voice over Internet Protocol (VoIP) services 
* software installation services 
* repair, rental, and installation of equipment for the reception, recording and reproduction of sound and vision"
09.1.1.1,Cameras,"* still cameras, movie cameras and sound-recording cameras, film and slide projectors, enlargers and film processing equipment 
* video cameras, including camcorders and action cameras 
 * materials purchased by households with the intention of undertaking maintenance and repairs themselves"
09.1.2.3,"Boats, yachts, outboard motors and other water-sport equipment","* boats, yachts, outboard motors, sails, jet skis, rigging and superstructures 
* vessels for recreation, sailboats, sailboards, water-sport boards 
* canoes, kayaks, windsurfing boards and so on 
* sea diving equipment 
* water sport equipment and related accessories"
09.1.2.4,"Horses, ponies, camels and dromedaries and accessories","* horses and ponies, horse- and pony-drawn vehicles, and camels and dromedaries, and related equipment (harnesses, bridles, reins, saddles, etc.), purchased for recreational purposes"
09.2.1.2,"Other games, toys and hobby-related articles","* traditional games, for example, card games, parlour games, board games, chess sets 
* dolls 
* toy cars, including toy trains, toy bicycles and tricycles 
* remote controlled toy cars, ships, planes and aerial vehicles 
* soft toys, teddy bears and so on 
* toy construction sets 
* toy instruments 
* puzzles 
* modelling clay 
* masks 
* disguises 
* joke toys 
* novelties 
* models and replicas of planes, boats, trains and so on 
* requisites for stamp-collecting practised as a hobby (used or cancelled postage stamps, stamp albums, etc.) 
* other collection items (coins, medals, minerals, zoological and botanical specimens, etc.) and other hobby tools and articles, n.e.c."
09.3.1.1,Garden products,"* soil, peat and fertilizers, pesticides, composts 
* lawn turf, specially treated soils for ornamental gardens and horticultural preparations 
* pots and pot holders 
* decorative garden materials"
09.3.1.2,"Plants, seeds and flowers","* indoor plants, natural and artificial 
* outdoor plants 
* seeds, bulbs and tubers for planting 
* shrubs 
* indoor flowers, natural and artificial, whether in a vase or not 
* outdoor flowers 
* flower seeds and bulbs 
* natural and artificial flowers and wreaths for decoration of burial places 
* cut flowers"
09.3.2.1,Pets,* purchase of pets
09.3.2.2,Products for pets and other household animals,"* pet foods, pet veterinary and grooming products, collars, leashes, kennels, birdcages, fish tanks, cat litter 
 * feed and veterinary products for animals used for transportation, own consumption or recreation"
09.4.2.1,"Hire, maintenance and repair of camper vans and caravans","The cost of materials is included only if the materials are not priced separately. 
 * hire of camper vans and caravans 
* maintenance and repair of camper vans and caravans 
* winter lay-up of camper vans and caravans"
09.4.5.0,Veterinary and other services for pets,"* veterinary and other pet services, such as grooming, tattooing and training 
* pet boarding services and pet day-care services. 
 * veterinary and hosting services for household animals, such as animals used for transportation, own consumption or recreation"
09.5.2.0,Audiovisual media,"* recorded tapes, CD-ROMs, DVDs, Blu-ray discs, gramophone records and flash drives, reproducing sound and picture material 
* downloads of music and films"
09.6.2.0,"Services provided by museums, libraries and cultural sites","* services provided by museums, art galleries, exhibitions, historical monuments and archaeologic sites 
* services provided by libraries 
* services provided by national parks, zoological and botanical gardens and aquaria"
09.6.9.0,Other cultural services,"* hire and repair of musical instruments 
* bookbinding services 
* art, dance, music and photography classes (in a classroom setting or via e-learning) 
 * rental of the premises of cultural venues for amateur music group rehearsals and weddings and other celebrations"
09.7.1.1,Educational books and textbooks,"* education textbooks (school/academic manuals, etc.) in any form, complete or in excerpts, and on any media (including electronic formats and as photocopies) 
* encyclopaedias and dictionaries"
09.7.2.1,Newspapers,"* newspapers purchased at kiosks 
* newspaper subscriptions (home-delivery) 
* newspaper subscriptions (digital access) 
 * newspapers in all electronic formats"
09.8.0.0,Package holidays,"* all-inclusive holidays or tours that provide for travel, food, accommodation, guides and so on 
* excursion tours, including transport and guide 
* sport and recreation camps for children as well as for adults (usually during summer holidays), which include catering and accommodation as well as activities"
10.1.0.1,Early childhood education,"* level 0 of ISCED 2011: Early childhood education is designed primarily to support children's early cognitive, physical, social and emotional development and introduce very young children to organized instruction outside the family context. Programmes are designed for children below the entry age to primary education and are typically centre- or school-based. This education may also be provided in hospitals or in special schools or training centres 
* education services for children with special educational needs 
 * excursions that are part of the normal school programme (travel and accommodation costs)"
10.5.0.1,Tutoring,"* independent tutors (private lessons to support formal education), tutor centres, homework help centres and so on 
* exam preparation courses 
* online tutoring"
10.5.0.9,Other education not defined by level,"* short educational courses, generally for adults, which do not require any special prior instruction, in particular cultural development or some types of vocational training 
* language immersion courses and international travel for learning languages 
* languages courses in classroom or online 
* language proficiency tests 
* courses in the use of computers and/or specific software"
11.1.1.1,"Restaurants, cafés and the like – with full service","Food and beverage serving services provided by restaurants, cafes and similar eating facilities providing full service consisting of waiter service to individual customers seated at tables, with or without entertainment. 
 * food and beverages provided by full-service facilities serving mainly drinks: cafes, buffets, bars, tearooms and so on 
* food and beverages provided by full-service restaurants, cafes and the like and consumed off their premises; food and beverages provided by full-service restaurants, cafes and the like and home-delivered 
* food and beverage full services in hotels or other accommodation establishments, if separately priced from accommodation 
* food and beverage full services in establishments providing recreational, cultural, sporting or entertainment services (theatres, cinemas, sports stadiums, swimming pools, sports complexes, museums, art galleries, nightclubs, dancing establishments and similar facilities), if separately priced 
* tobacco that is consumed with a shisha or a hookah pipe in restaurants, cafes or shisha lounges 
* tips and gratuities"
11.1.1.2,"Restaurants, cafés and the like – with limited service","Food and beverage serving services provided by limited and self-service facilities (i.e., without waiter service and with or without seating). 
 * food and beverage services provided by self-service restaurants 
* food and beverages provided by refreshment stands, fish and chip stands, fast-food outlets without seating and take-away facilities 
* food products and beverages prepared on the premises and dispensed through automatic vending machines as a delivery service in a self-service restaurant or similar (e.g., automat restaurants) 
* food and beverage for immediate consumption provided by kiosks, food stalls, food carts, street vendors and the like 
 * ice-cream parlours and cake-serving places 
* food and beverages provided by catering contractors, whether collected by the customer or delivered to the customer's home 
* food and beverage services on public transport (coaches, trains, boats, aeroplanes, etc.), if separately priced 
* tobacco that is consumed with a shisha or a hookah pipe in restaurants, cafes or shisha lounges 
* tips and gratuities"
11.1.2.1,"Canteens and cafeterias of universities, schools and kindergartens","Food and beverages provided to students by canteens, cafeterias or refectories (i.e., restaurants, cafe, etc.) at schools, universities and other educational establishments. 
 * kindergarten canteens 
* school canteens 
* university refectories"
