Code,Description
01.1.7,Tuber vegetables crisps
01.1.7,Frozen chipped potatoes
01.1.7,Olives
01.1.7,Garlic
01.1.7,Pulses
01.1.7,Sweetcorn
01.1.7,Sea fennel
01.1.7,Edible seaweed
01.1.7,Mushrooms
01.1.7,Edible fungi
01.1.8,"Sugar, jam, honey, chocolate and confectionery"
01.1.8,"Cane or beet sugar, unrefined"
01.1.8,"Cane or beet sugar, refined"
01.1.8,"Cane or beet sugar, powdered"
01.1.8,"Cane or beet sugar, crystallized"
01.1.8,"Cane or beet sugar, in lumps"
01.1.8,Jams
01.1.8,Marmalades
01.1.8,Compotes
01.1.8,Jellies
01.1.8,Fruit purees
01.1.8,Fruit pastes
01.1.8,Natural honey
01.1.8,Artificial honey
01.1.8,Maple syrup
01.1.8,Molasses
01.1.8,Parts of plants preserved in sugar
01.1.8,Chocolate in bars
01.1.8,Chocolate in slabs
01.1.8,Chewing gum
01.1.8,Sweets
01.1.8,Toffees
01.1.8,Pastilles
01.1.8,Cocoa-based foods
01.1.8,Cocoa-based dessert preparations
01.1.8,Edible ice
01.1.8,Ice cream
01.1.8,Sorbet
01.1.8,Artificial sugar substitutes
01.1.9,Food products n.e.c.
01.1.9,Salt
01.1.9,"Spices such as pepper, pimento, ginger"
01.1.9,"Culinary herbs such as parsley, rosemary, thyme"
01.1.9,Sauces
01.1.9,Condiments
01.1.9,"Seasonings such as mustard, mayonnaise, ketchup, soy sauce"
01.1.9,Vinegar
01.1.9,Prepared baking powders
01.1.9,Baker's yeast
01.1.9,Dessert preparations
01.1.9,Soups
01.1.9,Broths
01.1.9,Stocks
01.1.9,Culinary ingredients
01.1.9,Homogenized baby food and dietary preparations irrespective of the composition
01.2.1,"Coffee, tea and cocoa"
01.2.1,"Coffee, whether or not decaffeinated"
01.2.1,Roasted coffee
01.2.1,Ground coffee
01.2.1,Instant coffee
01.2.1,Tea prepared from leaves of Camellia sinensis
01.2.1,Mate
01.2.1,Plant products for infusions
01.2.1,"Cocoa, whether or not sweetened"
01.2.1,Chocolate-based powder
01.2.1,Cocoa-based beverage preparations
01.2.1,Coffee substitutes
01.2.1,Tea substitutes
01.2.1,Extracts of coffee
01.2.1,Essences of coffee
01.2.1,Extracts of tea
01.2.1,Essences of tea
01.2.2,"Mineral waters, soft drinks, fruit and vegetable juices"
01.2.2,Mineral or spring waters
01.2.2,Drinking water sold in bottles or similar containers
01.2.2,"Soft drinks such as Coca Cola, Pepsi, Fanta, Sprite, Schweppes, 7UP, ColaCao, Nesquik, Oasis, Aquarius, LaCasera, Trina, Mirinda, Kas, Lemonade"
01.2.2,"Fruit juices such as Orange juice, Apple juice, Pineapple juice, Multifruit Juices"
01.2.2,Vegetable juices
01.2.2,Syrups for beverage preparation
01.2.2,Concentrates for beverage preparation
02.1.1,Spirits
02.1.1,Eaux-de-vie
02.1.1,Liqueurs
02.1.1,Mead
02.1.1,Aperitifs other than wine-based aperitifs
02.1.2,Wine
02.1.2,Wine
02.1.2,Cider
02.1.2,"Perry, including sake"
02.1.2,Wine-based aperitifs
02.1.2,Fortified wines
02.1.2,Champagne
02.1.2,Sparkling wines
02.1.3,Beer
02.1.3,ale
02.1.3,lager
02.1.3,porter
02.1.3,low-alcoholic beer
02.1.3,non-alcoholic beer
02.1.3,shandy
02.2.0,Tobacco
02.2.0,Cigarettes
02.2.0,Cigarette tobacco
02.2.0,Cigarette papers
02.2.0,Cigars
02.2.0,Pipe tobacco
02.2.0,Chewing tobacco
02.2.0,Snuff
02.3.0,Narcotics
02.3.0,Marijuana
02.3.0,Opium
02.3.0,Cocaine
02.3.0,Cocaine derivatives
02.3.0,Opium derivatives
02.3.0,Marijuana derivatives
02.3.0,Cola nuts
02.3.0,Betel leaves
02.3.0,Betel nuts
02.3.0,Chemicals
02.3.0,Man-made drugs
03.1.1,Clothing materials
03.1.1,Clothing materials of natural fibres
03.1.1,Clothing materials of man-made fibres
03.1.1,Clothing materials of mixtures of natural and man-made fibres
03.1.2,Garments
03.1.2,Garments for men
03.1.2,Garments for women
03.1.2,Garments for children aged 3 to 13 years
03.1.2,Garments for infants aged 0 to 2 years
03.1.2,Ready-to-wear garments
03.1.2,Made-to-measure garments
03.1.2,Garments in leather
03.1.2,Garments in fur
03.1.2,Garments in plastic
03.1.2,Garments in rubber
03.1.2,Garments for everyday wear
03.1.2,Garments for sport
03.1.2,Garments for work
03.1.2,Capes
03.1.2,Overcoats
03.1.2,Raincoats
03.1.2,Anoraks
03.1.2,Parkas
03.1.2,Blousons
03.1.2,Jackets
03.1.2,Trousers
03.1.2,Waistcoats
03.1.2,Suits
03.1.2,Costumes
03.1.2,Dresses
03.1.2,Skirts
03.1.2,Shirts
03.1.2,Blouses
03.1.2,Pullovers
03.1.2,Sweaters
03.1.2,Cardigans
03.1.2,Shorts
03.1.2,Swimsuits
03.1.2,Tracksuits
03.1.2,Jogging suits
03.1.2,Sweatshirts
03.1.2,T-shirts
03.1.2,Leotards
03.1.2,Vests
03.1.2,Underpants
03.1.2,Socks
03.1.2,Stockings
03.1.2,Tights
03.1.2,Petticoats
03.1.2,Brassières
03.1.2,Knickers
03.1.2,Slips
03.1.2,Girdles
03.1.2,Corsets
03.1.2,Body stockings
03.1.2,Pyjamas
03.1.2,Nightshirts
03.1.2,Nightdresses
03.1.2,Housecoats
03.1.2,Dressing gowns
03.1.2,Bathrobes
03.1.2,Baby clothes made of fabric
03.1.2,Babies' booties made of fabric
03.1.3,Other articles of clothing and clothing accessories
03.1.3,Ties
03.1.3,Handkerchiefs
03.1.3,Scarves
03.1.3,Squares
03.1.3,Gloves
03.1.3,Mittens
03.1.3,Muffs
03.1.3,Belts
03.1.3,Braces
03.1.3,Aprons
03.1.3,Smocks
03.1.3,Bibs
03.1.3,Sleeve protectors
03.1.3,Hats
03.1.3,Caps
03.1.3,Berets
03.1.3,Bonnets
03.1.3,Gardening gloves
03.1.3,Working gloves
03.1.3,Sewing threads
03.1.3,Knitting yarns
03.1.3,Buckles
03.1.3,Buttons
03.1.3,Press studs
03.1.3,Zip fasteners
03.1.3,Ribbons
03.1.3,Laces
03.1.3,Trimmings
03.1.3,Crash helmets for motorcycles
03.1.3,Crash helmets for bicycles
03.1.4,"Cleaning, repair and hire of clothing"
03.1.4,Dry-cleaning of garments
03.1.4,Laundering of garments
03.1.4,Dyeing of garments
03.1.4,Darning of garments
03.1.4,Mending of garments
03.1.4,Repair of garments
03.1.4,Altering of garments
03.1.4,Hire of garments
03.1.4,Total value of the repair service (including both the cost of labour and the cost of materials)
03.2.1,Shoes and other footwear
03.2.1,Shoes for men
03.2.1,Shoes for women
03.2.1,Shoes for children aged 3 to 13 years
03.2.1,Shoes for infants aged 0 to 2 years
03.2.1,Sports footwear for everyday or leisure wear
03.2.1,Shoes for jogging
03.2.1,Shoes for cross-training
03.2.1,Shoes for tennis
03.2.1,Shoes for basketball
03.2.1,Shoes for boating
03.2.1,Gaiters
03.2.1,Leggings for foot protection
03.2.1,Shoelaces
03.2.1,Heels for footwear repair
03.2.1,Soles for footwear repair
03.2.2,Repair and hire of footwear
03.2.2,Repair of footwear including the total value of the repair service (both the cost of labour and the cost of materials)
03.2.2,Shoe-cleaning services
03.2.2,Hire of footwear
04.1.1,Actual rentals paid by tenants
04.1.1,Rentals actually paid by tenants occupying unfurnished premises as their main residence.
04.1.1,Rentals actually paid by tenants occupying furnished premises as their main residence.
04.1.1,Rentals actually paid by subtenants occupying unfurnished premises as their main residence.
04.1.1,Rentals actually paid by subtenants occupying furnished premises as their main residence.
04.1.1,Payments by households occupying a room in a hotel as their main residence.
04.1.1,Payments by households occupying a room in a boarding house as their main residence.
04.1.2,Other actual rentals
04.1.2,Rentals actually paid for secondary residences
04.2.1,Imputed rentals of owner-occupiers
04.2.1,Imputed rentals of owner-occupiers occupying their main residence.
04.2.2,Other imputed rentals
04.2.2,Imputed rentals for secondary residences
04.2.2,Imputed rentals of households paying a reduced rental
04.2.2,Imputed rentals of households housed free
04.3.1,Materials for the maintenance and repair of the dwelling
04.3.1,Paints for minor maintenance and repair of the dwelling
04.3.1,Varnishes for minor maintenance and repair of the dwelling
04.3.1,Renderings for minor maintenance and repair of the dwelling
04.3.1,Wallpapers for minor maintenance and repair of the dwelling
04.3.1,Fabric wall coverings for minor maintenance and repair of the dwelling
04.3.1,Window panes for minor maintenance and repair of the dwelling
04.3.1,Plaster for minor maintenance and repair of the dwelling
04.3.1,Cement for minor maintenance and repair of the dwelling
04.3.1,Putty for minor maintenance and repair of the dwelling
04.3.1,Wallpaper pastes for minor maintenance and repair of the dwelling
04.3.1,Small plumbing pipes for minor maintenance and repair of the dwelling
04.3.1,Small plumbing taps for minor maintenance and repair of the dwelling
04.3.1,Small plumbing joints for minor maintenance and repair of the dwelling
04.3.1,Floorboards for minor maintenance and repair of the dwelling
04.3.1,Ceramic tiles for minor maintenance and repair of the dwelling
04.3.1,Brushes for paint application during minor maintenance and repair of the dwelling
04.3.1,Scrapers for paint application during minor maintenance and repair of the dwelling
04.3.1,Brushes for varnish application during minor maintenance and repair of the dwelling
04.3.1,Scrapers for varnish application during minor maintenance and repair of the dwelling
04.3.1,Brushes for wallpaper application during minor maintenance and repair of the dwelling
04.3.1,Scrapers for wallpaper application during minor maintenance and repair of the dwelling
04.3.2,Services for the maintenance and repair of the dwelling
04.3.2,"Services of plumbers for minor maintenance and repair of the dwelling, including the total value of the service (both the cost of labour and the cost of materials)."
04.3.2,"Services of electricians for minor maintenance and repair of the dwelling, including the total value of the service (both the cost of labour and the cost of materials)."
04.3.2,"Services of carpenters for minor maintenance and repair of the dwelling, including the total value of the service (both the cost of labour and the cost of materials)."
04.3.2,"Services of glaziers for minor maintenance and repair of the dwelling, including the total value of the service (both the cost of labour and the cost of materials)."
04.3.2,"Services of painters for minor maintenance and repair of the dwelling, including the total value of the service (both the cost of labour and the cost of materials)."
04.3.2,"Services of decorators for minor maintenance and repair of the dwelling, including the total value of the service (both the cost of labour and the cost of materials)."
04.3.2,"Services of floor polishers for minor maintenance and repair of the dwelling, including the total value of the service (both the cost of labour and the cost of materials)."
04.4.1,Water supply
04.4.1,Water supply
04.4.1,Hire of meters for water supply
04.4.1,Reading of meters for water supply
04.4.1,Standing charges for water supply
04.4.2,Refuse collection
04.4.2,Refuse collection.
04.4.2,Refuse collection and disposal.
04.4.3,Sewage collection
04.4.3,Sewage collection
04.4.3,Sewage disposal
04.4.4,Other services relating to the dwelling n.e.c.
04.4.4,Co-proprietor charges for caretaking in multi-occupied buildings
04.4.4,Co-proprietor charges for gardening in multi-occupied buildings
04.4.4,Co-proprietor charges for stairwell cleaning in multi-occupied buildings
04.4.4,Co-proprietor charges for heating in multi-occupied buildings
04.4.4,Co-proprietor charges for lighting in multi-occupied buildings
04.4.4,Co-proprietor charges for maintenance of lifts in multi-occupied buildings
04.4.4,Co-proprietor charges for refuse disposal chutes in multi-occupied buildings
04.4.4,Security services
04.4.4,Snow removal services
04.4.4,Chimney sweeping services
04.5.1,Electricity
04.5.1,Electricity
04.5.1,Hire of electricity meters
04.5.1,Electricity meter reading charges
04.5.1,Electricity standing charges
04.5.2,Gas
04.5.2,Town gas
04.5.2,Natural gas
04.5.2,Liquefied butane
04.5.2,Liquefied propane
04.5.2,Hire of meters
04.5.2,Reading of meters
04.5.2,Storage containers
04.5.2,Standing charges
04.5.3,Liquid fuels
04.5.3,Liquid fuels - Domestic heating
04.5.3,Liquid fuels - Domestic lighting oils
04.5.4,Solid fuels
04.5.4,Coal
04.5.4,Coke
04.5.4,Briquettes
04.5.4,Firewood
04.5.4,Charcoal
04.5.4,Peat
04.5.5,Heat energy
04.5.5,Hot water purchased from district heating plants
04.5.5,Steam purchased from district heating plants
04.5.5,Expenditure on hire of meters associated with heat energy
04.5.5,Expenditure on reading of meters associated with heat energy
04.5.5,Standing charges associated with heat energy
04.5.5,Ice used for cooling purposes
04.5.5,Ice used for refrigeration purposes
05.1.1,Furniture and furnishings
05.1.1,Beds
05.1.1,Sofas
05.1.1,Couches
05.1.1,Tables
05.1.1,Chairs
05.1.1,Cupboards
05.1.1,Chests of drawers
05.1.1,Bookshelves
05.1.1,Ceiling lights
05.1.1,Standard lamps
05.1.1,Globe lights
05.1.1,Bedside lamps
05.1.1,Pictures
05.1.1,Sculptures
05.1.1,Engravings
05.1.1,Tapestries
05.1.1,Reproductions of works of art
05.1.1,Ornaments
05.1.1,Screens
05.1.1,Folding partitions
05.1.1,Other furniture and fixtures
05.1.1,Delivery and installation when applicable
05.1.1,Base mattresses
05.1.1,Mattresses
05.1.1,Tatamis
05.1.1,Bathroom cabinets
05.1.1,Baby furniture such as cradles
05.1.1,Baby furniture such as high chairs
05.1.1,Baby furniture such as playpens
05.1.1,Blinds
05.1.1,Camping furniture
05.1.1,Garden furniture
05.1.1,Mirrors
05.1.1,Candleholders
05.1.1,Candlesticks
05.1.2,Carpets and other floor coverings
05.1.2,Loose carpets
05.1.2,Fitted carpets
05.1.2,Linoleum
05.1.2,Laying of floor coverings
05.1.3,"Repair of furniture, furnishings and floor coverings"
05.1.3,Repair of furniture
05.1.3,Repair of furnishings
05.1.3,Repair of floor coverings
05.1.3,Restoration of works of art
05.1.3,Restoration of antique furniture
05.1.3,Restoration of antique floor coverings acquired primarily as stores of value
05.1.3,Restoration of antique floor coverings not acquired primarily as stores of value
05.2.0,Household textiles
05.2.0,Furnishing fabrics
05.2.0,Curtain material
05.2.0,Curtains
05.2.0,Double curtains
05.2.0,Awnings
05.2.0,Door curtains
05.2.0,Fabric blinds
05.2.0,Futons
05.2.0,Pillows
05.2.0,Bolsters
05.2.0,Hammocks
05.2.0,Sheets
05.2.0,Pillowcases
05.2.0,Blankets
05.2.0,Travelling rugs
05.2.0,Plaids
05.2.0,Eiderdowns
05.2.0,Counterpanes
05.2.0,Mosquito nets
05.2.0,Tablecloths
05.2.0,Table napkins
05.2.0,Towels
05.2.0,Face cloths
05.2.0,Shopping bags
05.2.0,Laundry bags
05.2.0,Shoe bags
05.2.0,Covers for clothes
05.2.0,Covers for furniture
05.2.0,Flags
05.2.0,Sunshades
05.2.0,Cloth bought by the piece
05.2.0,Oilcloth
05.2.0,Bathroom mats
05.2.0,Rush mats
05.2.0,Doormats
05.2.0,Repair of such articles
05.3.1,Major household appliances whether electric or not
05.3.1,Refrigerators
05.3.1,Freezers
05.3.1,Fridge-freezers
05.3.1,Electric Washing machines
05.3.1,Non-electric Washing machines
05.3.1,Electric Dryers
05.3.1,Non-electric Dryers
05.3.1,Drying cabinets
05.3.1,Dishwashers
05.3.1,Ironing machines
05.3.1,Pressing machines
05.3.1,Electric Cookers
05.3.1,Non-electric Cookers
05.3.1,Spit roasters
05.3.1,Electric Hobs
05.3.1,Non-electric Hobs
05.3.1,Electric Ranges
05.3.1,Non-electric Ranges
05.3.1,Electric Ovens
05.3.1,Non-electric Ovens
05.3.1,Microwave ovens
05.3.1,Air-conditioners
05.3.1,Humidifiers
05.3.1,Electric Space heaters
05.3.1,Non-electric Space heaters
05.3.1,Electric Water heaters
05.3.1,Non-electric Water heaters
05.3.1,Ventilators
05.3.1,Extractor hoods
05.3.1,Electric Vacuum cleaners
05.3.1,Non-electric Vacuum cleaners
05.3.1,Steam-cleaning machines
05.3.1,Carpet shampooing machines
05.3.1,Floor scrubbing machines
05.3.1,Floor waxing machines
05.3.1,Floor polishing machines
05.3.1,Safes
05.3.1,Sewing machines
05.3.1,Knitting machines
05.3.1,Water softeners
05.3.1,Delivery of the appliances
05.3.1,Installation of the appliances
05.3.2,Small electric household appliances
05.3.2,Coffee mills
05.3.2,Coffee-makers
05.3.2,Juice extractors
05.3.2,Can-openers
05.3.2,Food mixers
05.3.2,Deep fryers
05.3.2,Meat grills
05.3.2,Electric knives
05.3.2,Toasters
05.3.2,Ice cream makers
05.3.2,Sorbet makers
05.3.2,Yoghurt makers
05.3.2,Hotplates
05.3.2,Irons
05.3.2,Kettles
05.3.2,Fans
05.3.2,Electric blankets
