code,title
01.1.1.4,Rice Krispies Treats Cereal
01.1.1.4,Honey Nut Chex
01.1.1.4,Froot Loops
01.1.1.4,Apple Cinnamon Cheerios
01.1.1.4,Blueberry Morning Oat Crunch
01.1.1.4,Chocolate Cheerios
01.1.1.4,Almond Breeze Cereal
01.1.1.4,Puffed Brown Rice
01.1.1.4,Coco Puffs
01.1.1.5,"Macaroni, noodles, couscous and similar pasta products"
01.1.1.5,Egg noodles
01.1.1.5,Spaghetti
01.1.1.5,Fusilli
01.1.1.5,Penne pasta
01.1.1.5,Linguine
01.1.1.5,Rigatoni
01.1.1.5,Macaronis
01.1.1.5,Farfalle
01.1.1.5,Tagliatelle
01.1.1.5,Pappardelle
01.1.1.5,Strozzapreti
01.1.1.5,Stampi
01.1.1.5,Ravioli
01.1.1.5,Tortellini
01.1.1.5,Tortelloni
01.1.1.5,Agnolotti
01.1.1.5,Cappelletti
01.1.1.5,Offline-couscous
01.1.1.5,Pearl couscous
01.1.1.5,Israeli couscous
01.1.1.5,Bucatini
01.1.1.5,Gnocchi
01.1.1.5,Stuffed shells
01.1.1.5,Manicotti
01.1.1.9,Other milled cereal and grain products
01.1.1.9,"* Bakery mixes: Pancake mix, muffin mixes, biscuit mix, scone mix, waffle mix"
01.1.1.9,"* Bread doughs: Lemon poppy seed dough, cinnamon swirl doughnut dough, whole grain dough, sourdough starter, chocolate chip cookie dough"
01.1.1.9,"* Popcorn: Gourmet popcorn, kettle corn, caramel popcorn, cheese popcorn, popcorn kernels"
01.1.1.9,"* Granola bars: Protein-packed granola bars, fruit and nut granola bars, low-sugar granola bars, peanut butter granola bars, dark chocolate granola bars"
01.1.1.9,"* Malt and malt extract: Malted milk balls, malt powder, malt syrup, horlicks, ovaltine"
01.1.1.9,"* Cereal chips and crisps: Rice crisps, corn crisps, wheat crisps, cereal puffs, multigrain chips"
01.1.1.9,"* Seitan and other cereal-based meat substitutes: Chick'n strips, beefy seitan strips, teriyaki seitan strips, hickory smoked seitan strips, vegan meatballs"
01.1.2.1,Live land animals
01.1.2.1,Brown cattle
01.1.2.1,Red zebu
01.1.2.1,Arnis buffaloes
01.1.2.1,European bisons
01.1.2.1,American bisons (buffaloes)
01.1.2.1,Domestic pigs
01.1.2.1,Angora goats
01.1.2.1,Spring lambs
01.1.2.1,Katahdin sheep
01.1.2.1,Leghorn chickens
01.1.2.1,Pekin ducks
01.1.2.1,Gray rabbits
01.1.2.1,Quarter horses
01.1.2.1,Alpacas
01.1.2.1,Bactrian camels
01.1.2.1,African ostriches
01.1.2.1,Emu birds
01.1.2.1,Giant palm civets
01.1.2.1,Garden snails
01.1.2.1,Marbled frogs
01.1.2.2,"Meat, fresh, chilled or frozen"
01.1.2.2,"Beef - Grade A, Ribeye Steak"
01.1.2.2,Pork - Pork Shoulder Roast
01.1.2.2,Lamb - Leg of Lamb
01.1.2.2,Goat - Mutton Chops
01.1.2.2,Poultry - Chicken Breast
01.1.2.2,Duck - Moulard Duck Breast
01.1.2.2,Goose - Goose Breast
01.1.2.2,Turkey - Whole Turkey
01.1.2.2,Rabbit - Stewing Hare Meat
01.1.2.2,Horse - Horse Tenderloin
01.1.2.2,Donkey - Donkey Meat
01.1.2.2,Camel - Camel Leg Roast
01.1.2.2,Kangaroo - Kangaroo Tenderloin
01.1.2.2,Ostrich - Ostrich Steak
01.1.2.2,Quail - Roasted Quail
01.1.2.2,Frog - Frog Legs
01.1.2.2,Snake - Grilled Rattlesnake
01.1.2.2,Alligator - Fried Alligator Tail Meat
01.1.2.2,Scorpion - Grilled Scorpion (dehydrated)
01.1.2.2,Mealworm - Roasted Mealworms
01.1.2.2,Snail - Escargot
01.1.2.2,Seal - Seal Flipper Steak
01.1.2.2,Walrus - Walrus Meat
01.1.2.2,Bison - Buffalo Meat
01.1.2.3,"Meat, dried, salted, in brine or smoked"
01.1.2.3,Cattle Field-Aged Beef
01.1.2.3,Indian Water Buffalo Dried Delight
01.1.2.3,Pig's Smoked Ham Hock
01.1.2.3,Sheep's Salted Prosciutto
01.1.2.3,Chicken Salami Sausages
01.1.2.3,Rabbit Rillette
01.1.2.3,Horse Dried Biltong
01.1.2.3,Llama Longeza Sol.
01.1.2.4,"Offal, blood and other parts of slaughtered animals, fresh, chilled or frozen, dried, salted, in brine or smoked"
01.1.2.4,beef heart
01.1.2.4,calf liver
01.1.2.4,pork spleen
01.1.2.4,lamb kidneys
01.1.2.4,chicken gizzards
01.1.2.4,goat tripe
01.1.2.4,venison tongue
01.1.2.4,elk blood sausage
01.1.2.4,dried pork snouts in brine
01.1.2.5,"Preparations of meat, offal, blood and other parts of slaughtered animals"
01.1.2.5,Smoked sausages
01.1.2.5,Grilled chorizo
01.1.2.5,Bolognese meat preparation
01.1.2.5,Mince beef mix
01.1.2.5,Chicken liver pate
01.1.2.5,Venison salami
01.1.2.5,Tripe stew in red wine sauce
01.1.2.5,Olive-stuffed capon breast
01.1.2.5,Lamb bacon
01.1.2.5,Pork belly marinara
01.1.2.5,Smoked ox cheek pie
01.1.2.5,Beef jerky
01.1.2.5,Chicken and mushroom pâté
01.1.2.5,Pig's ear confit
01.1.2.5,Rabbit blood sausage
01.1.2.5,Roast venison and blood sausage
01.1.3.1,"Fish, live, fresh, chilled or frozen"
01.1.3.1,Live Bluefin Tuna
01.1.3.1,Fresh Salmon Fillets
01.1.3.1,Frozen Hake Pieces
01.1.3.1,Chilled Sole Portions
01.1.3.1,Live Crab Meagre
01.1.3.1,Frozen Mackerel Steaks
01.1.3.2,"Fish, dried, salted, in brine or smoked"
01.1.3.2,brined and smoked whitefish fillets
01.1.3.2,salted and dried cod loin in brine
01.1.3.2,smoked and preserved herring chunks
01.1.3.2,dried and salted mackerel in brine
01.1.3.2,brined and sun-dried haddock fillets
01.1.3.2,smoked and air-dried salmon strips
01.1.3.3,Fish preparations
01.1.3.3,Fish Fillet in Batter Coating
01.1.3.3,Crispy Breaded White Fish Fillets
01.1.3.3,Canned Tuna Salad
01.1.3.3,Surimi-based Crab Cakes
01.1.3.3,Grilled Salmon Fillet with Lemon Herb Marinade
01.1.3.3,Canned Mackerel in Tomato Sauce
01.1.3.3,Shrimp Tempura with Sesame Seeds
01.1.3.3,Steamed dim sum shrimp dumplings
01.1.3.3,Canned Smoked Mussels
01.1.3.3,Surimi-based Fish Sticks
01.1.3.4,"Other seafood, live, fresh, chilled or frozen"
01.1.3.4,"Live Maine lobsters, fresh caught"
01.1.3.4,Freshwater prawns from the Amazon
01.1.3.4,Chilled saltwater crab claws
01.1.3.4,Frozen king crab legs
01.1.3.4,Live intertidal sea urchins
01.1.3.4,Freshwater shrimp from the Mekong Delta
01.1.3.4,Chilled squid from the Mediterranean
01.1.3.4,Frozen octopus from the Pacific
01.1.3.4,Live Japanese abalone
01.1.3.4,Fresh clams from Chesapeake Bay
01.1.3.4,Chilled mussels from the Wild Atlantic
01.1.3.4,Frozen cockles from the North Sea
01.1.3.4,Fresh oysters from Puget Sound
01.1.3.4,Live sea spiders from the Indian Ocean
01.1.3.4,Frozen cuttlefish from the Mediterranean
01.1.3.5,"Other seafood, dried, salted, in brine or smoked"
01.1.3.5,Dried and salted crab meat in brine
01.1.3.5,Smoked octopus in olive brine
01.1.3.5,Salted shrimp preserved in seawater
01.1.3.5,Brined and smoked sea urchin roe
01.1.3.5,Dried and salted sea cucumber strips
01.1.3.5,Smoked clams cured in brine
01.1.3.5,Cherry wood-smoked mussels in a salt-based marinade
01.1.3.5,Brine-soaked and dried squid
01.1.3.5,Sea snail slices salted and sun-dried
01.1.3.5,Marinated and smoked jellyfish slices
01.1.3.6,Other seafood preparations
01.1.3.6,Crustacean Sushi Roll
01.1.3.6,Octopus Ceviche
01.1.3.6,Steamed Abalone with Ginger and Scallions
01.1.3.6,Live Scallop Skewers
01.1.3.6,Whole Roasted Lobster
01.1.3.6,Chilled Sea Urchin Uni Shots
01.1.3.6,Jellyfish Salad
01.1.3.6,Squid Ink Pasta
01.1.3.6,Sea Spider Tempura
01.1.3.6,Krill and Shrimp Skewers
01.1.3.6,Oysters Rockefeller
01.1.3.6,Mussel Marinara
01.1.3.6,Clam Chowder
01.1.3.6,Cockle and Fin Fish Paella
01.1.3.6,Sea Cucumber Hot Pot
01.1.3.6,Abalone Teriyaki
01.1.3.6,Live Prawn Fried Rice
01.1.3.6,Frozen Fish Roe on Ikura Sushi
01.1.3.6,Steamed Molluscs Medley
01.1.3.6,Grilled Cuttlefish Kebabs
01.1.3.6,Chilled Squid Salad
01.1.3.6,Soft Shell Crab Po' Boy Sandwich
01.1.3.7,"Livers, roes and other offal of fish and of other seafood in all forms"
01.1.3.7,Atlantic Whale Liver
01.1.3.7,Candlefish Roes
01.1.3.7,Crab Maw Pastille
01.1.3.7,Fresh Haddock Fin Soup
01.1.3.7,Gray Mackerel Liver Pâté
01.1.3.7,Smoked Cod Liver
01.1.3.7,Stripped Bass Offal Broth
01.1.3.7,Tuna Roe Sushi
01.1.3.7,Wolf Fish Skewered Gizzards
01.1.4.1,Raw and whole milk
01.1.4.1,Bovine Raw Milk
01.1.4.1,Water Buffalo Whole Milk
01.1.4.1,Sheep Raw Milk
01.1.4.1,Goat Raw Milk
01.1.4.1,Camel Raw Milk
01.1.4.1,Fresh Cow's Milk
01.1.4.1,Pasteurized Cow's Milk
01.1.4.1,Sterilized Goat's Milk (UHT)
01.1.4.1,Reconstituted Raw Goat's Milk
01.1.4.2,Skimmed milk
01.1.4.2,Bactidas Skimmed Milk
01.1.4.2,Pagliaccetto Latti Magra
01.1.4.2,UHT Futurpro Lead.Magra
01.1.4.2,Svelta Latte Parzialmente Desnaturalizzato
01.1.4.2,La Mode Slim Milk
01.1.4.2,Evoli Natural Semi-Skimmed
01.1.4.2,Kamel Magra Tahona
01.1.4.2,Heilala UHT Skim Milk
01.1.4.2,Alpassem Semi-Magra
01.1.4.2,Naturская сました яичные белки
01.1.4.3,Other milk and cream
01.1.4.3,powdered cow's milk
01.1.4.3,condensed goat milk
01.1.4.3,evaporated sheep's cream
01.1.4.3,whole skimmed almond milk
01.1.4.3,thickened oat cream
01.1.4.3,whipped coconut milk
01.1.4.3,baked buffalo milk
01.1.4.4,Non-animal milk
01.1.4.4,Almond Milk
01.1.4.4,Hemp Milk
01.1.4.4,Cashew Milk
01.1.4.4,Macadamia Nut Milk
01.1.4.4,Flax Milk
01.1.4.4,Pea Protein Milk
01.1.4.4,Pistachio Milk
01.1.4.4,Barley Milks
01.1.4.4,Quinoa Milks
01.1.4.4,Seed Sprout Milks
01.1.4.5,Cheese
01.1.4.5,Brie
01.1.4.5,Feta
01.1.4.5,Gorgonzola
01.1.4.5,Mozzarella
01.1.4.5,Roquefort
01.1.4.5,Swiss cheese
01.1.4.5,Camembert
01.1.4.5,Cheddar
01.1.4.5,Parmigiano-Reggiano
01.1.4.5,Emmental
01.1.4.5,Havarti
01.1.4.5,Gruyère
01.1.4.5,Manchego
01.1.4.5,Pecorino Romano
01.1.4.5,Limburger
01.1.4.5,Monterey Jack
01.1.4.5,Queso Fresco
01.1.4.5,Ricotta
01.1.4.5,Paneer
01.1.4.5,Halloumi
01.1.4.5,Cottage cheese
01.1.4.5,Farmer's cheese
01.1.4.5,Cream cheese
01.1.4.5,Mascarpone
01.1.4.5,Quesillo
01.1.4.5,Cotija
01.1.4.5,Taleggio
01.1.4.5,Pimento cheese
01.1.4.5,Blue cheese dressing
01.1.4.5,Aged cheddar
01.1.4.5,Smoked gouda
01.1.4.5,Truffle cheese
01.1.4.5,Chèvre
01.1.4.5,Ricotta salata
01.1.4.5,Halloumi (grilled cheese)
01.1.4.5,Blue cheese crumbles
01.1.4.5,Gorgonzola dolce
01.1.4.5,Parmesan shavings
01.1.4.6,Yoghurt and similar products
01.1.4.6,Dairy Yogurt
01.1.4.6,Buttermilk
01.1.4.6,Cottage Cheese
01.1.4.6,Kefir
01.1.4.6,Lassi
01.1.4.6,Ayran
01.1.4.6,Laban
01.1.4.6,Matzonah
01.1.4.6,Pfungwa Yoghurt
01.1.4.6,Chrystałowa śmietana
01.1.4.6,Soja Yoghurt
01.1.4.6,Kokos Yoghurt
01.1.4.6,Almond Yoghurt
01.1.4.6,Oat Yoghurt
01.1.4.6,Cashew Yoghurt
01.1.4.6,Rice Yoghurt
01.1.4.7,Milk-based dessert and beverages
01.1.4.7,Original Italian Gelato (Milk-Based)
01.1.4.7,Non-Dairy Cappuccino (Chocolate-Flavored)
01.1.4.7,Vegan Panna Cotta
01.1.4.7,Dairy-Free Tiramisu
01.1.4.7,Coconut Milk-Based Hot Chocolate
01.1.4.7,Plant-Based Affogato
01.1.4.7,Dulce de Leche Smoothie (Non-Dairy)
01.1.4.7,Almond Milk-Based Turkish Coffee
01.1.4.7,Vegan Creme Brulee
01.1.4.7,Cashew Cream-Based Chai Latte
01.1.4.7,Goat's Milk-Based Mascarpone Cheesecake
01.1.4.7,Soy Milk-Based Cocoa Churro
01.1.4.7,Traditional Norwegian Skyr
01.1.4.7,Sheep's Milk-Based Flan
01.1.4.7,Lactose-Free Cafe con Leche
01.1.4.7,Oat Milk-Based Iced Frappuccino
01.1.4.7,Camel Milk-Based Hot Milo
01.1.4.8,Eggs
01.1.4.8,Chicken eggs
01.1.4.8,Quail eggs
01.1.4.8,Duck eggs
01.1.4.8,Goose eggs
01.1.4.8,Turkey eggs
01.1.4.8,Ostrich eggs
01.1.4.8,Raw eggs
01.1.4.8,Hard-boiled eggs
01.1.4.8,Scrambled eggs
01.1.4.8,Poached eggs
01.1.4.8,Fried eggs
01.1.4.8,Deviled eggs
01.1.4.8,Egg salad
01.1.4.8,Egg drop soup
01.1.4.8,Pickled eggs
01.1.4.8,Candied eggs
01.1.4.8,Egg yolks
01.1.4.8,Egg albumen
01.1.4.8,Egg white powder
01.1.4.8,Egg yolk powder
01.1.4.8,Liquid egg whites
01.1.4.8,Liquid egg yolks
01.1.4.8,Egg beaters (processed egg)
01.1.4.8,"Eggs in shell (fresh, preserved)"
01.1.4.9,Other dairy products
01.1.4.9,Whey protein isolate
01.1.4.9,Casein powder
01.1.4.9,Concentrated cream with added sugar
01.1.4.9,Milk protein concentrate
01.1.4.9,Yogurt-based cream
01.1.4.9,Lactoprotein
01.1.4.9,Milk serum protein
01.1.4.9,Cream powder with sweeteners
01.1.4.9,Whey butter
01.1.4.9,Milk permeate powder
01.1.5.1,Vegetable oils
01.1.5.1,Sunflower seed oil
01.1.5.1,Safflower oil
01.1.5.1,Palm oil
01.1.5.1,Olive oil
01.1.5.1,Soybean oil
01.1.5.1,Peanut oil
01.1.5.1,Rapeseed oil
01.1.5.1,Colza oil
01.1.5.1,Mustard oil
01.1.5.1,Corn oil
01.1.5.1,Cotton seed oil
01.1.5.1,Avocado oil
01.1.5.1,Rice bran oil
01.1.5.2,Butter and other oils and fats derived from milk
01.1.5.2,Cultured Butter
01.1.5.2,Salted Butter
01.1.5.2,Whipped Butter
01.1.5.2,Margarine from Milk
01.1.5.2,Clarified Butter (Ghee)
01.1.5.2,Sweet Cream Butter
01.1.5.2,Herb-Infused Butter
01.1.5.2,"Flavored Butter (e.g., Garlic Butter, Lemon Butter)"
01.1.5.2,Organic Milk Butter
01.1.5.2,"Dairy-Free Butter Substitute (i.e., plant-based)"
01.1.5.3,Margarine and similar preparations
01.1.5.3,Regular Margarine
01.1.5.3,Light Margarine
01.1.5.3,Buttery Spread
01.1.5.3,Olive Oil Margarine
01.1.5.3,Coconut Oil Margarine
01.1.5.3,Soy Margarine
01.1.5.3,Diet Margarine Spread
01.1.5.3,Vegan Margarine Sticks
01.1.5.9,Other animal oils and fats
01.1.5.9,Pig fat and lard with rosemary infusion
01.1.5.9,Beef tallow with garlic
01.1.5.9,Sheep fat blend with thyme
01.1.5.9,Poultry greaves fat
01.1.5.9,Herring oil extract
01.1.5.9,Salmon oil supplements
01.1.5.9,Bison fat with honey and cinnamon
01.1.6.1,"Dates, figs and tropical fruits, fresh"
01.1.6.1,Dried dates
01.1.6.1,Ultra-rise bananas
01.1.6.1,Fresh figs from Sicily
01.1.6.1,Green kiwifruit (chinese gooseberries)
01.1.6.1,Marang mangoes
01.1.6.1,Cashew apples
01.1.6.1,Jackfruit from Thailand
01.1.6.1,Review-ripened pawpaws
01.1.6.1,Golden pineapple from Costa Rica
01.1.6.1,Creamy Malayan rambutans
01.1.6.1,Tahitian breadfruit
01.1.6.1,Peachy papaya salad
01.1.6.1,Kesar mangoes
01.1.6.1,Baby guavas from Florida
01.1.6.1,Feijoa guavas
01.1.6.1,Starfruit slices
01.1.6.1,Heart-of-gold pineapple
01.1.6.1,Jamaican cherry
01.1.6.1,Coconut water bottles
01.1.6.1,Bijou bananas
01.1.6.2,"Citrus fruits, fresh"
01.1.6.2,Navel Orange
01.1.6.2,Blood Orange
01.1.6.2,Valencia Orange
01.1.6.2,Honeybell Tangerine
01.1.6.2,Melogold Tangerine
01.1.6.2,Persian Lemon
01.1.6.2,Eureka Lemon
01.1.6.2,Meyer Lime
01.1.6.2,Kaffir Lime
01.1.6.2,Yakumandarin: A cross between mandarin and clementine
01.1.6.3,"Stone fruits and pome fruits, fresh"
01.1.6.3,Granny Smith apples
01.1.6.3,Red Delicious apples
01.1.6.3,Bartlett pears
01.1.6.3,Bosc pears
01.1.6.3,Anjou pears
01.1.6.3,Fuji apples
01.1.6.3,Honeycrisp apples
01.1.6.3,Comice pears
01.1.6.3,Seckel pears
01.1.6.3,Apricot 'Moonglow'
01.1.6.3,Bing cherries
01.1.6.3,Rainer cherries
01.1.6.3,Sour cherry 'Montmorency'
01.1.6.3,Peach 'Elberta'
01.1.6.3,Nectarine 'Orange Haven'
01.1.6.3,Plum 'Santa Rosa'
01.1.6.3,Damson sloes
01.1.6.3,Plumcot 'Lovell'
01.1.6.4,"Berries, fresh"
01.1.6.4,Currants
01.1.6.4,Gooseberries
01.1.6.4,Raspberries
01.1.6.4,Blackberries
01.1.6.4,Mulberries
01.1.6.4,Loganberries
01.1.6.4,Strawberries
01.1.6.4,Blueberries
01.1.6.4,Cranberries
01.1.6.4,Boysenberries
01.1.6.5,"Other fruits, fresh"
01.1.6.5,European Grape Bunches
01.1.6.5,Tropical Kiwifruit Batch
01.1.6.5,Cantaloupe Mesopotamian Melons
01.1.6.5,Seedless Crimson Watermelon Farm
01.1.6.5,Antiocho Pomegranate Orchard
01.1.6.5, assorted Mediterranean Fruit Medley
01.1.6.5,Crop of Mixed Tropical Berries
01.1.6.5,Syrian Cucumber Melons
01.1.6.5,Hawaiian Passionfruit Plantation
01.1.6.5,Guanabana Tree Harvest
01.1.6.5,Durian Rindless Cluster
01.1.6.5, Loquat Orchard
01.1.6.5, surat Thai Mango Plantation
01.1.6.6,"Fruits, frozen"
01.1.6.6,Frozen Blueberries
01.1.6.6,Unsweetened Frozen Raspberries
01.1.6.6,Glacé Cherries
01.1.6.6,Freeze-Dried Pineapple Chunks
01.1.6.6,Flash-Frozen Strawberries
01.1.6.6,Sweetened Freeze-Dried Apricots
01.1.6.6,Uncooked Frozen Mango
01.1.6.6,Cooked Freeze-Dried Peach
01.1.6.6,Frozen Mixed Berries
01.1.6.6,Frozen Pineapple Juice Concentrate
01.1.6.7,"Fruits, dried and dehydrated"
01.1.6.7,Raisins
01.1.6.7,Prunes
01.1.6.7,Dried Apricots
01.1.6.7,Dried Mango
01.1.6.7,Dried Pineapple
01.1.6.7,Dried Blueberries
01.1.6.7,Dried Cranberries
01.1.6.7,Dried Cherries
01.1.6.7,Dried Bananas
01.1.6.7,Dried Kiwi
01.1.6.7,Dried Peach
01.1.6.7,Dried Plum
01.1.6.7,Dried Fig
01.1.6.7,Dried Papaya
01.1.6.7,Dried guava
01.1.6.7,Dried starfruit
01.1.6.7,Dried elderberries
01.1.6.7,Dried mulberries
01.1.6.7,Dried Tart Cherries
01.1.6.7,Dried Goji Berries
01.1.6.7,Dried Acai Berries
01.1.6.7,Dried Melon
01.1.6.7,Dried Mulberry
01.1.6.7,Dried Pomegranate
01.1.6.7,Dried Sapote
01.1.6.7,Dried Lychee
01.1.6.8,"Nuts, in shell or shelled"
01.1.6.8,almonds
01.1.6.8,cashew nuts
01.1.6.8,chestnuts
01.1.6.8,hazelnuts
01.1.6.8,pistachios
01.1.6.8,walnuts
01.1.6.8,brazil nuts
01.1.6.8,groundnuts
01.1.6.8,pecans
01.1.6.8,macadamias
01.1.6.8,pine nuts
01.1.6.8,pinon nuts
01.1.6.8,peggy nuts
01.1.6.8,peanuts
01.1.6.8,cocoa nuts
01.1.6.8,shea nuts
01.1.6.8,biscuits nuts
01.1.6.8,filberts
01.1.6.8,jujubes
01.1.6.9,"Fruits and nuts, ground, and in other preparations"
01.1.6.9,Almond Meal Flour
01.1.6.9,Roasted Peanut Powder
01.1.6.9,Frozen Blueberry Purée
01.1.6.9,Pecan Crumble
01.1.6.9,Candied Walnut Shards
01.1.6.9,Pumpkin Seed Kernel Flour
01.1.6.9,Mango Pulp Concentrate
01.1.6.9,Sunflower Seed Butter
01.1.6.9,Pine Nut Semolina
01.1.6.9,Fresh Acai Berry Pulp
01.1.7.1,"Leafy or stem vegetables, fresh or chilled"
01.1.7.1,Asparagus Spears
01.1.7.1,Green Cabbage
01.1.7.1,Savoy Cabbage
01.1.7.1,Red Cabbage
01.1.7.1,Cauliflower Florets
01.1.7.1,Broccoli Crowns
01.1.7.1,Romaine Lettuce
01.1.7.1,Butterhead Lettuce
01.1.7.1,Iceberg Lettuce
01.1.7.1,Curly Endive
01.1.7.1,Radicchio
01.1.7.1,Italian Dandelion Greens
01.1.7.1,Belgian Endive
01.1.7.1,Escarole
01.1.7.1,Garlic Chives
01.1.7.1,Leeks
01.1.7.1,Watercress Clumps
01.1.7.1,Tenderstem Broccoli
01.1.7.1,Purple Sprouting Broccoli
01.1.7.1,Curly Kale
01.1.7.1,Cavolo Nero (Black Kale)
01.1.7.1,Lacinato Kale
01.1.7.1,Chinese Kale (Yay Der)
01.1.7.1,Bok Choy White Stem
01.1.7.1,Baby Bok Choy
01.1.7.1,Tatsoi
01.1.7.1,Choi Sum
01.1.7.1,Mibuna Mustard Greens
01.1.7.1,Mustard Greens
01.1.7.1,Collard Greens Bunches
01.1.7.1,Kale Bunches
01.1.7.1,Vietnamese Mint
01.1.7.1,Thai Basil
01.1.7.1,Italian Basil
01.1.7.1,Garlic Green Onions
01.1.7.1,Asian Purple Okra
01.1.7.1,Tintinnabar Artichokes
01.1.7.1,Globe Artichokes
01.1.7.1,Jerusalem Artichokes
01.1.7.1,Foucher's Artichokes
01.1.7.2,"Fruit-bearing vegetables, fresh or chilled"
01.1.7.2,Chili Peppers
01.1.7.2,Banana Peppers
01.1.7.2,Jalapeno Peppers
01.1.7.2,Bell Peppers
01.1.7.2,Hungarian Wax Peppers
01.1.7.2,Cayenne Peppers
01.1.7.2,Cucumber Sticks
01.1.7.2,Kirby Cucumbers
01.1.7.2,Gherkin Pickles
01.1.7.2,Japanese Cucumbers
01.1.7.2,French Pickling Cucumbers
01.1.7.2,Eggplant slices
01.1.7.2,Italian Eggplant
01.1.7.2,Small Aubergines
01.1.7.2,Tomatoes on the Vine
01.1.7.2,Cherry Tomatoes
01.1.7.2,Heirloom Tomatoes
01.1.7.2,Beefsteak Tomatoes
01.1.7.2,Garden Pumpkins
01.1.7.2,Sugar Pie Pumpkin
01.1.7.2,Checkered Mini Pumpkins
01.1.7.2,Spaghetti Squash
01.1.7.2,Acorn Squash
01.1.7.2,Delicata Squash
01.1.7.2,Carnival Squash
01.1.7.2,Butternut Squash
01.1.7.3,"Green leguminous vegetables, fresh or chilled"
01.1.7.3,French Green Beans
01.1.7.3,Snap Peas
01.1.7.3,Broad Bean Pods
01.1.7.3,Lima Beans
01.1.7.3,Edamame Soybeans
01.1.7.3,Horse Bean Sprouts
01.1.7.3,Fava Bean Salad Mix
01.1.7.3,Chinese Long Beans
01.1.7.3,Yardlong Beans
01.1.7.3,Mung Bean Sprouts
01.1.7.4,"Other vegetables, fresh or chilled"
01.1.7.4,Plump Purple Carrots
01.1.7.4,Classic White Turnips
01.1.7.4,Fragrant Garlic Bulbs
01.1.7.4,Organic Yellow Onions
01.1.7.4,Luscious Leeks
01.1.7.4,Golden Globe Shallots
01.1.7.4,Tuberous Rutabagas
01.1.7.4,Baby Beetroot
01.1.7.4,Sorrel Leaves
01.1.7.4,Enoki Mushrooms
01.1.7.4,Premium Morel Truffles
01.1.7.4,Wakame Seaweed
01.1.7.4,Kelp Granules
01.1.7.4,Icelandic Moss
01.1.7.4,Kalamata Olives
01.1.7.4,Greek Throubolia Olives
01.1.7.4,Cornish Clothbound Cheddar with Seaweed
01.1.7.5,"Tubers, plantains and cooking bananas, fresh or chilled"
01.1.7.5,Sweet Potatoes
01.1.7.5,Yucca
01.1.7.5,Cassava
01.1.7.5,Taro
01.1.7.5,Yautia
01.1.7.5,Malanga
01.1.7.5,New Cocoyam
01.1.7.5,Ocumo
01.1.7.5,Tannia
01.1.7.5,Plantains
01.1.7.5,Cooking Bananas
01.1.7.6,Pulses
01.1.7.6,Black-eyed peas
01.1.7.6,Californian lentils
