Code,Description,ExplanatoryNote
05.5.2,Petit outillage et accessoires divers,"- Outils à main (scies, marteaux, tournevis, clefs, pinces, cisailles, râpes et limes, etc.);
- Outils de jardinage (brouettes, arrosoirs, tuyaux d'arrosage, bêches, pelles, râteaux, fourches, faux, faucilles et sécateurs;
- Échelles et escabeaux;
- Accessoires de porte (gonds, poignées et serrures), accessoires de radiateurs et cheminées, autres articles en métal pour la maison (tringles à rideaux, baguettes pour moquette, crochets, etc.) ou pour le jardin (chaînes, grillage, piquets et autre matériel pour clôtures et bordures);
- Petits accessoires électriques (prises de courant, interrupteurs, fils électriques, ampoules, tubes fluorescents, torches électriques, lampes de poche, piles électriques d'usage courant, sonnettes et alarmes, etc.);
- Réparation de ces articles."
05.6.1,Biens d'équipement ménager non durables,"- Produits de nettoyage et d'entretien (savons, lessives en poudre ou liquides, poudres à récurer, détergents, eau de Javel, adoucissants, assouplissants, produits à nettoyer les vitres, cires, encaustiques, teintures, déboucheurs, désinfectants, insecticides, fongicides, eau distillée, etc.);
- Articles de nettoyage (balais, brosses, pelles, plumeaux, balais et chiffons à poussière, torchons, serpillières, éponges de ménage, tampons à récurer, paille de fer, peau de chamois, etc.);
- Produits en papier (filtres, nappes et serviettes, essuie-tout, sacs à aspirateurs et vaisselle en carton, etc.), papier d'aluminium et sacs-poubelles en plastique;
- Autres articles de ménage non durables (allumettes, bougies, mèches de lampe, alcool à brûler, pinces à linge, porte-manteaux, épingles, épingles de sûreté, aiguilles à coudre, aiguilles à tricoter, dés à coudre, clous, vis, écrous et boulons, punaises, joints, colle et rubans adhésifs à usage ménager, corde, ficelle, gants en caoutchouc, etc.).
Sont inclus : cirages, crèmes et autres articles de nettoyage des chaussures; extincteurs de ménage."
05.6.2,Services domestiques et services ménagers,"- Services domestiques fournis par du personnel rémunéré employé à titre privé (majordomes, cuisiniers, bonnes, chauffeurs, jardiniers, gouvernantes, secrétaires, précepteurs, jeunes au pair, etc.);
- Services analogues (dont garde d'enfant et ménage) fournis par des entreprises ou des travailleurs indépendants;
- Services ménagers (nettoyage des vitres, désinfection, fumigation, désinsectisation et dératisation, etc.);
- Nettoyage à sec, blanchissage et teinture de linge de maison, d'articles de ménage en textile et de tapis;
- Location de meubles, d'articles d'ameublement, de tapis, d'appareils ménagers et de linge de maison."
06.1.1,Produits pharmaceutiques,"- Préparations pharmaceutiques, médicaments, spécialités pharmaceutiques, sérums et vaccins, vitamines et oligo-éléments, huile de foie de morue et de flétan, contraceptifs oraux."
06.1.2,Produits médicaux divers,"- Thermomètres médicaux, pansements adhésifs et non adhésifs, seringues hypodermiques, trousses de premier secours, bouillottes et poches de glace, bonneterie médicale (bas à varices, genouillères, etc.), tests de grossesse, préservatifs et autres contraceptifs mécaniques."
06.1.3,Appareils et matériel thérapeutiques,"- Lunettes de vue et lentilles de contact, aides auditives, oeil de verre, membres artificiels et autres prothèses diverses, appareils, bandes, chaussures et ceintures orthopédiques, bandages et supports herniaires, minerves, matériel de massage médical et lampes thérapeutiques, fauteuils roulants et voitures d'invalide motorisés ou non, lits ?spéciaux?, béquilles, appareils électroniques et autres servant à surveiller la tension artérielle, etc.;
- Réparation de ces articles.
Sont inclus : prothèses dentaires (mais non les frais de pose)."
06.2.1,Services médicaux,"- Consultations de médecins généralistes ou spécialistes.
Sont inclus : services d'orthodontiste."
06.2.2,Services dentaires,"- Services de dentistes, spécialistes de l'hygiène buccale et autres auxiliaires dentaires.
Sont inclus : frais de pose des prothèses dentaires."
06.2.3,Services paramédicaux,"- Services des laboratoires d'analyses médicales et des centres de radiologie;
- Services d'infirmiers et de sages-femmes indépendants;
- Services d'acupuncteurs, de chiropracteurs et d'ostéopathes, d'optométristes, de physiothérapeutes, d'orthophonistes, etc., indépendants;
- Kinésithérapie;
- Cures thermales ou thalassothérapie ambulatoires (autres que services fournis par les hôpitaux;
- Services d'ambulance (autres que ceux fournis par les hôpitaux);
- Location de matériel thérapeutique.
Sont inclus : services des praticiens de la médecine traditionnelle."
06.3.0,Services hospitaliers,"Fourniture des services suivants aux patients hospitalisés :
- Services de base : administration; hébergement, restauration; surveillance et soins assurés par du personnel non spécialisé (aides-soignants); premiers soins et réanimation; transport par ambulance; distribution de médicaments et autres produits pharmaceutiques; fourniture d'appareils et de matériel thérapeutiques;
- Services médicaux : services de médecins généralistes et spécialistes, de chirurgiens et de dentistes; analyses médicales et radiologie; services paramédicaux (services d'infirmiers, de sages-femmes, de chiropracteurs, d'optométristes, de physiothérapeutes, d'orthophonistes, etc.)."
07.1.1,Voitures automobiles,"- Voitures automobiles de tourisme (y compris les breaks, monospaces, etc.) à deux ou quatre roues motrices."
07.1.2,Motocycles,"- Motocycles de tous types, scooters et cyclomoteurs.
Sont inclus : side-cars; motoneiges."
07.1.3,Bicyclettes,"- Bicyclettes et tricycles en tous genres.
Sont inclus : cyclopousses."
07.1.4,Véhicules à traction animale,"- Véhicules à traction animale.
Sont inclus : animaux tirant le véhicule et matériel connexe (jougs, colliers, harnais, brides, guides, etc.)."
07.2.1,Pièces de rechange et accessoires pour véhicules de tourisme,"- Pneus (neufs, d'occasion ou rechapés), chambres à air, bougies d'allumage, amortisseurs, filtres, pompes et autres pièces de rechange ou accessoires pour véhicule particulier.
Sont inclus : extincteurs pour véhicules; produits expressément destinés au nettoyage et à l'entretien de véhicules (peintures, produits pour nettoyer les chromes, matériaux d'étanchéité et produits d'entretien de la carrosserie; housses pour voitures, motocycles, etc.)."
07.2.2,Carburants et lubrifiants pour véhicules de tourisme,"- Essence et autres carburants (gazole, gaz de pétrole liquéfié, alcool et mélanges pour moteur à deux temps, etc.);
- Lubrifiants, liquides de frein et d'embrayage, liquides de refroidissement et additifs.
Sont inclus : carburant nécessaire au gros outillage et au matériel visés à la rubrique 05.5.1 et aux véhicules de plaisance visés à la rubrique 09.2.1."
07.2.3,Entretien et réparation de véhicules particuliers,"- Services liés à l'entretien et à la réparation de véhicules particuliers (pose de pièces de rechange et d'accessoires, équilibrage des roues, inspection technique, dépannage, vidange, graissage et lavage.
Sont inclus : valeur totale du service (c'est-à-dire le coût de la main-d'oeuvre et des)."
07.2.4,Services divers liés aux véhicules particuliers,"- Location de garages ou de places de stationnement non liés au logement;
- Péages (ponts, tunnels, bacs, autoroutes) et parcmètres;
- Leçons de conduite, examen du permis de conduire et permis de conduire;
- Contrôle technique automobile;
- Location de voiture sans chauffeur."
07.3.1,Transport ferroviaire de passagers,"- Transport de personnes, voyageant seule ou en groupe, et de bagages par train, tramway et métro.
Sont inclus : transport de véhicules de tourisme."
07.3.2,Transport routier de passagers,"- Transport de personnes, voyageant seule ou en groupe, et de bagages par autobus, autocar, taxi ou voiture de louage avec chauffeur."
07.3.3,Transport aérien de passagers,"- Transport de personnes, voyageant seule ou en groupe, et de bagages par avion ou hélicoptère."
07.3.4,Transport maritime et fluvial de passagers,"- Transport de personnes, voyageant seule ou en groupe, et de bagages par navire, bateau, bac, hydroglisseur et hydroptère.
Sont inclus : transport de véhicules de tourisme."
07.3.5,Transport combiné de passagers,"- Transport de personnes, voyageant seule ou en groupe, et de bagages par au moins deux modes de transport, lorsqu'il n'est pas possible d'établir la part revenant à chaque mode de transport.
Sont inclus : transport de véhicules de tourisme."
07.3.6,Services de transport divers,"- Transport par funiculaire, téléphérique et télésiège;
- Services de déménagement et de garde-meuble; 
- Services de porteur, de consigne et d'expédition de bagages;
- Commissions d'agents de voyage, lorsqu'elles sont facturées séparément."
08.1.0,Services postaux,"- Frais d'expédition de lettres, cartes postales et colis;
- Expédition de lettres et colis personnels.
Sont inclus : l'achat de timbres postaux non oblitérés, cartes postales et aérogrammes préaffranchis."
11.1.2,Cantines,"- Services de restauration des cantines de chantier, d'entreprise et d'établissement scolaire, universitaire et autre.
Sont inclus : les réfectoires universitaires, les mess et les carrés d'officiers."
11.2.0,Services d'hébergement,"- Hôtels, pensions de famille, motels, auberges et chambres d'hôtes;
- Villages et centres de vacances, terrains de camping pour tentes et caravanes, auberges de jeunesse et refuges de montagne;
- Pensionnats, résidences universitaires et autres;
- Transports publics (trains, bateaux, etc.) lorsque la location des lits ou couchettes est facturée à part;
- Foyers pour jeunes travailleurs ou immigrés.
Sont inclus : les pourboires, les chasseurs d'hôtel."
12.1.1,Salons de coiffure et instituts de soins et de beauté,"- Services des salons de coiffure, barbiers, instituts de beauté, manucures, pédicures, bains turcs, saunas, solariums, massages à fins non thérapeutiques, etc.
Sont inclus : les soins corporels, l'épilation et les soins analogues."
12.1.2,Appareils électriques pour soins corporels,"- Rasoirs et tondeuses électriques, sèche-cheveux à main et casques, fers à friser et peignes soufflants, lampes à rayons ultraviolets, vibromasseurs, brosses à dents électriques et autres appareils électriques pour l'hygiène dentaire, etc.;
- Réparation de ces articles."
12.1.3,"Autres appareils, articles et produits pour soins corporels","- Appareils non électriques : rasoirs, tondeuses, lames de rasoir et de tondeuse, ciseaux, limes à ongles, peignes, blaireaux, brosses à cheveux, brosses à dents, brosses à ongles, épingles à cheveux, bigoudis, pèse-personnes, pèse-bébés, etc.;
- Articles d'hygiène corporelle : savon de toilette, savon médicinal, lait et huile de toilette, savon à barbe, crème et mousse à raser, pâte dentifrice, etc.;
- Produits de beauté : rouge à lèvres, vernis à ongles, produits de maquillage et démaquillants (poudres, pinceaux à poudre, houppettes), laques et lotions capillaires, lotions avant et après-rasage, produits solaires, produits épilatoires, parfums et eaux de toilette, déodorants corporels, produits pour le bain, etc.;
- Autres produits : papier de toilette, mouchoirs et serviettes en papier, serviettes hygiéniques, ouate, coton, cotons de tige, couches pour bébés, éponges de toilette, etc."
12.2.0,Prostitution,- Services fournis par les prostitué(e)s et services analogues.
12.3.1,Articles de bijouterie et horlogerie,"- Pierres et métaux précieux et bijoux en pierres et métaux précieux;
- Bijoux fantaisie, boutons de manchettes et épingles de cravate;
- Horloges, montres, chronomètres, réveils, réveils de voyage;
- Réparation de ces articles."
12.3.2,Autres effets personnels,"- Bagages et autres articles de voyage pour effets personnels : valises, malles, sacs de voyage, mallettes, sacoches, sacs à main, portefeuilles, porte-monnaie, etc.;
- Articles pour bébés : landaus, poussettes, couffins, relax, lits et sièges auto, porte-bébés frontaux et dorsaux, laisses et harnais, etc.;
- Articles pour fumeurs : pipes, briquets, étuis à cigarettes, coupe-cigares, etc.;
- Articles personnels divers : lunettes de soleil, cannes, parapluies et ombrelles, éventails, porte-clefs, etc.;
- Articles funéraires : cercueils, pierres tombales, urnes funéraires, etc.;
- Réparation de ces articles.
Sont inclus : le fluide à briquets; les thermomètres et baromètres muraux."
12.4.0,Protection sociale,"Cette classe comprend l'accueil avec hébergement, les services d'aide à domicile, les services des centres de jour et les services de réadaptation. Elle recouvre en particulier les montants versés par des ménages à :
- Des maisons de retraite, résidences pour personnes handicapées, centres de réadaptation assurant un séjour et une assistance et non des soins et une rééducation, écoles pour handicapés dont le but principal est d'aider les élèves à surmonter leur infirmité;
- Des services visant à faciliter le maintien à domicile des personnes âgées et des handicapés (services d'aide ménagère, de repas, de garderie et centres de vacances);
- Des nourrices, crèches, garderies et autres établissements d'accueil pour enfants;
- Des services de conseil, d'orientation, d'arbitrage, de placement en famille d'accueil et d'adoption à l'intention des familles."
12.5.1,Assurance-vie,"- Rémunération des services d'assurance-vie, d'assurance décès, d'assurance éducation, etc."
12.5.2,Assurance habitation,"- Rémunération des services d'assurance versée par les propriétaires-occupants et les locataires pour s'assurer contre les risques que couvrent généralement les polices souscrites par les locataires contre l'incendie, le vol, les dégâts des eaux, etc."
12.5.3,Assurance maladie,- Rémunération des services d'assurance maladie et d'assurance accident.
12.5.4,Assurance transports,"- Rémunération des services d'assurance liés à l'utilisation des véhicules de tourisme;
- Rémunération des services d'assurance voyage et d'assurance bagages."
12.5.5,Autres assurances,- Rémunération des services d'autres assurances telles que l'assurance responsabilité civile contre les blessures ou les dommages causés aux personnes ou à la propriété de tiers.
12.6.1,Coût des services d'intermédiation financière indirectement mesurés,- Coût des services d'intermédiation financière indirectement mesurés.
12.6.2,Autres services financiers n.c.a.,"- Frais effectivement facturés par les banques, bureaux de poste, caisses d'épargne, bureaux de change et institutions financières analogues;
- Commissions et rémunération des services des agents de change, conseillers en placement, conseils fiscaux et autres;
- Frais administratifs prélevés par les fonds de pension et institutions analogues."
12.7.0,Autres services n.c.a.,"- Montants versés à des conseillers juridiques, bureaux de placement, etc.;
- Montants versés à des services de pompes funèbres et services analogues;
- Montants versés à des agences immobilières, services de logement, commissaires priseurs, établissements de vente aux enchères et autres établissements de courtage;
- Frais de photocopie et de reprographie;
- Frais d'établissement de certificats de naissance, de mariage et de décès et d'autres documents administratifs;
- Frais de parution d'annonces et publicités dans la presse;
- Montants versés à des graphologues, astrologues, détectives privés, gardes du corps, agences matrimoniales et conseillers matrimoniaux, écrivains publics et détenteurs de concessions diverses (chaises, toilettes, vestiaires, etc.)."
13.2.1,Produits pharmaceutiques,- Comme indiqué sous 02.1.1 dans la COPNI. Correspond à (06.1.1) et à (14.2.1).
13.2.2,Produits médicaux divers,- Comme indiqué sous 02.1.2 dans la COPNI. Correspond à (06.1.2) et (14.2.2).
13.2.3,Appareils et matériels thérapeutiques,- Comme indiqué sous 02.1.3 dans la COPNI. Correspond à (06.1.3) et (14.2.3).
13.2.4,Services médicaux ambulatoires,- Comme indiqué sous 02.2.1 dans la COPNI. Correspond à (06.2.1) et (14.2.4).
13.2.5,Services dentaires ambulatoires,- Comme indiqué sous 02.2.2 dans la COPNI. Correspond à (06.2.2) et (14.2.5).
13.2.6,Services paramédicaux ambulatoires,- Comme indiqué sous 02.2.3 dans la COPNI. Correspond à (06.2.3) et (14.2.6).
13.2.7,Services hospitaliers,- Comme indiqué sous 02.3.0 dans la COPNI. Correspond à (06.3.0) et (14.2.7).
13.2.8,Autres services de santé,"- Comme indiqué sous 02.4.0, 02.5.0 et 02.6.0 dans la COPNI."
13.3.1,Services récréatifs et sportifs,- Comme indiqué sous 03.1.0 dans la COPNI. Correspond à (09.4.1) et (14.3.1).
13.3.2,Services culturels,- Comme indiqué sous 03.2.0 dans la COPNI. Correspond à (09.4.2) et (14.3.2).
13.4.1,Enseignement préélémentaire et primaire,- Comme indiqué sous 04.1.0 dans la COPNI. Correspond à (10.1.0) et (14.4.1).
13.4.2,Enseignement secondaire,- Comme indiqué sous 04.2.0 dans la COPNI. Correspond à (10.2.0) et (14.4.2).
13.4.3,Enseignement postsecondaire non supérieur,- Comme indiqué sous 04.3.0 dans la COPNI. Correspond à (10.3.0) et (14.4.3).
13.4.4,Enseignement supérieur,- Comme indiqué sous 04.4.0 dans la COPNI. Correspond à (10.4.0) et (14.4.4).
13.4.5,Enseignement non défini par niveau,- Comme indiqué sous 04.5.0 dans la COPNI. Correspond à (10.5.0) et (14.4.5).
13.4.6,Autres services d'enseignement,- Comme indiqué sous 04.6.0 et 04.7.0 dans la COPNI.
13.5.0,Protection sociale,- Comme indiqué sous 05.1.0 et 05.2.0 dans la COPNI. Correspond à (12.4.0) et (14.5.0).
13.6.1,Cultes,- Comme indiqué sous 06.0.0 dans la COPNI.
13.6.2,Partis politiques et organisations professionnelles et syndicales,"- Comme indiqué sous 07.1.0, 07.2.0 et 07.3.0 dans la COPNI."
13.6.3,Protection de l'environnement,- Comme indiqué sous 08.1.0 et 08.2.0 dans la COPNI.
13.6.4,Services n.c.a.,- Comme indiqué sous 09.1.0 et 09.2.0 dans la COPNI.
14.1.0,Logement,- Comme indiqué sous 10.6.0 dans la COFOG. Correspond à (04.1.1) et (13.1.0).
14.2.1,Produits pharmaceutiques,- Comme indiqué sous 07.1.1 dans la COFOG. Correspond à (06.1.1) et à (13.2.1).
14.2.2,Produits médicaux divers,- Comme indiqué sous 07.1.2 dans la COFOG. Correspond à (06.1.2) et (13.2.2).
14.2.3,Appareils et matériels thérapeutiques,- Comme indiqué sous 07.1.3 dans la COFOG. Correspond à (06.1.3) et (13.2.3).
14.2.4,Services médicaux ambulatoires,- Comme indiqué sous 07.2.1 et 07.2.2 dans la COFOG. Correspond à (06.2.1) et (13.2.4).
14.2.5,Services dentaires ambulatoires,- Comme indiqué sous 07.2.3 dans la COFOG. Correspond à (06.2.2) et (13.2.5).
14.2.6,Services paramédicaux ambulatoires,- Comme indiqué sous 07.2.4 dans la COFOG. Correspond à (06.2.3) et (13.2.6).
14.2.7,Services hospitaliers,"- Comme indiqué sous 07.3.1, 07.3.2, 07.3.3 et 07.3.4 dans la COFOG. Correspond à (06.3.0) et (13.2.6)."
14.2.8,Services de santé publique,- Comme indiqué sous 07.4.0 dans la COFOG.
14.3.1,Services récréatifs et sportifs,- Comme indiqué sous 08.1.0 dans la COFOG. Correspond à (09.4.1) et (13.3.1).
14.3.2,Services culturels,- Comme indiqué sous 08.2.0 dans la COFOG. Correspond à (09.4.2) et (13.3.2).
14.4.1,Enseignement préélémentaire et primaire,- Comme indiqué sous 09.1.1 et 09.1.2 dans la COFOG. Correspond à (10.1.0) et (13.4.1).
14.4.2,Enseignement secondaire,- Comme indiqué sous 09.2.1 et 09.2.2 dans la COFOG. Correspond à (10.2.0) et (13.4.2).
14.4.3,Enseignement postsecondaire non supérieur,- Comme indiqué sous 09.3.0 dans la COFOG. Correspond à (10.3.0) et (13.4.3).
14.4.4,Enseignement supérieur,- Comme indiqué sous 09.4.1 et 09.4.2 dans la COFOG. Correspond à (10.4.0) et (13.4.4).
14.4.5,Enseignement non défini par niveau,- Comme indiqué sous 09.5.0 dans la COFOG. Correspond à (10.5.0) et (13.4.5).
14.4.6,Services annexes à l'enseignement,- Comme indiqué sous 09.6.0 dans la COFOG.
14.5.0,Protection sociale,"- Comme indiqué sous 10.1.1 à 10.5.0 et 10.7.0 dans la COFOG. Correspond à (12.4.0) et (13.5.0).

=============================="
01.1.1,Pan y cereales,"- Arroz de todas clases;
- Maíz, trigo, cebada, avena, centeno y otros cereales en forma de grano, harina fina o harina gruesa;
- Pan y otros productos de panadería (galletas de centeno, galletas duras, pan tostado, bizcochos, galletas de jengibre, barquillos, gofres, panecillos de levadura, bollos, medialunas, pasteles, tartas, tortas, quiches, pizzas, etcétera);
- Mezclas y pastas para la preparación de productos de panadería;
- Pasta de todas las clases, alcuzcuz;
- Preparados de cereal (copos de maíz, copos de avena, etcétera) y otros productos de cereal (malta, harina de malta, extracto de malta, fécula de patata, tapioca, sagú y otros almidones).

Incluye: productos farináceos preparados con carne, pescado, alimentos marinos, queso, verduras o con fruta."
01.1.2,Carne,"- Carne fresca, refrigerada o congelada de:
- Ganado vacuno, porcino, ovino y caprino;
- Caballo, mula, burro, camello y similares;
- Aves de corral (pollo, pato, ganso, pavo, pintada);
- Liebre, conejo y animales de caza (antílope, ciervo, jabalí, faisán, urogallo, tordo, codorniz, etcétera);
- Desperdicios comestibles frescos, refrigerados o congelados;
- Carnes secas, saladas o ahumadas y desperdicios comestibles (salchichas, embutidos, salame, tocino, jamón, paté, etcétera);
- Otras carnes conservadas o procesadas y preparados de carne (carne envasada, extractos de carne, jugos de carne, tartas de carne, etcétera).

Incluye: carne y desperdicios comestibles de mamíferos marinos (focas, morsas, ballenas, etcétera) y animales exóticos (canguro, avestruz, caimán, etcétera), animales y aves de corral comprados vivos para su consumo como alimentos."
01.1.3,Pescado,"- Pescado fresco, refrigerado o congelado;
- Alimentos marinos frescos, refrigerados o congelados (crustáceos, moluscos y otros mariscos, caracoles de mar);
- Pescado y alimentos marinos secos, ahumados o salados;
- Otros pescados y alimentos marinos conservados o procesados, así como preparados de pescado o de alimentos marinos (pescado y alimentos marinos envasados, caviar y otras huevas, tartas de pescado, etcétera).

Incluye: cangrejos de tierra, caracoles de tierra y ranas; pescado y alimentos marinos comprados vivos para su consumo como alimentos."
01.1.4,"Leche, queso y huevos","- Leche cruda, leche pasteurizada o esterilizada;
- Leche condensada, evaporada o en polvo;
- Yogur, crema, postres lácteos, bebidas lácteas y otros productos lácteos análogos;
- Queso y cuajada;
- Huevos y productos derivados preparados íntegramente con huevos;

Incluye: leche, crema y yogur con azúcar, cacao, frutas o sabores; productos lácteos que no contengan leche de vaca, como la leche de soja."
01.1.5,Aceites y grasas,"- Mantequilla y productos derivados (aceite de mantequilla, ghee, etcétera);
- Margarina (incluida la margarina dietética) y otras grasas vegetales (incluida la mantequilla de maní);
- Aceites comestibles (aceite de oliva, aceite de maíz, aceite de girasol, aceite de semilla de algodón, aceite de soja, aceite de maní, aceite de nuez, etcétera);
- Grasas animales comestibles (manteca, etcétera)."
01.1.6,Frutas,"- Frutas frescas, refrigeradas o congeladas;
- Frutas secas, cáscaras de frutas, almendras de frutas, nueces y semillas comestibles;
- Frutas en conserva y productos a base de frutas.

Incluye: melones y sandías."
01.1.7,Legumbres-Hortalizas,"- Productos de huerta frescos, refrigerados o congelados que se cultiven por sus hojas y tallos (espárrago, brécol, coliflor, endivia, hinojo, espinaca, etcétera), por su fruto (berenjena, pepino, calabacín, pimiento verde, calabaza, tomate, etcétera), y por su raíz (remolacha, zanahoria, cebolla, chirivía, rábano, nabo, etcétera);
- Patatas y otros tubérculos frescos o refrigerados (yuca, arrurruz, mandioca, batata, etcétera);
- Legumbres y productos a base de legumbres conservados o procesados;
- Productos de tubérculos (harinas finas y harinas gruesas, copos, purés, escamas y hojuelas) con inclusión de preparados congelados como rodajas de patatas.

Incluye: aceitunas, ajo, leguminosas, maíz dulce, hinojo marino y otras algas comestibles; setas y otros hongos comestibles."
01.1.8,"Azúcar, mermelada, miel, chocolate y dulces de azúcar","- Azúcar de caña o remolacha sin refinar o refinada, en polvo, cristalizada o en terrones;
- Mermeladas, compotas, jaleas, purés y pastas de frutas, miel natural y artificial, jarabe de arce, melaza y partes de plantas conservadas en azúcar;
- Chocolate en barras o tabletas, goma de mascar, caramelos, toffees, grageas y otros dulces de azúcar;
- Alimentos y preparados para postres a base de cacao;
- Hielo comestible, helados y sorbetes.

Incluye: sucedáneos artificiales del azúcar."
01.1.9,Productos alimenticios n.e.p.,"- Sal, especias (pimienta, pimiento, jengibre, etcétera), hierbas culinarias (perejil, romero, tomillo, etcétera), salsas, condimentos, aderezos (mostaza, mayonesa, salsa de tomate, salsa de soja), vinagre;
- Preparados de polvos de hornear, levadura, postres, sopas, caldos, consomés, ingredientes culinarios, etcétera;
- Alimentos para lactantes homogeneizados y preparados dietéticos independientemente de su composición."
01.2.1,"Café, té y cacao","- Café, descafeinado o no, torrefacto o molido, incluido el café instantáneo;
- Té, mate y otros productos vegetales para infusiones;
- Cacao, edulcorado o no, y polvos a base de chocolate.

Incluye: preparados para bebidas a base de cacao, sucedáneos del café y del té, extractos y esencias de café y té."
01.2.2,"Aguas minerales, refrescos, jugos de frutas y de legumbres","- Aguas minerales o de manantial, cualquier agua potable que se venda envasada;
- Refrescos como bebidas carbonatadas, limonadas y colas;
- Jugos de frutas y de legumbres-hortalizas;
- Jarabes y concentrados para la preparación de bebidas."
